location,date,total_cases,total_deaths,reproduction_rate,positive_rate,total_vaccinations,people_vaccinated,people_fully_vaccinated,stringency_index,diabetes_prevalence,population
우간다,2020-01-03,,,,,,,,0.0,2.5,47249588
우간다,2020-01-04,,,,,,,,0.0,2.5,47249588
우간다,2020-01-05,,,,,,,,0.0,2.5,47249588
우간다,2020-01-06,,,,,,,,0.0,2.5,47249588
우간다,2020-01-07,,,,,,,,0.0,2.5,47249588
우간다,2020-01-08,,,,,,,,0.0,2.5,47249588
우간다,2020-01-09,,,,,,,,0.0,2.5,47249588
우간다,2020-01-10,,,,,,,,0.0,2.5,47249588
우간다,2020-01-11,,,,,,,,0.0,2.5,47249588
우간다,2020-01-12,,,,,,,,0.0,2.5,47249588
우간다,2020-01-13,,,,,,,,0.0,2.5,47249588
우간다,2020-01-14,,,,,,,,0.0,2.5,47249588
우간다,2020-01-15,,,,,,,,0.0,2.5,47249588
우간다,2020-01-16,,,,,,,,0.0,2.5,47249588
우간다,2020-01-17,,,,,,,,0.0,2.5,47249588
우간다,2020-01-18,,,,,,,,0.0,2.5,47249588
우간다,2020-01-19,,,,,,,,0.0,2.5,47249588
우간다,2020-01-20,,,,,,,,2.78,2.5,47249588
우간다,2020-01-21,,,,,,,,2.78,2.5,47249588
우간다,2020-01-22,,,,,,,,2.78,2.5,47249588
우간다,2020-01-23,,,,,,,,2.78,2.5,47249588
우간다,2020-01-24,,,,,,,,2.78,2.5,47249588
우간다,2020-01-25,,,,,,,,2.78,2.5,47249588
우간다,2020-01-26,,,,,,,,2.78,2.5,47249588
우간다,2020-01-27,,,,,,,,2.78,2.5,47249588
우간다,2020-01-28,,,,,,,,2.78,2.5,47249588
우간다,2020-01-29,,,,,,,,13.89,2.5,47249588
우간다,2020-01-30,,,,,,,,13.89,2.5,47249588
우간다,2020-01-31,,,,,,,,13.89,2.5,47249588
우간다,2020-02-01,,,,,,,,13.89,2.5,47249588
우간다,2020-02-02,,,,,,,,13.89,2.5,47249588
우간다,2020-02-03,,,,,,,,13.89,2.5,47249588
우간다,2020-02-04,,,,,,,,13.89,2.5,47249588
우간다,2020-02-05,,,,,,,,13.89,2.5,47249588
우간다,2020-02-06,,,,,,,,16.67,2.5,47249588
우간다,2020-02-07,,,,,,,,16.67,2.5,47249588
우간다,2020-02-08,,,,,,,,16.67,2.5,47249588
우간다,2020-02-09,,,,,,,,16.67,2.5,47249588
우간다,2020-02-10,,,,,,,,16.67,2.5,47249588
우간다,2020-02-11,,,,,,,,16.67,2.5,47249588
우간다,2020-02-12,,,,,,,,16.67,2.5,47249588
우간다,2020-02-13,,,,,,,,16.67,2.5,47249588
우간다,2020-02-14,,,,,,,,16.67,2.5,47249588
우간다,2020-02-15,,,,,,,,16.67,2.5,47249588
우간다,2020-02-16,,,,,,,,16.67,2.5,47249588
우간다,2020-02-17,,,,,,,,16.67,2.5,47249588
우간다,2020-02-18,,,,,,,,16.67,2.5,47249588
우간다,2020-02-19,,,,,,,,16.67,2.5,47249588
우간다,2020-02-20,,,,,,,,16.67,2.5,47249588
우간다,2020-02-21,,,,,,,,16.67,2.5,47249588
우간다,2020-02-22,,,,,,,,16.67,2.5,47249588
우간다,2020-02-23,,,,,,,,16.67,2.5,47249588
우간다,2020-02-24,,,,,,,,16.67,2.5,47249588
우간다,2020-02-25,,,,,,,,16.67,2.5,47249588
우간다,2020-02-26,,,,,,,,16.67,2.5,47249588
우간다,2020-02-27,,,,,,,,16.67,2.5,47249588
우간다,2020-02-28,,,,,,,,16.67,2.5,47249588
우간다,2020-02-29,,,,,,,,16.67,2.5,47249588
우간다,2020-03-01,,,,,,,,16.67,2.5,47249588
우간다,2020-03-02,,,,,,,,16.67,2.5,47249588
우간다,2020-03-03,,,,,,,,16.67,2.5,47249588
우간다,2020-03-04,,,,,,,,16.67,2.5,47249588
우간다,2020-03-05,,,,,,,,16.67,2.5,47249588
우간다,2020-03-06,,,,,,,,16.67,2.5,47249588
우간다,2020-03-07,,,,,,,,16.67,2.5,47249588
우간다,2020-03-08,,,,,,,,16.67,2.5,47249588
우간다,2020-03-09,,,,,,,,16.67,2.5,47249588
우간다,2020-03-10,,,,,,,,16.67,2.5,47249588
우간다,2020-03-11,,,,,,,,16.67,2.5,47249588
우간다,2020-03-12,,,,,,,,16.67,2.5,47249588
우간다,2020-03-13,,,,,,,,16.67,2.5,47249588
우간다,2020-03-14,,,,,,,,16.67,2.5,47249588
우간다,2020-03-15,,,,,,,,16.67,2.5,47249588
우간다,2020-03-16,,,,,,,,16.67,2.5,47249588
우간다,2020-03-17,,,,,,,,16.67,2.5,47249588
우간다,2020-03-18,,,,,,,,33.33,2.5,47249588
우간다,2020-03-19,,,,,,,,33.33,2.5,47249588
우간다,2020-03-20,,,,,,,,44.44,2.5,47249588
우간다,2020-03-21,,,,,,,,44.44,2.5,47249588
우간다,2020-03-22,1.0,,,,,,,47.22,2.5,47249588
우간다,2020-03-23,1.0,,,,,,,47.22,2.5,47249588
우간다,2020-03-24,9.0,,,,,,,47.22,2.5,47249588
우간다,2020-03-25,9.0,,,,,,,69.44,2.5,47249588
우간다,2020-03-26,12.0,,,,,,,69.44,2.5,47249588
우간다,2020-03-27,16.0,,,,,,,69.44,2.5,47249588
우간다,2020-03-28,20.0,,,,,,,69.44,2.5,47249588
우간다,2020-03-29,27.0,,,,,,,69.44,2.5,47249588
우간다,2020-03-30,30.0,,,,,,,93.52,2.5,47249588
우간다,2020-03-31,30.0,,,,,,,93.52,2.5,47249588
우간다,2020-04-01,41.0,,,,,,,93.52,2.5,47249588
우간다,2020-04-02,41.0,,,,,,,93.52,2.5,47249588
우간다,2020-04-03,42.0,,,,,,,93.52,2.5,47249588
우간다,2020-04-04,43.0,,,,,,,93.52,2.5,47249588
우간다,2020-04-05,43.0,,,,,,,93.52,2.5,47249588
우간다,2020-04-06,47.0,,,,,,,93.52,2.5,47249588
우간다,2020-04-07,47.0,,,,,,,93.52,2.5,47249588
우간다,2020-04-08,47.0,,,0.0045,,,,93.52,2.5,47249588
우간다,2020-04-09,48.0,,,0.004,,,,93.52,2.5,47249588
우간다,2020-04-10,48.0,,,0.0023,,,,93.52,2.5,47249588
우간다,2020-04-11,48.0,,,0.0023,,,,93.52,2.5,47249588
우간다,2020-04-12,48.0,,,0.0009,,,,93.52,2.5,47249588
우간다,2020-04-13,49.0,,,0.0008,,,,93.52,2.5,47249588
우간다,2020-04-14,49.0,,,0.0009,,,,93.52,2.5,47249588
우간다,2020-04-15,50.0,,,0.0005,,,,93.52,2.5,47249588
우간다,2020-04-16,50.0,,,0.0004,,,,93.52,2.5,47249588
우간다,2020-04-17,50.0,,,0.0005,,,,93.52,2.5,47249588
우간다,2020-04-18,50.0,,,,,,,93.52,2.5,47249588
우간다,2020-04-19,50.0,,,0.0003,,,,93.52,2.5,47249588
우간다,2020-04-20,50.0,,,0.0004,,,,93.52,2.5,47249588
우간다,2020-04-21,50.0,,,0.0009,,,,93.52,2.5,47249588
우간다,2020-04-22,50.0,,,0.0011,,,,93.52,2.5,47249588
우간다,2020-04-23,50.0,,,0.0023,,,,93.52,2.5,47249588
우간다,2020-04-24,50.0,,,0.0022,,,,93.52,2.5,47249588
우간다,2020-04-25,51.0,,,0.0022,,,,93.52,2.5,47249588
우간다,2020-04-26,51.0,,,0.0025,,,,93.52,2.5,47249588
우간다,2020-04-27,51.0,,,0.0021,,,,93.52,2.5,47249588
우간다,2020-04-28,51.0,,,0.0014,,,,93.52,2.5,47249588
우간다,2020-04-29,51.0,,,0.0014,,,,93.52,2.5,47249588
우간다,2020-04-30,52.0,,,0.0006,,,,93.52,2.5,47249588
우간다,2020-05-01,52.0,,,0.0006,,,,93.52,2.5,47249588
우간다,2020-05-02,53.0,,,0.0008,,,,93.52,2.5,47249588
우간다,2020-05-03,54.0,,,0.0006,,,,93.52,2.5,47249588
우간다,2020-05-04,54.0,,,0.001,,,,93.52,2.5,47249588
우간다,2020-05-05,57.0,,,0.0011,,,,93.52,2.5,47249588
우간다,2020-05-06,57.0,,,0.001,,,,89.81,2.5,47249588
우간다,2020-05-07,57.0,,0.89,0.0009,,,,89.81,2.5,47249588
우간다,2020-05-08,57.0,,0.89,0.0008,,,,89.81,2.5,47249588
우간다,2020-05-09,60.0,,0.94,0.0013,,,,89.81,2.5,47249588
우간다,2020-05-10,61.0,,0.99,0.0016,,,,89.81,2.5,47249588
우간다,2020-05-11,63.0,,1.03,0.0012,,,,89.81,2.5,47249588
우간다,2020-05-12,64.0,,1.11,0.0016,,,,89.81,2.5,47249588
우간다,2020-05-13,66.0,,1.2,0.0022,,,,89.81,2.5,47249588
우간다,2020-05-14,72.0,,1.28,0.0037,,,,89.81,2.5,47249588
우간다,2020-05-15,77.0,,1.32,0.0066,,,,89.81,2.5,47249588
우간다,2020-05-16,94.0,,1.29,0.0074,,,,89.81,2.5,47249588
우간다,2020-05-17,98.0,,1.26,0.0066,,,,89.81,2.5,47249588
우간다,2020-05-18,119.0,,1.26,0.0078,,,,89.81,2.5,47249588
우간다,2020-05-19,131.0,,1.25,0.0075,,,,89.81,2.5,47249588
우간다,2020-05-20,135.0,,1.26,0.0068,,,,89.81,2.5,47249588
우간다,2020-05-21,145.0,,1.28,,,,,89.81,2.5,47249588
우간다,2020-05-22,160.0,,1.31,0.0038,,,,89.81,2.5,47249588
우간다,2020-05-23,173.0,,1.34,0.0036,,,,89.81,2.5,47249588
우간다,2020-05-24,198.0,,1.37,0.0036,,,,89.81,2.5,47249588
우간다,2020-05-25,212.0,,1.42,0.0038,,,,89.81,2.5,47249588
우간다,2020-05-26,222.0,,1.45,0.0047,,,,84.26,2.5,47249588
우간다,2020-05-27,253.0,,1.46,0.0058,,,,84.26,2.5,47249588
우간다,2020-05-28,281.0,,1.44,0.0076,,,,84.26,2.5,47249588
우간다,2020-05-29,315.0,,1.41,0.0074,,,,84.26,2.5,47249588
우간다,2020-05-30,327.0,,1.41,0.0103,,,,84.26,2.5,47249588
우간다,2020-05-31,410.0,,1.34,0.0105,,,,84.26,2.5,47249588
우간다,2020-06-01,453.0,,1.28,0.0113,,,,84.26,2.5,47249588
우간다,2020-06-02,483.0,,1.21,0.0114,,,,84.26,2.5,47249588
우간다,2020-06-03,500.0,,1.15,0.0109,,,,84.26,2.5,47249588
우간다,2020-06-04,515.0,,1.09,0.0099,,,,84.26,2.5,47249588
우간다,2020-06-05,548.0,,1.05,0.0119,,,,84.26,2.5,47249588
우간다,2020-06-06,583.0,,1.0,0.0096,,,,84.26,2.5,47249588
우간다,2020-06-07,606.0,,0.97,0.0102,,,,84.26,2.5,47249588
우간다,2020-06-08,635.0,,0.91,0.01,,,,84.26,2.5,47249588
우간다,2020-06-09,646.0,,0.85,0.0092,,,,84.26,2.5,47249588
우간다,2020-06-10,654.0,,0.81,0.009,,,,84.26,2.5,47249588
우간다,2020-06-11,668.0,,0.77,0.0091,,,,84.26,2.5,47249588
우간다,2020-06-12,675.0,,0.74,0.007,,,,84.26,2.5,47249588
우간다,2020-06-13,683.0,,0.73,0.0053,,,,84.26,2.5,47249588
우간다,2020-06-14,694.0,,0.74,0.0045,,,,84.26,2.5,47249588
우간다,2020-06-15,703.0,,0.76,0.0033,,,,84.26,2.5,47249588
우간다,2020-06-16,722.0,,0.78,0.0038,,,,84.26,2.5,47249588
우간다,2020-06-17,730.0,,0.79,0.0037,,,,84.26,2.5,47249588
우간다,2020-06-18,739.0,,0.8,0.0033,,,,84.26,2.5,47249588
우간다,2020-06-19,753.0,,0.81,0.0038,,,,84.26,2.5,47249588
우간다,2020-06-20,761.0,,0.82,0.0038,,,,84.26,2.5,47249588
우간다,2020-06-21,768.0,,0.85,0.0042,,,,84.26,2.5,47249588
우간다,2020-06-22,772.0,,0.88,0.0039,,,,87.04,2.5,47249588
우간다,2020-06-23,795.0,,0.93,0.0043,,,,87.04,2.5,47249588
우간다,2020-06-24,803.0,,0.94,0.0041,,,,87.04,2.5,47249588
우간다,2020-06-25,819.0,,0.95,0.0047,,,,87.04,2.5,47249588
우간다,2020-06-26,831.0,,0.95,0.0043,,,,87.04,2.5,47249588
우간다,2020-06-27,846.0,,0.95,0.0046,,,,87.04,2.5,47249588
우간다,2020-06-28,857.0,,0.96,0.0048,,,,87.04,2.5,47249588
우간다,2020-06-29,868.0,,0.96,0.0052,,,,87.04,2.5,47249588
우간다,2020-06-30,887.0,,0.96,0.005,,,,87.04,2.5,47249588
우간다,2020-07-01,891.0,,0.95,0.005,,,,87.04,2.5,47249588
우간다,2020-07-02,900.0,,0.94,0.0045,,,,87.04,2.5,47249588
우간다,2020-07-03,909.0,,0.95,0.0038,,,,87.04,2.5,47249588
우간다,2020-07-04,925.0,,0.96,0.0041,,,,87.04,2.5,47249588
우간다,2020-07-05,937.0,,0.97,0.004,,,,87.04,2.5,47249588
우간다,2020-07-06,951.0,,0.97,0.0041,,,,87.04,2.5,47249588
우간다,2020-07-07,969.0,,0.96,0.0038,,,,87.04,2.5,47249588
우간다,2020-07-08,975.0,,0.94,0.0038,,,,87.04,2.5,47249588
우간다,2020-07-09,998.0,,0.93,0.0046,,,,87.04,2.5,47249588
