location,date,total_cases,total_deaths,reproduction_rate,positive_rate,total_vaccinations,people_vaccinated,people_fully_vaccinated,stringency_index,diabetes_prevalence,population
유럽,2020-01-03,,,,,,,,,,744807803
유럽,2020-01-04,2.0,,,,,,,,,744807803
유럽,2020-01-05,1.0,3.0,,,,,,,,744807803
유럽,2020-01-06,1.0,3.0,,,,,,,,744807803
유럽,2020-01-07,1.0,3.0,,,,,,,,744807803
유럽,2020-01-08,2.0,3.0,,,,,,,,744807803
유럽,2020-01-09,2.0,3.0,,,,,,,,744807803
유럽,2020-01-10,2.0,3.0,,,,,,,,744807803
유럽,2020-01-11,2.0,3.0,,,,,,,,744807803
유럽,2020-01-12,2.0,3.0,,,,,,,,744807803
유럽,2020-01-13,2.0,3.0,,,,,,,,744807803
유럽,2020-01-14,2.0,3.0,,,,,,,,744807803
유럽,2020-01-15,2.0,3.0,,,,,,,,744807803
유럽,2020-01-16,2.0,3.0,,,,,,,,744807803
유럽,2020-01-17,2.0,3.0,,,,,,,,744807803
유럽,2020-01-18,2.0,3.0,,,,,,,,744807803
유럽,2020-01-19,4.0,3.0,,,,,,,,744807803
유럽,2020-01-20,4.0,3.0,,,,,,,,744807803
유럽,2020-01-21,4.0,3.0,,,,,,,,744807803
유럽,2020-01-22,4.0,3.0,,,,,,,,744807803
유럽,2020-01-23,4.0,3.0,,,,,,,,744807803
유럽,2020-01-24,4.0,3.0,,,,,,,,744807803
유럽,2020-01-25,4.0,3.0,,,,,,,,744807803
유럽,2020-01-26,9.0,6.0,,,,,,,,744807803
유럽,2020-01-27,9.0,6.0,,,,,,,,744807803
유럽,2020-01-28,9.0,6.0,,,,,,,,744807803
유럽,2020-01-29,9.0,6.0,,,,,,,,744807803
유럽,2020-01-30,10.0,6.0,,,,,,,,744807803
유럽,2020-01-31,13.0,6.0,,,,,,,,744807803
유럽,2020-02-01,16.0,7.0,,,,,,,,744807803
유럽,2020-02-02,30.0,10.0,,,,,,,,744807803
유럽,2020-02-03,30.0,10.0,,,,,,,,744807803
유럽,2020-02-04,31.0,11.0,,,,,,,,744807803
유럽,2020-02-05,51.0,11.0,,,,,,,,744807803
유럽,2020-02-06,51.0,11.0,,,,,,,,744807803
유럽,2020-02-07,52.0,11.0,,,,,,,,744807803
유럽,2020-02-08,52.0,11.0,,,,,,,,744807803
유럽,2020-02-09,84.0,11.0,,,,,,,,744807803
유럽,2020-02-10,87.0,11.0,,,,,,,,744807803
유럽,2020-02-11,88.0,11.0,,,,,,,,744807803
유럽,2020-02-12,90.0,11.0,,,,,,,,744807803
유럽,2020-02-13,94.0,11.0,,,,,,,,744807803
유럽,2020-02-14,95.0,11.0,,,,,,,,744807803
유럽,2020-02-15,96.0,11.0,,,,,,,,744807803
유럽,2020-02-16,105.0,12.0,,,,,,,,744807803
유럽,2020-02-17,105.0,12.0,,,,,,,,744807803
유럽,2020-02-18,105.0,12.0,,,,,,,,744807803
