location,date,total_cases,total_deaths,reproduction_rate,positive_rate,total_vaccinations,people_vaccinated,people_fully_vaccinated,stringency_index,diabetes_prevalence,population
유럽연합,2020-01-03,,,,,,,,,,450146793
유럽연합,2020-01-04,2.0,,,,,,,,,450146793
유럽연합,2020-01-05,1.0,3.0,,,,,,,,450146793
유럽연합,2020-01-06,1.0,3.0,,,,,,,,450146793
유럽연합,2020-01-07,1.0,3.0,,,,,,,,450146793
유럽연합,2020-01-08,1.0,3.0,,,,,,,,450146793
유럽연합,2020-01-09,1.0,3.0,,,,,,,,450146793
유럽연합,2020-01-10,1.0,3.0,,,,,,,,450146793
유럽연합,2020-01-11,1.0,3.0,,,,,,,,450146793
유럽연합,2020-01-12,1.0,3.0,,,,,,,,450146793
유럽연합,2020-01-13,1.0,3.0,,,,,,,,450146793
유럽연합,2020-01-14,1.0,3.0,,,,,,,,450146793
유럽연합,2020-01-15,1.0,3.0,,,,,,,,450146793
유럽연합,2020-01-16,1.0,3.0,,,,,,,,450146793
유럽연합,2020-01-17,1.0,3.0,,,,,,,,450146793
유럽연합,2020-01-18,1.0,3.0,,,,,,,,450146793
유럽연합,2020-01-19,3.0,3.0,,,,,,,,450146793
유럽연합,2020-01-20,3.0,3.0,,,,,,,,450146793
유럽연합,2020-01-21,3.0,3.0,,,,,,,,450146793
유럽연합,2020-01-22,3.0,3.0,,,,,,,,450146793
유럽연합,2020-01-23,3.0,3.0,,,,,,,,450146793
유럽연합,2020-01-24,3.0,3.0,,,,,,,,450146793
유럽연합,2020-01-25,3.0,3.0,,,,,,,,450146793
유럽연합,2020-01-26,8.0,6.0,,,,,,,,450146793
유럽연합,2020-01-27,8.0,6.0,,,,,,,,450146793
유럽연합,2020-01-28,8.0,6.0,,,,,,,,450146793
유럽연합,2020-01-29,8.0,6.0,,,,,,,,450146793
유럽연합,2020-01-30,9.0,6.0,,,,,,,,450146793
유럽연합,2020-01-31,12.0,6.0,,,,,,,,450146793
유럽연합,2020-02-01,12.0,6.0,,,,,,,,450146793
유럽연합,2020-02-02,26.0,9.0,,,,,,,,450146793
유럽연합,2020-02-03,26.0,9.0,,,,,,,,450146793
유럽연합,2020-02-04,26.0,9.0,,,,,,,,450146793
유럽연합,2020-02-05,28.0,9.0,,,,,,,,450146793
유럽연합,2020-02-06,28.0,9.0,,,,,,,,450146793
유럽연합,2020-02-07,28.0,9.0,,,,,,,,450146793
유럽연합,2020-02-08,28.0,9.0,,,,,,,,450146793
유럽연합,2020-02-09,45.0,9.0,,,,,,,,450146793
유럽연합,2020-02-10,45.0,9.0,,,,,,,,450146793
유럽연합,2020-02-11,45.0,9.0,,,,,,,,450146793
유럽연합,2020-02-12,46.0,9.0,,,,,,,,450146793
유럽연합,2020-02-13,46.0,9.0,,,,,,,,450146793
유럽연합,2020-02-14,46.0,9.0,,,,,,,,450146793
유럽연합,2020-02-15,46.0,9.0,,,,,,,,450146793
유럽연합,2020-02-16,55.0,10.0,,,,,,,,450146793
유럽연합,2020-02-17,55.0,10.0,,,,,,,,450146793
유럽연합,2020-02-18,55.0,10.0,,,,,,,,450146793
유럽연합,2020-02-19,55.0,10.0,,,,,,,,450146793
유럽연합,2020-02-20,55.0,10.0,,,,,,,,450146793
유럽연합,2020-02-21,55.0,10.0,,,,,,,,450146793
유럽연합,2020-02-22,69.0,10.0,,,,,,,,450146793
유럽연합,2020-02-23,150.0,13.0,,,,,,,,450146793
유럽연합,2020-02-24,204.0,14.0,,,,,,,,450146793
유럽연합,2020-02-25,301.0,18.0,,,,,,,,450146793
유럽연합,2020-02-26,395.0,21.0,,,,,,,,450146793
