location,date,total_cases,total_deaths,reproduction_rate,positive_rate,total_vaccinations,people_vaccinated,people_fully_vaccinated,stringency_index,diabetes_prevalence,population
이라크,2020-01-03,,,,,,,,0.0,8.83,44496124
이라크,2020-01-04,,,,,,,,0.0,8.83,44496124
이라크,2020-01-05,,,,,,,,0.0,8.83,44496124
이라크,2020-01-06,,,,,,,,0.0,8.83,44496124
이라크,2020-01-07,,,,,,,,0.0,8.83,44496124
이라크,2020-01-08,,,,,,,,0.0,8.83,44496124
이라크,2020-01-09,,,,,,,,0.0,8.83,44496124
이라크,2020-01-10,,,,,,,,0.0,8.83,44496124
이라크,2020-01-11,,,,,,,,0.0,8.83,44496124
이라크,2020-01-12,,,,,,,,0.0,8.83,44496124
이라크,2020-01-13,,,,,,,,0.0,8.83,44496124
이라크,2020-01-14,,,,,,,,0.0,8.83,44496124
이라크,2020-01-15,,,,,,,,0.0,8.83,44496124
이라크,2020-01-16,,,,,,,,0.0,8.83,44496124
이라크,2020-01-17,,,,,,,,0.0,8.83,44496124
이라크,2020-01-18,,,,,,,,0.0,8.83,44496124
이라크,2020-01-19,,,,,,,,0.0,8.83,44496124
이라크,2020-01-20,,,,,,,,0.0,8.83,44496124
이라크,2020-01-21,,,,,,,,0.0,8.83,44496124
이라크,2020-01-22,,,,,,,,0.0,8.83,44496124
이라크,2020-01-23,,,,,,,,0.0,8.83,44496124
이라크,2020-01-24,,,,,,,,0.0,8.83,44496124
이라크,2020-01-25,,,,,,,,0.0,8.83,44496124
이라크,2020-01-26,,,,,,,,0.0,8.83,44496124
이라크,2020-01-27,,,,,,,,0.0,8.83,44496124
이라크,2020-01-28,,,,,,,,0.0,8.83,44496124
이라크,2020-01-29,,,,,,,,0.0,8.83,44496124
이라크,2020-01-30,,,,,,,,0.0,8.83,44496124
이라크,2020-01-31,,,,,,,,0.0,8.83,44496124
이라크,2020-02-01,,,,,,,,0.0,8.83,44496124
이라크,2020-02-02,,,,,,,,0.0,8.83,44496124
이라크,2020-02-03,,,,,,,,0.0,8.83,44496124
이라크,2020-02-04,,,,,,,,0.0,8.83,44496124
이라크,2020-02-05,,,,,,,,0.0,8.83,44496124
이라크,2020-02-06,,,,,,,,0.0,8.83,44496124
이라크,2020-02-07,,,,,,,,0.0,8.83,44496124
이라크,2020-02-08,,,,,,,,0.0,8.83,44496124
이라크,2020-02-09,,,,,,,,0.0,8.83,44496124
이라크,2020-02-10,,,,,,,,0.0,8.83,44496124
이라크,2020-02-11,,,,,,,,0.0,8.83,44496124
이라크,2020-02-12,,,,,,,,0.0,8.83,44496124
이라크,2020-02-13,,,,,,,,0.0,8.83,44496124
이라크,2020-02-14,,,,,,,,0.0,8.83,44496124
이라크,2020-02-15,,,,,,,,0.0,8.83,44496124
이라크,2020-02-16,,,,,,,,0.0,8.83,44496124
이라크,2020-02-17,,,,,,,,0.0,8.83,44496124
이라크,2020-02-18,,,,,,,,0.0,8.83,44496124
이라크,2020-02-19,,,,,,,,2.78,8.83,44496124
이라크,2020-02-20,,,,,,,,11.11,8.83,44496124
이라크,2020-02-21,,,,,,,,11.11,8.83,44496124
이라크,2020-02-22,,,,,,,,11.11,8.83,44496124
이라크,2020-02-23,,,,,,,,19.44,8.83,44496124
이라크,2020-02-24,,,,,,,,19.44,8.83,44496124
이라크,2020-02-25,,,,,,,,50.93,8.83,44496124
이라크,2020-02-26,5.0,,,,,,,50.93,8.83,44496124
이라크,2020-02-27,6.0,,,,,,,52.78,8.83,44496124
이라크,2020-02-28,7.0,,,,,,,52.78,8.83,44496124
이라크,2020-02-29,8.0,,,,,,,52.78,8.83,44496124
이라크,2020-03-01,13.0,,,,,,,52.78,8.83,44496124
이라크,2020-03-02,19.0,,,,,,,52.78,8.83,44496124
이라크,2020-03-03,26.0,,,,,,,52.78,8.83,44496124
이라크,2020-03-04,30.0,,,,,,,52.78,8.83,44496124
이라크,2020-03-05,35.0,,,,,,,52.78,8.83,44496124
이라크,2020-03-06,38.0,2.0,,,,,,52.78,8.83,44496124
이라크,2020-03-07,46.0,2.0,,,,,,52.78,8.83,44496124
이라크,2020-03-08,54.0,2.0,,,,,,52.78,8.83,44496124
이라크,2020-03-09,61.0,6.0,,,,,,52.78,8.83,44496124
이라크,2020-03-10,61.0,6.0,,,,,,52.78,8.83,44496124
이라크,2020-03-11,70.0,7.0,,,,,,61.11,8.83,44496124
이라크,2020-03-12,70.0,7.0,,,,,,61.11,8.83,44496124
이라크,2020-03-13,70.0,7.0,,,,,,75.0,8.83,44496124
이라크,2020-03-14,85.0,9.0,1.24,,,,,75.0,8.83,44496124
이라크,2020-03-15,112.0,9.0,1.24,,,,,75.0,8.83,44496124
이라크,2020-03-16,126.0,9.0,1.26,,,,,77.78,8.83,44496124
이라크,2020-03-17,134.0,10.0,1.31,,,,,89.81,8.83,44496124
이라크,2020-03-18,158.0,11.0,1.33,,,,,89.81,8.83,44496124
이라크,2020-03-19,164.0,12.0,1.37,,,,,89.81,8.83,44496124
이라크,2020-03-20,177.0,12.0,1.38,,,,,89.81,8.83,44496124
이라크,2020-03-21,193.0,14.0,1.42,,,,,89.81,8.83,44496124
