location,date,total_cases,total_deaths,reproduction_rate,positive_rate,total_vaccinations,people_vaccinated,people_fully_vaccinated,stringency_index,diabetes_prevalence,population
이란,2020-01-03,,,,,,,,0.0,9.59,88550568
이란,2020-01-04,,,,,,,,0.0,9.59,88550568
이란,2020-01-05,,,,,,,,0.0,9.59,88550568
이란,2020-01-06,,,,,,,,0.0,9.59,88550568
이란,2020-01-07,,,,,,,,0.0,9.59,88550568
이란,2020-01-08,,,,,,,,0.0,9.59,88550568
이란,2020-01-09,,,,,,,,0.0,9.59,88550568
이란,2020-01-10,,,,,,,,0.0,9.59,88550568
이란,2020-01-11,,,,,,,,0.0,9.59,88550568
이란,2020-01-12,,,,,,,,0.0,9.59,88550568
이란,2020-01-13,,,,,,,,0.0,9.59,88550568
이란,2020-01-14,,,,,,,,0.0,9.59,88550568
이란,2020-01-15,,,,,,,,0.0,9.59,88550568
이란,2020-01-16,,,,,,,,0.0,9.59,88550568
이란,2020-01-17,,,,,,,,0.0,9.59,88550568
이란,2020-01-18,,,,,,,,0.0,9.59,88550568
이란,2020-01-19,,,,,,,,0.0,9.59,88550568
이란,2020-01-20,,,,,,,,0.0,9.59,88550568
이란,2020-01-21,,,,,,,,0.0,9.59,88550568
이란,2020-01-22,,,,,,,,0.0,9.59,88550568
이란,2020-01-23,,,,,,,,0.0,9.59,88550568
이란,2020-01-24,,,,,,,,0.0,9.59,88550568
이란,2020-01-25,,,,,,,,0.0,9.59,88550568
이란,2020-01-26,,,,,,,,0.0,9.59,88550568
이란,2020-01-27,,,,,,,,0.0,9.59,88550568
이란,2020-01-28,,,,,,,,0.0,9.59,88550568
이란,2020-01-29,,,,,,,,0.0,9.59,88550568
이란,2020-01-30,,,,,,,,0.0,9.59,88550568
이란,2020-01-31,,,,,,,,0.0,9.59,88550568
이란,2020-02-01,,,,,,,,0.0,9.59,88550568
이란,2020-02-02,,,,,,,,0.0,9.59,88550568
이란,2020-02-03,,,,,,,,0.0,9.59,88550568
이란,2020-02-04,,,,,,,,0.0,9.59,88550568
이란,2020-02-05,,,,,,,,0.0,9.59,88550568
이란,2020-02-06,,,,,,,,0.0,9.59,88550568
이란,2020-02-07,,,,,,,,0.0,9.59,88550568
이란,2020-02-08,,,,,,,,0.0,9.59,88550568
이란,2020-02-09,,,,,,,,0.0,9.59,88550568
이란,2020-02-10,,,,,,,,0.0,9.59,88550568
이란,2020-02-11,,,,,,,,0.0,9.59,88550568
이란,2020-02-12,,,,,,,,0.0,9.59,88550568
이란,2020-02-13,,,,,,,,0.0,9.59,88550568
이란,2020-02-14,,,,,,,,0.0,9.59,88550568
이란,2020-02-15,,,,,,,,0.0,9.59,88550568
이란,2020-02-16,,,,,,,,0.0,9.59,88550568
이란,2020-02-17,,,,,,,,0.0,9.59,88550568
이란,2020-02-18,,,,,,,,0.0,9.59,88550568
이란,2020-02-19,,,,,,,,0.0,9.59,88550568
이란,2020-02-20,,,,,,,,2.78,9.59,88550568
이란,2020-02-21,5.0,2.0,,,,,,2.78,9.59,88550568
이란,2020-02-22,18.0,4.0,,,,,,11.11,9.59,88550568
이란,2020-02-23,28.0,5.0,,,,,,11.11,9.59,88550568
이란,2020-02-24,43.0,8.0,,,,,,11.11,9.59,88550568
이란,2020-02-25,63.0,12.0,,,,,,11.11,9.59,88550568
이란,2020-02-26,95.0,15.0,,,,,,20.37,9.59,88550568
이란,2020-02-27,139.0,19.0,4.82,,,,,20.37,9.59,88550568
이란,2020-02-28,245.0,26.0,4.61,,,,,20.37,9.59,88550568
이란,2020-02-29,388.0,34.0,4.6,,,,,20.37,9.59,88550568
이란,2020-03-01,593.0,43.0,4.65,,,,,20.37,9.59,88550568
이란,2020-03-02,978.0,54.0,4.37,,,,,20.37,9.59,88550568
이란,2020-03-03,1501.0,66.0,3.88,,,,,20.37,9.59,88550568
이란,2020-03-04,2336.0,77.0,3.16,,,,,20.37,9.59,88550568
이란,2020-03-05,2922.0,92.0,2.69,,,,,42.59,9.59,88550568
이란,2020-03-06,3513.0,107.0,2.59,,,,,42.59,9.59,88550568
이란,2020-03-07,4747.0,124.0,2.19,,,,,42.59,9.59,88550568
이란,2020-03-08,5823.0,145.0,1.72,,,,,42.59,9.59,88550568
이란,2020-03-09,6566.0,194.0,1.5,,,,,42.59,9.59,88550568
이란,2020-03-10,7161.0,238.0,1.47,,,,,42.59,9.59,88550568
이란,2020-03-11,8042.0,292.0,1.58,,,,,48.15,9.59,88550568
이란,2020-03-12,9000.0,356.0,1.6,,,,,48.15,9.59,88550568
이란,2020-03-13,10075.0,431.0,1.55,,,,,48.15,9.59,88550568
이란,2020-03-14,11364.0,516.0,1.52,,,,,48.15,9.59,88550568
이란,2020-03-15,12729.0,611.0,1.4,,,,,48.15,9.59,88550568
이란,2020-03-16,13938.0,724.0,1.28,,,,,48.15,9.59,88550568
이란,2020-03-17,14991.0,853.0,1.21,,,,,48.15,9.59,88550568
