location,date,total_cases,total_deaths,reproduction_rate,positive_rate,total_vaccinations,people_vaccinated,people_fully_vaccinated,stringency_index,diabetes_prevalence,population
이스라엘,2020-01-03,,,,,,,,0.0,6.74,9449000
이스라엘,2020-01-04,,,,,,,,0.0,6.74,9449000
이스라엘,2020-01-05,,,,,,,,0.0,6.74,9449000
이스라엘,2020-01-06,,,,,,,,0.0,6.74,9449000
이스라엘,2020-01-07,,,,,,,,0.0,6.74,9449000
이스라엘,2020-01-08,,,,,,,,0.0,6.74,9449000
이스라엘,2020-01-09,,,,,,,,0.0,6.74,9449000
이스라엘,2020-01-10,,,,,,,,0.0,6.74,9449000
이스라엘,2020-01-11,,,,,,,,0.0,6.74,9449000
이스라엘,2020-01-12,,,,,,,,0.0,6.74,9449000
이스라엘,2020-01-13,,,,,,,,0.0,6.74,9449000
이스라엘,2020-01-14,,,,,,,,0.0,6.74,9449000
이스라엘,2020-01-15,,,,,,,,0.0,6.74,9449000
이스라엘,2020-01-16,,,,,,,,0.0,6.74,9449000
이스라엘,2020-01-17,,,,,,,,0.0,6.74,9449000
이스라엘,2020-01-18,,,,,,,,0.0,6.74,9449000
이스라엘,2020-01-19,,,,,,,,0.0,6.74,9449000
이스라엘,2020-01-20,,,,,,,,0.0,6.74,9449000
이스라엘,2020-01-21,,,,,,,,0.0,6.74,9449000
이스라엘,2020-01-22,,,,,,,,0.0,6.74,9449000
이스라엘,2020-01-23,,,,,,,,0.0,6.74,9449000
이스라엘,2020-01-24,,,,,,,,0.0,6.74,9449000
이스라엘,2020-01-25,,,,,,,,0.0,6.74,9449000
이스라엘,2020-01-26,,,,,,,,0.0,6.74,9449000
이스라엘,2020-01-27,,,,,,,,2.78,6.74,9449000
이스라엘,2020-01-28,,,,,,,,2.78,6.74,9449000
이스라엘,2020-01-29,,,,,,,,2.78,6.74,9449000
이스라엘,2020-01-30,,,,,,,,2.78,6.74,9449000
이스라엘,2020-01-31,,,,,,,,2.78,6.74,9449000
이스라엘,2020-02-01,,,,,,,,2.78,6.74,9449000
이스라엘,2020-02-02,,,,,,,,13.89,6.74,9449000
이스라엘,2020-02-03,,,,,,,,13.89,6.74,9449000
이스라엘,2020-02-04,,,,,,,,13.89,6.74,9449000
이스라엘,2020-02-05,,,,,,,,13.89,6.74,9449000
이스라엘,2020-02-06,,,,,,,,13.89,6.74,9449000
이스라엘,2020-02-07,,,,,,,,13.89,6.74,9449000
이스라엘,2020-02-08,,,,,,,,13.89,6.74,9449000
이스라엘,2020-02-09,,,,,,,,19.44,6.74,9449000
이스라엘,2020-02-10,,,,,,,,19.44,6.74,9449000
이스라엘,2020-02-11,,,,,,,,19.44,6.74,9449000
이스라엘,2020-02-12,,,,,,,,19.44,6.74,9449000
이스라엘,2020-02-13,9.0,,,,,,,19.44,6.74,9449000
이스라엘,2020-02-14,9.0,,,,,,,19.44,6.74,9449000
이스라엘,2020-02-15,9.0,,,,,,,19.44,6.74,9449000
이스라엘,2020-02-16,9.0,,,,,,,19.44,6.74,9449000
이스라엘,2020-02-17,9.0,,,,,,,19.44,6.74,9449000
이스라엘,2020-02-18,9.0,,,,,,,19.44,6.74,9449000
이스라엘,2020-02-19,9.0,,,,,,,19.44,6.74,9449000
이스라엘,2020-02-20,9.0,,,0.0,,,,19.44,6.74,9449000
이스라엘,2020-02-21,9.0,,,0.0,,,,19.44,6.74,9449000
이스라엘,2020-02-22,10.0,,,0.0,,,,19.44,6.74,9449000
이스라엘,2020-02-23,10.0,,,0.0,,,,19.44,6.74,9449000
이스라엘,2020-02-24,10.0,,,0.0,,,,19.44,6.74,9449000
이스라엘,2020-02-25,11.0,,,0.0,,,,19.44,6.74,9449000
이스라엘,2020-02-26,11.0,,,0.005,,,,19.44,6.74,9449000
이스라엘,2020-02-27,11.0,,,0.006,,,,19.44,6.74,9449000
이스라엘,2020-02-28,12.0,,,0.008,,,,19.44,6.74,9449000
이스라엘,2020-02-29,15.0,,,0.007,,,,19.44,6.74,9449000
이스라엘,2020-03-01,15.0,,,0.007,,,,19.44,6.74,9449000
이스라엘,2020-03-02,16.0,,,0.01,,,,19.44,6.74,9449000
이스라엘,2020-03-03,21.0,,,0.012,,,,19.44,6.74,9449000
이스라엘,2020-03-04,24.0,,,0.012,,,,33.33,6.74,9449000
이스라엘,2020-03-05,24.0,,,0.019,,,,33.33,6.74,9449000
이스라엘,2020-03-06,33.0,,,0.017,,,,33.33,6.74,9449000
이스라엘,2020-03-07,37.0,,,0.018,,,,33.33,6.74,9449000
이스라엘,2020-03-08,41.0,,,0.02,,,,33.33,6.74,9449000
이스라엘,2020-03-09,50.0,,,0.016,,,,33.33,6.74,9449000
이스라엘,2020-03-10,54.0,,,0.028,,,,33.33,6.74,9449000
이스라엘,2020-03-11,87.0,,,0.032,,,,33.33,6.74,9449000
이스라엘,2020-03-12,105.0,,,0.032,,,,41.67,6.74,9449000
이스라엘,2020-03-13,128.0,,,0.037,,,,52.78,6.74,9449000
이스라엘,2020-03-14,163.0,,2.62,0.041,,,,52.78,6.74,9449000
이스라엘,2020-03-15,192.0,,2.64,0.043,,,,62.96,6.74,9449000
이스라엘,2020-03-16,232.0,,2.67,0.051,,,,68.52,6.74,9449000
이스라엘,2020-03-17,305.0,,2.66,0.052,,,,77.78,6.74,9449000
이스라엘,2020-03-18,399.0,,2.66,0.056,,,,77.78,6.74,9449000
이스라엘,2020-03-19,524.0,,2.74,0.06,,,,77.78,6.74,9449000
이스라엘,2020-03-20,659.0,,2.86,0.064,,,,81.48,6.74,9449000
이스라엘,2020-03-21,827.0,1.0,2.85,0.072,,,,81.48,6.74,9449000
이스라엘,2020-03-22,1036.0,1.0,2.8,0.077,,,,81.48,6.74,9449000
이스라엘,2020-03-23,1288.0,1.0,2.73,0.084,,,,81.48,6.74,9449000
이스라엘,2020-03-24,1637.0,1.0,2.72,0.088,,,,81.48,6.74,9449000
이스라엘,2020-03-25,2055.0,4.0,2.75,0.087,,,,81.48,6.74,9449000
이스라엘,2020-03-26,2478.0,5.0,2.54,0.087,,,,81.48,6.74,9449000
이스라엘,2020-03-27,2997.0,10.0,2.32,0.087,,,,81.48,6.74,9449000
이스라엘,2020-03-28,3428.0,12.0,2.16,0.086,,,,81.48,6.74,9449000
이스라엘,2020-03-29,3904.0,13.0,2.02,0.084,,,,81.48,6.74,9449000
이스라엘,2020-03-30,4433.0,16.0,1.89,0.082,,,,81.48,6.74,9449000
이스라엘,2020-03-31,4982.0,17.0,1.77,0.084,,,,81.48,6.74,9449000
이스라엘,2020-04-01,5719.0,21.0,1.62,0.085,,,,85.19,6.74,9449000
이스라엘,2020-04-02,6412.0,29.0,1.53,0.084,,,,85.19,6.74,9449000
이스라엘,2020-04-03,7136.0,38.0,1.41,0.08,,,,87.96,6.74,9449000
이스라엘,2020-04-04,7736.0,43.0,1.32,0.078,,,,87.96,6.74,9449000
이스라엘,2020-04-05,8163.0,49.0,1.24,0.077,,,,87.96,6.74,9449000
이스라엘,2020-04-06,8747.0,56.0,1.16,0.075,,,,87.96,6.74,9449000
이스라엘,2020-04-07,9196.0,64.0,1.08,0.07,,,,90.74,6.74,9449000
이스라엘,2020-04-08,9572.0,72.0,1.01,0.068,,,,94.44,6.74,9449000
이스라엘,2020-04-09,9912.0,80.0,0.99,0.067,,,,94.44,6.74,9449000
이스라엘,2020-04-10,10252.0,89.0,0.96,0.066,,,,94.44,6.74,9449000
이스라엘,2020-04-11,10607.0,97.0,0.96,0.065,,,,91.67,6.74,9449000
이스라엘,2020-04-12,10949.0,103.0,0.95,0.064,,,,91.67,6.74,9449000
이스라엘,2020-04-13,11500.0,109.0,0.92,0.062,,,,91.67,6.74,9449000
이스라엘,2020-04-14,11937.0,118.0,0.88,0.056,,,,94.44,6.74,9449000
이스라엘,2020-04-15,12330.0,126.0,0.83,0.052,,,,94.44,6.74,9449000
이스라엘,2020-04-16,12635.0,139.0,0.81,0.046,,,,94.44,6.74,9449000
이스라엘,2020-04-17,12931.0,146.0,0.8,0.043,,,,91.67,6.74,9449000
이스라엘,2020-04-18,13228.0,155.0,0.79,0.04,,,,91.67,6.74,9449000
이스라엘,2020-04-19,13516.0,166.0,0.77,0.035,,,,87.96,6.74,9449000
이스라엘,2020-04-20,13790.0,174.0,0.75,0.03,,,,87.96,6.74,9449000
이스라엘,2020-04-21,14087.0,180.0,0.72,0.028,,,,87.96,6.74,9449000
