location,date,total_cases,total_deaths,reproduction_rate,positive_rate,total_vaccinations,people_vaccinated,people_fully_vaccinated,stringency_index,diabetes_prevalence,population
이집트,2020-01-03,,,,,,,,0.0,17.31,110990096
이집트,2020-01-04,,,,,,,,0.0,17.31,110990096
이집트,2020-01-05,,,,,,,,0.0,17.31,110990096
이집트,2020-01-06,,,,,,,,0.0,17.31,110990096
이집트,2020-01-07,,,,,,,,0.0,17.31,110990096
이집트,2020-01-08,,,,,,,,0.0,17.31,110990096
이집트,2020-01-09,,,,,,,,0.0,17.31,110990096
이집트,2020-01-10,,,,,,,,0.0,17.31,110990096
이집트,2020-01-11,,,,,,,,0.0,17.31,110990096
이집트,2020-01-12,,,,,,,,0.0,17.31,110990096
이집트,2020-01-13,,,,,,,,0.0,17.31,110990096
이집트,2020-01-14,,,,,,,,0.0,17.31,110990096
이집트,2020-01-15,,,,,,,,0.0,17.31,110990096
이집트,2020-01-16,,,,,,,,0.0,17.31,110990096
이집트,2020-01-17,,,,,,,,0.0,17.31,110990096
이집트,2020-01-18,,,,,,,,0.0,17.31,110990096
이집트,2020-01-19,,,,,,,,0.0,17.31,110990096
이집트,2020-01-20,,,,,,,,0.0,17.31,110990096
이집트,2020-01-21,,,,,,,,0.0,17.31,110990096
이집트,2020-01-22,,,,,,,,0.0,17.31,110990096
이집트,2020-01-23,,,,,,,,0.0,17.31,110990096
이집트,2020-01-24,,,,,,,,0.0,17.31,110990096
이집트,2020-01-25,,,,,,,,0.0,17.31,110990096
이집트,2020-01-26,,,,,,,,0.0,17.31,110990096
이집트,2020-01-27,,,,,,,,0.0,17.31,110990096
이집트,2020-01-28,,,,,,,,0.0,17.31,110990096
이집트,2020-01-29,,,,,,,,0.0,17.31,110990096
이집트,2020-01-30,,,,,,,,0.0,17.31,110990096
이집트,2020-01-31,,,,,,,,0.0,17.31,110990096
이집트,2020-02-01,,,,,,,,0.0,17.31,110990096
이집트,2020-02-02,,,,,,,,0.0,17.31,110990096
이집트,2020-02-03,,,,,,,,0.0,17.31,110990096
이집트,2020-02-04,,,,,,,,0.0,17.31,110990096
이집트,2020-02-05,,,,,,,,0.0,17.31,110990096
이집트,2020-02-06,,,,,,,,0.0,17.31,110990096
이집트,2020-02-07,,,,,,,,0.0,17.31,110990096
이집트,2020-02-08,,,,,,,,0.0,17.31,110990096
이집트,2020-02-09,,,,,,,,0.0,17.31,110990096
이집트,2020-02-10,,,,,,,,0.0,17.31,110990096
이집트,2020-02-11,,,,,,,,0.0,17.31,110990096
이집트,2020-02-12,,,,,,,,0.0,17.31,110990096
이집트,2020-02-13,,,,,,,,0.0,17.31,110990096
이집트,2020-02-14,,,,,,,,0.0,17.31,110990096
이집트,2020-02-15,,,,,,,,0.0,17.31,110990096
이집트,2020-02-16,1.0,,,,,,,0.0,17.31,110990096
이집트,2020-02-17,1.0,,,,,,,0.0,17.31,110990096
이집트,2020-02-18,1.0,,,,,,,0.0,17.31,110990096
이집트,2020-02-19,1.0,,,,,,,0.0,17.31,110990096
이집트,2020-02-20,1.0,,,,,,,0.0,17.31,110990096
이집트,2020-02-21,1.0,,,,,,,0.0,17.31,110990096
이집트,2020-02-22,1.0,,,,,,,0.0,17.31,110990096
이집트,2020-02-23,1.0,,,,,,,0.0,17.31,110990096
이집트,2020-02-24,1.0,,,,,,,0.0,17.31,110990096
이집트,2020-02-25,1.0,,,,,,,0.0,17.31,110990096
이집트,2020-02-26,1.0,,,,,,,0.0,17.31,110990096
이집트,2020-02-27,1.0,,,,,,,0.0,17.31,110990096
이집트,2020-02-28,1.0,,,,,,,0.0,17.31,110990096
이집트,2020-02-29,1.0,,,,,,,0.0,17.31,110990096
이집트,2020-03-01,1.0,,,,,,,0.0,17.31,110990096
이집트,2020-03-02,1.0,,,,,,,0.0,17.31,110990096
이집트,2020-03-03,2.0,,,,,,,0.0,17.31,110990096
이집트,2020-03-04,2.0,,,,,,,0.0,17.31,110990096
이집트,2020-03-05,2.0,,,,,,,0.0,17.31,110990096
이집트,2020-03-06,3.0,,,,,,,0.0,17.31,110990096
이집트,2020-03-07,15.0,,,,,,,0.0,17.31,110990096
이집트,2020-03-08,48.0,,,,,,,0.0,17.31,110990096
이집트,2020-03-09,50.0,,,,,,,11.11,17.31,110990096
이집트,2020-03-10,54.0,1.0,,,,,,11.11,17.31,110990096
이집트,2020-03-11,59.0,1.0,,,,,,11.11,17.31,110990096
이집트,2020-03-12,67.0,1.0,,,,,,11.11,17.31,110990096
이집트,2020-03-13,80.0,2.0,,,,,,11.11,17.31,110990096
이집트,2020-03-14,93.0,2.0,,,,,,11.11,17.31,110990096
이집트,2020-03-15,110.0,2.0,1.55,,,,,22.22,17.31,110990096
이집트,2020-03-16,126.0,2.0,1.58,,,,,29.63,17.31,110990096
이집트,2020-03-17,166.0,4.0,1.57,,,,,29.63,17.31,110990096
이집트,2020-03-18,196.0,6.0,1.54,,,,,29.63,17.31,110990096
이집트,2020-03-19,210.0,6.0,1.54,,,,,40.74,17.31,110990096
이집트,2020-03-20,256.0,7.0,1.5,,,,,40.74,17.31,110990096
이집트,2020-03-21,285.0,8.0,1.48,,,,,40.74,17.31,110990096
이집트,2020-03-22,294.0,10.0,1.48,,,,,40.74,17.31,110990096
이집트,2020-03-23,327.0,14.0,1.46,,,,,40.74,17.31,110990096
이집트,2020-03-24,366.0,19.0,1.46,,,,,51.85,17.31,110990096
이집트,2020-03-25,402.0,20.0,1.47,,,,,84.26,17.31,110990096
이집트,2020-03-26,456.0,21.0,1.44,,,,,84.26,17.31,110990096
이집트,2020-03-27,495.0,24.0,1.45,,,,,84.26,17.31,110990096
이집트,2020-03-28,536.0,30.0,1.46,,,,,84.26,17.31,110990096
이집트,2020-03-29,576.0,36.0,1.47,,,,,84.26,17.31,110990096
이집트,2020-03-30,609.0,40.0,1.49,,,,,84.26,17.31,110990096
이집트,2020-03-31,656.0,41.0,1.53,,,,,84.26,17.31,110990096
이집트,2020-04-01,710.0,46.0,1.57,,,,,84.26,17.31,110990096
이집트,2020-04-02,779.0,52.0,1.6,,,,,84.26,17.31,110990096
이집트,2020-04-03,865.0,58.0,1.62,,,,,84.26,17.31,110990096
이집트,2020-04-04,985.0,66.0,1.61,,,,,84.26,17.31,110990096
이집트,2020-04-05,1070.0,71.0,1.6,,,,,84.26,17.31,110990096
이집트,2020-04-06,1173.0,78.0,1.57,,,,,84.26,17.31,110990096
이집트,2020-04-07,1322.0,85.0,1.53,,,,,84.26,17.31,110990096
이집트,2020-04-08,1450.0,94.0,1.48,,,,,84.26,17.31,110990096
이집트,2020-04-09,1560.0,103.0,1.45,,,,,84.26,17.31,110990096
이집트,2020-04-10,1699.0,118.0,1.42,,,,,84.26,17.31,110990096
이집트,2020-04-11,1794.0,135.0,1.4,,,,,84.26,17.31,110990096
이집트,2020-04-12,1939.0,146.0,1.38,,,,,84.26,17.31,110990096
이집트,2020-04-13,2065.0,159.0,1.36,,,,,84.26,17.31,110990096
이집트,2020-04-14,2190.0,164.0,1.35,,,,,84.26,17.31,110990096
이집트,2020-04-15,2350.0,178.0,1.34,,,,,84.26,17.31,110990096
이집트,2020-04-16,2505.0,183.0,1.32,,,,,84.26,17.31,110990096
이집트,2020-04-17,2673.0,196.0,1.31,,,,,84.26,17.31,110990096
이집트,2020-04-18,2844.0,205.0,1.3,,,,,84.26,17.31,110990096
이집트,2020-04-19,3032.0,224.0,1.29,,,,,84.26,17.31,110990096
이집트,2020-04-20,3144.0,239.0,1.28,,,,,84.26,17.31,110990096
이집트,2020-04-21,3333.0,250.0,1.28,,,,,84.26,17.31,110990096
이집트,2020-04-22,3490.0,264.0,1.28,,,,,84.26,17.31,110990096
이집트,2020-04-23,3659.0,276.0,1.29,,,,,84.26,17.31,110990096
이집트,2020-04-24,3891.0,287.0,1.3,,,,,84.26,17.31,110990096
이집트,2020-04-25,4092.0,294.0,1.3,,,,,84.26,17.31,110990096
이집트,2020-04-26,4319.0,307.0,1.31,,,,,84.26,17.31,110990096
이집트,2020-04-27,4534.0,317.0,1.31,,,,,84.26,17.31,110990096
이집트,2020-04-28,4782.0,337.0,1.31,,,,,84.26,17.31,110990096
이집트,2020-04-29,5042.0,359.0,1.31,,,,,84.26,17.31,110990096
이집트,2020-04-30,5268.0,380.0,1.32,,,,,84.26,17.31,110990096
이집트,2020-05-01,5537.0,392.0,1.33,,,,,84.26,17.31,110990096
이집트,2020-05-02,5895.0,406.0,1.33,,,,,84.26,17.31,110990096
이집트,2020-05-03,6193.0,415.0,1.33,,,,,84.26,17.31,110990096
이집트,2020-05-04,6465.0,429.0,1.33,,,,,84.26,17.31,110990096
이집트,2020-05-05,6813.0,436.0,1.33,,,,,84.26,17.31,110990096
이집트,2020-05-06,7201.0,452.0,1.33,,,,,84.26,17.31,110990096
이집트,2020-05-07,7588.0,469.0,1.32,,,,,84.26,17.31,110990096
이집트,2020-05-08,7981.0,482.0,1.31,,,,,84.26,17.31,110990096
이집트,2020-05-09,8476.0,503.0,1.29,,,,,84.26,17.31,110990096
이집트,2020-05-10,8964.0,514.0,1.27,,,,,84.26,17.31,110990096
이집트,2020-05-11,9400.0,525.0,1.24,,,,,84.26,17.31,110990096
이집트,2020-05-12,9746.0,533.0,1.23,,,,,84.26,17.31,110990096
이집트,2020-05-13,10093.0,544.0,1.23,,,,,84.26,17.31,110990096
이집트,2020-05-14,10431.0,556.0,1.24,,,,,84.26,17.31,110990096
이집트,2020-05-15,10829.0,571.0,1.26,,,,,84.26,17.31,110990096
이집트,2020-05-16,11228.0,592.0,1.29,,,,,84.26,17.31,110990096
이집트,2020-05-17,11719.0,612.0,1.32,,,,,84.26,17.31,110990096
이집트,2020-05-18,12229.0,630.0,1.34,,,,,84.26,17.31,110990096
이집트,2020-05-19,12764.0,645.0,1.36,,,,,84.26,17.31,110990096
이집트,2020-05-20,13484.0,659.0,1.37,,,,,84.26,17.31,110990096
이집트,2020-05-21,14229.0,680.0,1.37,,,,,84.26,17.31,110990096
이집트,2020-05-22,15003.0,696.0,1.36,,,,,84.26,17.31,110990096
이집트,2020-05-23,15786.0,707.0,1.36,,,,,84.26,17.31,110990096
이집트,2020-05-24,16513.0,735.0,1.35,,,,,87.96,17.31,110990096
이집트,2020-05-25,17265.0,764.0,1.36,,,,,87.96,17.31,110990096
이집트,2020-05-26,17967.0,783.0,1.37,,,,,87.96,17.31,110990096
이집트,2020-05-27,18756.0,797.0,1.38,,,,,87.96,17.31,110990096
이집트,2020-05-28,19666.0,816.0,1.39,,,,,87.96,17.31,110990096
이집트,2020-05-29,20793.0,845.0,1.39,,,,,84.26,17.31,110990096
이집트,2020-05-30,22082.0,879.0,1.38,,,,,84.26,17.31,110990096
이집트,2020-05-31,23449.0,913.0,1.37,,,,,84.26,17.31,110990096
이집트,2020-06-01,24985.0,959.0,1.33,,,,,84.26,17.31,110990096
이집트,2020-06-02,26384.0,1005.0,1.3,,,,,84.26,17.31,110990096
이집트,2020-06-03,27536.0,1052.0,1.27,,,,,84.26,17.31,110990096
이집트,2020-06-04,28615.0,1088.0,1.25,,,,,84.26,17.31,110990096
이집트,2020-06-05,29767.0,1126.0,1.24,,,,,84.26,17.31,110990096
이집트,2020-06-06,31115.0,1166.0,1.23,,,,,84.26,17.31,110990096
이집트,2020-06-07,32612.0,1198.0,1.21,,,,,80.56,17.31,110990096
이집트,2020-06-08,34079.0,1237.0,1.2,,,,,80.56,17.31,110990096
이집트,2020-06-09,35444.0,1271.0,1.19,,,,,80.56,17.31,110990096
이집트,2020-06-10,36829.0,1306.0,1.17,,,,,80.56,17.31,110990096
이집트,2020-06-11,38284.0,1342.0,1.16,,,,,80.56,17.31,110990096
이집트,2020-06-12,39726.0,1377.0,1.15,,,,,80.56,17.31,110990096
이집트,2020-06-13,41303.0,1422.0,1.14,,,,,80.56,17.31,110990096
이집트,2020-06-14,42980.0,1484.0,1.13,,,,,80.56,17.31,110990096
이집트,2020-06-15,44598.0,1575.0,1.11,,,,,80.56,17.31,110990096
이집트,2020-06-16,46289.0,1672.0,1.09,,,,,80.56,17.31,110990096
이집트,2020-06-17,47856.0,1766.0,1.07,,,,,80.56,17.31,110990096
이집트,2020-06-18,49219.0,1850.0,1.06,,,,,80.56,17.31,110990096
이집트,2020-06-19,50437.0,1938.0,1.05,,,,,80.56,17.31,110990096
이집트,2020-06-20,52211.0,2017.0,1.04,,,,,80.56,17.31,110990096
이집트,2020-06-21,53758.0,2106.0,1.03,,,,,80.56,17.31,110990096
