location,date,total_cases,total_deaths,reproduction_rate,positive_rate,total_vaccinations,people_vaccinated,people_fully_vaccinated,stringency_index,diabetes_prevalence,population
인도,2020-01-03,,,,,,,,0.0,10.39,1417173120
인도,2020-01-04,,,,,,,,0.0,10.39,1417173120
인도,2020-01-05,,,,,,,,0.0,10.39,1417173120
인도,2020-01-06,,,,,,,,0.0,10.39,1417173120
인도,2020-01-07,,,,,,,,0.0,10.39,1417173120
인도,2020-01-08,,,,,,,,0.0,10.39,1417173120
인도,2020-01-09,,,,,,,,0.0,10.39,1417173120
인도,2020-01-10,,,,,,,,0.0,10.39,1417173120
인도,2020-01-11,,,,,,,,0.0,10.39,1417173120
인도,2020-01-12,,,,,,,,0.0,10.39,1417173120
인도,2020-01-13,,,,,,,,0.0,10.39,1417173120
인도,2020-01-14,,,,,,,,0.0,10.39,1417173120
인도,2020-01-15,,,,,,,,0.0,10.39,1417173120
인도,2020-01-16,,,,,,,,0.0,10.39,1417173120
인도,2020-01-17,,,,,,,,0.0,10.39,1417173120
인도,2020-01-18,,,,,,,,0.0,10.39,1417173120
인도,2020-01-19,,,,,,,,0.0,10.39,1417173120
인도,2020-01-20,,,,,,,,0.0,10.39,1417173120
인도,2020-01-21,,,,,,,,0.0,10.39,1417173120
인도,2020-01-22,,,,,,,,0.0,10.39,1417173120
인도,2020-01-23,,,,,,,,0.0,10.39,1417173120
인도,2020-01-24,,,,,,,,0.0,10.39,1417173120
인도,2020-01-25,,,,,,,,5.56,10.39,1417173120
인도,2020-01-26,,,,,,,,10.19,10.39,1417173120
인도,2020-01-27,,,,,,,,10.19,10.39,1417173120
인도,2020-01-28,,,,,,,,10.19,10.39,1417173120
인도,2020-01-29,,,,,,,,10.19,10.39,1417173120
인도,2020-01-30,1.0,,,,,,,10.19,10.39,1417173120
인도,2020-01-31,5.0,,,,,,,10.19,10.39,1417173120
인도,2020-02-01,5.0,,,,,,,10.19,10.39,1417173120
인도,2020-02-02,2.0,,,,,,,10.19,10.39,1417173120
인도,2020-02-03,3.0,,,,,,,10.19,10.39,1417173120
인도,2020-02-04,7.0,,,,,,,10.19,10.39,1417173120
인도,2020-02-05,7.0,,,,,,,10.19,10.39,1417173120
인도,2020-02-06,7.0,,,,,,,10.19,10.39,1417173120
인도,2020-02-07,7.0,,,,,,,10.19,10.39,1417173120
인도,2020-02-08,7.0,,,,,,,10.19,10.39,1417173120
인도,2020-02-09,7.0,,,,,,,10.19,10.39,1417173120
인도,2020-02-10,7.0,,,,,,,10.19,10.39,1417173120
인도,2020-02-11,7.0,,,,,,,10.19,10.39,1417173120
인도,2020-02-12,7.0,,,,,,,10.19,10.39,1417173120
인도,2020-02-13,7.0,,,,,,,10.19,10.39,1417173120
인도,2020-02-14,7.0,,,,,,,10.19,10.39,1417173120
인도,2020-02-15,7.0,,,,,,,10.19,10.39,1417173120
인도,2020-02-16,7.0,,,,,,,10.19,10.39,1417173120
인도,2020-02-17,7.0,,,,,,,10.19,10.39,1417173120
인도,2020-02-18,7.0,,,,,,,10.19,10.39,1417173120
인도,2020-02-19,7.0,,,,,,,10.19,10.39,1417173120
인도,2020-02-20,7.0,,,,,,,10.19,10.39,1417173120
인도,2020-02-21,7.0,,,,,,,10.19,10.39,1417173120
인도,2020-02-22,7.0,,,,,,,10.19,10.39,1417173120
인도,2020-02-23,7.0,,,,,,,10.19,10.39,1417173120
인도,2020-02-24,7.0,,,,,,,10.19,10.39,1417173120
인도,2020-02-25,7.0,,,,,,,10.19,10.39,1417173120
인도,2020-02-26,7.0,,,,,,,10.19,10.39,1417173120
인도,2020-02-27,7.0,,,,,,,10.19,10.39,1417173120
인도,2020-02-28,7.0,,,,,,,10.19,10.39,1417173120
인도,2020-02-29,7.0,,,,,,,10.19,10.39,1417173120
인도,2020-03-01,7.0,,,,,,,10.19,10.39,1417173120
인도,2020-03-02,5.0,,,,,,,10.19,10.39,1417173120
인도,2020-03-03,9.0,,,,,,,10.19,10.39,1417173120
인도,2020-03-04,28.0,,,,,,,10.19,10.39,1417173120
인도,2020-03-05,29.0,,,,,,,26.85,10.39,1417173120
인도,2020-03-06,31.0,,,,,,,26.85,10.39,1417173120
인도,2020-03-07,34.0,,,,,,,26.85,10.39,1417173120
인도,2020-03-08,39.0,,,,,,,26.85,10.39,1417173120
인도,2020-03-09,44.0,,,,,,,26.85,10.39,1417173120
인도,2020-03-10,50.0,,,,,,,26.85,10.39,1417173120
인도,2020-03-11,60.0,,,,,,,26.85,10.39,1417173120
인도,2020-03-12,73.0,,,,,,,26.85,10.39,1417173120
인도,2020-03-13,81.0,1.0,,,,,,41.67,10.39,1417173120
인도,2020-03-14,84.0,2.0,,,,,,41.67,10.39,1417173120
인도,2020-03-15,107.0,2.0,1.56,,,,,44.44,10.39,1417173120
인도,2020-03-16,114.0,2.0,1.58,,,,,44.44,10.39,1417173120
인도,2020-03-17,137.0,3.0,1.72,,,,,44.44,10.39,1417173120
인도,2020-03-18,151.0,3.0,1.83,,,,,44.44,10.39,1417173120
인도,2020-03-19,173.0,4.0,2.04,,,,,44.44,10.39,1417173120
인도,2020-03-20,223.0,4.0,2.19,0.0206,,,,44.44,10.39,1417173120
인도,2020-03-21,283.0,4.0,2.28,0.029,,,,44.44,10.39,1417173120
인도,2020-03-22,360.0,7.0,2.26,0.0361,,,,100.0,10.39,1417173120
인도,2020-03-23,434.0,9.0,2.2,0.0371,,,,86.57,10.39,1417173120
인도,2020-03-24,519.0,9.0,2.11,0.0435,,,,86.57,10.39,1417173120
인도,2020-03-25,606.0,10.0,2.09,0.0417,,,,100.0,10.39,1417173120
인도,2020-03-26,649.0,13.0,2.06,0.0407,,,,100.0,10.39,1417173120
인도,2020-03-27,724.0,17.0,2.1,0.0483,,,,100.0,10.39,1417173120
인도,2020-03-28,909.0,19.0,2.07,0.0428,,,,100.0,10.39,1417173120
인도,2020-03-29,979.0,25.0,2.13,0.036,,,,100.0,10.39,1417173120
인도,2020-03-30,1071.0,29.0,2.3,0.0439,,,,100.0,10.39,1417173120
인도,2020-03-31,1251.0,32.0,2.44,0.0423,,,,100.0,10.39,1417173120
인도,2020-04-01,1637.0,38.0,2.59,0.069,,,,100.0,10.39,1417173120
인도,2020-04-02,1965.0,50.0,2.47,0.0843,,,,100.0,10.39,1417173120
인도,2020-04-03,2301.0,56.0,2.29,0.0404,,,,100.0,10.39,1417173120
인도,2020-04-04,2902.0,68.0,2.28,0.0429,,,,100.0,10.39,1417173120
인도,2020-04-05,3374.0,77.0,2.27,0.0465,,,,100.0,10.39,1417173120
인도,2020-04-06,4067.0,109.0,2.23,0.0558,,,,100.0,10.39,1417173120
인도,2020-04-07,4421.0,114.0,2.06,0.0537,,,,100.0,10.39,1417173120
인도,2020-04-08,5274.0,149.0,1.9,0.047,,,,100.0,10.39,1417173120
인도,2020-04-09,5865.0,169.0,1.83,0.0431,,,,100.0,10.39,1417173120
인도,2020-04-10,6412.0,199.0,1.77,0.0546,,,,100.0,10.39,1417173120
인도,2020-04-11,7447.0,239.0,1.69,0.054,,,,100.0,10.39,1417173120
인도,2020-04-12,8356.0,273.0,1.63,0.0529,,,,100.0,10.39,1417173120
인도,2020-04-13,9152.0,308.0,1.59,0.0487,,,,100.0,10.39,1417173120
인도,2020-04-14,10363.0,339.0,1.55,0.0472,,,,100.0,10.39,1417173120
인도,2020-04-15,11439.0,377.0,1.48,0.0437,,,,100.0,10.39,1417173120
인도,2020-04-16,12380.0,414.0,1.46,0.0424,,,,100.0,10.39,1417173120
인도,2020-04-17,13387.0,437.0,1.46,0.0389,,,,100.0,10.39,1417173120
인도,2020-04-18,14378.0,480.0,1.46,0.0377,,,,100.0,10.39,1417173120
인도,2020-04-19,15712.0,507.0,1.46,0.0409,,,,100.0,10.39,1417173120
인도,2020-04-20,17265.0,543.0,1.4,0.0377,,,,96.3,10.39,1417173120
인도,2020-04-21,18601.0,590.0,1.39,0.0395,,,,96.3,10.39,1417173120
인도,2020-04-22,19984.0,640.0,1.36,0.0437,,,,96.3,10.39,1417173120
인도,2020-04-23,21393.0,681.0,1.36,0.0488,,,,96.3,10.39,1417173120
인도,2020-04-24,23077.0,718.0,1.34,0.0492,,,,96.3,10.39,1417173120
인도,2020-04-25,24506.0,775.0,1.33,0.0508,,,,96.3,10.39,1417173120
인도,2020-04-26,26496.0,824.0,1.32,0.0459,,,,96.3,10.39,1417173120
인도,2020-04-27,27892.0,872.0,1.31,0.0467,,,,96.3,10.39,1417173120
인도,2020-04-28,29435.0,934.0,1.33,0.0442,,,,96.3,10.39,1417173120
인도,2020-04-29,31332.0,1007.0,1.34,0.0404,,,,96.3,10.39,1417173120
인도,2020-04-30,33050.0,1074.0,1.37,0.0358,,,,96.3,10.39,1417173120
인도,2020-05-01,35043.0,1147.0,1.42,0.0353,,,,96.3,10.39,1417173120
인도,2020-05-02,37336.0,1218.0,1.44,0.0338,,,,96.3,10.39,1417173120
인도,2020-05-03,39980.0,1301.0,1.47,0.0347,,,,96.3,10.39,1417173120
인도,2020-05-04,42533.0,1373.0,1.49,0.0385,,,,81.94,10.39,1417173120
인도,2020-05-05,46433.0,1568.0,1.46,0.038,,,,81.94,10.39,1417173120
인도,2020-05-06,49391.0,1694.0,1.43,0.0394,,,,81.94,10.39,1417173120
인도,2020-05-07,52952.0,1783.0,1.39,0.0408,,,,81.94,10.39,1417173120
인도,2020-05-08,56342.0,1886.0,1.36,0.0419,,,,81.94,10.39,1417173120
인도,2020-05-09,59662.0,1981.0,1.34,0.0423,,,,81.94,10.39,1417173120
인도,2020-05-10,62939.0,2109.0,1.33,0.0438,,,,81.94,10.39,1417173120
인도,2020-05-11,67152.0,2206.0,1.3,0.043,,,,81.94,10.39,1417173120
인도,2020-05-12,70756.0,2293.0,1.29,0.0439,,,,81.94,10.39,1417173120
인도,2020-05-13,74281.0,2415.0,1.28,0.0434,,,,81.94,10.39,1417173120
인도,2020-05-14,78003.0,2549.0,1.28,0.0435,,,,81.94,10.39,1417173120
인도,2020-05-15,81970.0,2649.0,1.29,0.0433,,,,81.94,10.39,1417173120
인도,2020-05-16,85940.0,2752.0,1.31,0.0456,,,,81.94,10.39,1417173120
