location,date,total_cases,total_deaths,reproduction_rate,positive_rate,total_vaccinations,people_vaccinated,people_fully_vaccinated,stringency_index,diabetes_prevalence,population
인도네시아,2020-01-03,,,,,,,,5.56,6.32,275501344
인도네시아,2020-01-04,,,,,,,,5.56,6.32,275501344
인도네시아,2020-01-05,,,,,,,,5.56,6.32,275501344
인도네시아,2020-01-06,,,,,,,,5.56,6.32,275501344
인도네시아,2020-01-07,,,,,,,,5.56,6.32,275501344
인도네시아,2020-01-08,,,,,,,,5.56,6.32,275501344
인도네시아,2020-01-09,,,,,,,,5.56,6.32,275501344
인도네시아,2020-01-10,,,,,,,,5.56,6.32,275501344
인도네시아,2020-01-11,,,,,,,,5.56,6.32,275501344
인도네시아,2020-01-12,,,,,,,,5.56,6.32,275501344
인도네시아,2020-01-13,,,,,,,,5.56,6.32,275501344
인도네시아,2020-01-14,,,,,,,,5.56,6.32,275501344
인도네시아,2020-01-15,,,,,,,,5.56,6.32,275501344
인도네시아,2020-01-16,,,,,,,,5.56,6.32,275501344
인도네시아,2020-01-17,,,,,,,,5.56,6.32,275501344
인도네시아,2020-01-18,,,,,,,,8.33,6.32,275501344
인도네시아,2020-01-19,,,,,,,,8.33,6.32,275501344
인도네시아,2020-01-20,,,,,,,,8.33,6.32,275501344
인도네시아,2020-01-21,,,,,,,,8.33,6.32,275501344
인도네시아,2020-01-22,,,,,,,,8.33,6.32,275501344
인도네시아,2020-01-23,,,,,,,,8.33,6.32,275501344
인도네시아,2020-01-24,,,,,,,,8.33,6.32,275501344
인도네시아,2020-01-25,,,,,,,,8.33,6.32,275501344
인도네시아,2020-01-26,,,,,,,,8.33,6.32,275501344
인도네시아,2020-01-27,,,,,,,,8.33,6.32,275501344
인도네시아,2020-01-28,,,,,,,,8.33,6.32,275501344
인도네시아,2020-01-29,,,,,,,,13.89,6.32,275501344
인도네시아,2020-01-30,,,,,,,,13.89,6.32,275501344
인도네시아,2020-01-31,,,,,,,,13.89,6.32,275501344
인도네시아,2020-02-01,,,,,,,,13.89,6.32,275501344
인도네시아,2020-02-02,,,,,,,,13.89,6.32,275501344
인도네시아,2020-02-03,,,,,,,,23.15,6.32,275501344
인도네시아,2020-02-04,,,,,,,,23.15,6.32,275501344
인도네시아,2020-02-05,,,,,,,,28.7,6.32,275501344
인도네시아,2020-02-06,,,,,,,,28.7,6.32,275501344
인도네시아,2020-02-07,,,,,,,,28.7,6.32,275501344
인도네시아,2020-02-08,,,,,,,,28.7,6.32,275501344
인도네시아,2020-02-09,,,,,,,,28.7,6.32,275501344
인도네시아,2020-02-10,,,,,,,,28.7,6.32,275501344
인도네시아,2020-02-11,,,,,,,,28.7,6.32,275501344
인도네시아,2020-02-12,,,,,,,,28.7,6.32,275501344
인도네시아,2020-02-13,,,,,,,,28.7,6.32,275501344
인도네시아,2020-02-14,,,,,,,,28.7,6.32,275501344
인도네시아,2020-02-15,,,,,,,,28.7,6.32,275501344
인도네시아,2020-02-16,,,,,,,,28.7,6.32,275501344
인도네시아,2020-02-17,,,,,,,,28.7,6.32,275501344
인도네시아,2020-02-18,,,,,,,,28.7,6.32,275501344
인도네시아,2020-02-19,,,,,,,,28.7,6.32,275501344
인도네시아,2020-02-20,,,,,,,,28.7,6.32,275501344
인도네시아,2020-02-21,,,,,,,,28.7,6.32,275501344
인도네시아,2020-02-22,,,,,,,,28.7,6.32,275501344
인도네시아,2020-02-23,,,,,,,,28.7,6.32,275501344
인도네시아,2020-02-24,,,,,,,,28.7,6.32,275501344
인도네시아,2020-02-25,,,,,,,,28.7,6.32,275501344
인도네시아,2020-02-26,,,,,,,,28.7,6.32,275501344
인도네시아,2020-02-27,,,,,,,,28.7,6.32,275501344
인도네시아,2020-02-28,,,,,,,,28.7,6.32,275501344
인도네시아,2020-02-29,,,,,,,,28.7,6.32,275501344
인도네시아,2020-03-01,,,,,,,,28.7,6.32,275501344
인도네시아,2020-03-02,2.0,,,,,,,28.7,6.32,275501344
인도네시아,2020-03-03,6.0,,,,,,,37.04,6.32,275501344
인도네시아,2020-03-04,6.0,,,,,,,37.04,6.32,275501344
인도네시아,2020-03-05,6.0,,,,,,,37.04,6.32,275501344
인도네시아,2020-03-06,8.0,,,,,,,37.04,6.32,275501344
인도네시아,2020-03-07,8.0,,,,,,,37.04,6.32,275501344
인도네시아,2020-03-08,10.0,,,,,,,37.04,6.32,275501344
