location,date,total_cases,total_deaths,reproduction_rate,positive_rate,total_vaccinations,people_vaccinated,people_fully_vaccinated,stringency_index,diabetes_prevalence,population
일본,2020-01-03,,,,,,,,0.0,5.72,123951696
일본,2020-01-04,,,,,,,,0.0,5.72,123951696
일본,2020-01-05,,,,,,,,0.0,5.72,123951696
일본,2020-01-06,,,,,,,,0.0,5.72,123951696
일본,2020-01-07,,,,,,,,2.78,5.72,123951696
일본,2020-01-08,,,,,,,,2.78,5.72,123951696
일본,2020-01-09,,,,,,,,2.78,5.72,123951696
일본,2020-01-10,,,,,,,,2.78,5.72,123951696
일본,2020-01-11,,,,,,,,2.78,5.72,123951696
일본,2020-01-12,,,,,,,,2.78,5.72,123951696
일본,2020-01-13,,,,,,,,2.78,5.72,123951696
일본,2020-01-14,1.0,,,,,,,2.78,5.72,123951696
일본,2020-01-15,1.0,,,,,,,2.78,5.72,123951696
일본,2020-01-16,1.0,,,,,,,2.78,5.72,123951696
일본,2020-01-17,1.0,,,,,,,2.78,5.72,123951696
일본,2020-01-18,1.0,,,,,,,2.78,5.72,123951696
일본,2020-01-19,1.0,,,,,,,2.78,5.72,123951696
일본,2020-01-20,1.0,,,,,,,2.78,5.72,123951696
일본,2020-01-21,1.0,,,,,,,2.78,5.72,123951696
일본,2020-01-22,1.0,,,,,,,2.78,5.72,123951696
일본,2020-01-23,1.0,,,,,,,2.78,5.72,123951696
일본,2020-01-24,1.0,,,,,,,2.78,5.72,123951696
일본,2020-01-25,2.0,,,,,,,2.78,5.72,123951696
일본,2020-01-26,3.0,,,,,,,2.78,5.72,123951696
일본,2020-01-27,4.0,,,,,,,2.78,5.72,123951696
일본,2020-01-28,4.0,,,,,,,2.78,5.72,123951696
일본,2020-01-29,7.0,,,,,,,2.78,5.72,123951696
일본,2020-01-30,8.0,,,,,,,2.78,5.72,123951696
일본,2020-01-31,12.0,,,,,,,2.78,5.72,123951696
일본,2020-02-01,13.0,,,,,,,8.33,5.72,123951696
일본,2020-02-02,15.0,,,,,,,8.33,5.72,123951696
일본,2020-02-03,20.0,,,,,,,8.33,5.72,123951696
일본,2020-02-04,20.0,,,,,,,19.44,5.72,123951696
일본,2020-02-05,23.0,,,,,,,19.44,5.72,123951696
일본,2020-02-06,25.0,,,,,,,19.44,5.72,123951696
일본,2020-02-07,25.0,,,,,,,19.44,5.72,123951696
일본,2020-02-08,25.0,,,,,,,19.44,5.72,123951696
일본,2020-02-09,25.0,,,,,,,19.44,5.72,123951696
일본,2020-02-10,25.0,,,,,,,19.44,5.72,123951696
일본,2020-02-11,26.0,,,,,,,19.44,5.72,123951696
일본,2020-02-12,28.0,,,0.0714,,,,19.44,5.72,123951696
일본,2020-02-13,28.0,1.0,,0.1588,,,,19.44,5.72,123951696
일본,2020-02-14,33.0,1.0,,0.2041,,,,19.44,5.72,123951696
일본,2020-02-15,40.0,1.0,,0.1648,,,,19.44,5.72,123951696
일본,2020-02-16,52.0,1.0,,0.1513,,,,19.44,5.72,123951696
일본,2020-02-17,58.0,1.0,,0.122,,,,19.44,5.72,123951696
일본,2020-02-18,65.0,1.0,,0.1516,,,,19.44,5.72,123951696
일본,2020-02-19,73.0,1.0,,0.1404,,,,19.44,5.72,123951696
일본,2020-02-20,74.0,1.0,,0.1302,,,,25.0,5.72,123951696
일본,2020-02-21,93.0,1.0,,0.1332,,,,25.0,5.72,123951696
일본,2020-02-22,105.0,1.0,1.3,0.156,,,,25.0,5.72,123951696
일본,2020-02-23,132.0,1.0,1.16,0.1766,,,,25.0,5.72,123951696
일본,2020-02-24,144.0,1.0,1.07,0.1871,,,,25.0,5.72,123951696
일본,2020-02-25,156.0,1.0,1.01,0.1767,,,,34.26,5.72,123951696
일본,2020-02-26,164.0,2.0,1.03,0.1718,,,,34.26,5.72,123951696
일본,2020-02-27,186.0,4.0,1.08,0.1793,,,,34.26,5.72,123951696
일본,2020-02-28,210.0,4.0,0.95,0.1687,,,,34.26,5.72,123951696
일본,2020-02-29,230.0,5.0,0.92,0.133,,,,34.26,5.72,123951696
일본,2020-03-01,239.0,6.0,1.16,0.1267,,,,34.26,5.72,123951696
일본,2020-03-02,254.0,6.0,1.36,0.1405,,,,43.52,5.72,123951696
일본,2020-03-03,268.0,6.0,1.43,0.1323,,,,43.52,5.72,123951696
일본,2020-03-04,284.0,6.0,1.61,0.0299,,,,43.52,5.72,123951696
일본,2020-03-05,317.0,6.0,1.67,0.0279,,,,43.52,5.72,123951696
일본,2020-03-06,349.0,6.0,1.84,0.0323,,,,43.52,5.72,123951696
