location,date,total_cases,total_deaths,reproduction_rate,positive_rate,total_vaccinations,people_vaccinated,people_fully_vaccinated,stringency_index,diabetes_prevalence,population
잉글랜드,2020-03-20,,,,,,,,,,56550000
잉글랜드,2020-03-21,,,,,,,,,,56550000
잉글랜드,2020-03-22,,,,,,,,,,56550000
잉글랜드,2020-03-23,,,,,,,,,,56550000
잉글랜드,2020-03-24,,,,,,,,,,56550000
잉글랜드,2020-03-25,,,,,,,,,,56550000
잉글랜드,2020-03-26,,,,,,,,,,56550000
잉글랜드,2020-03-27,,,,,,,,,,56550000
잉글랜드,2020-03-28,,,,,,,,,,56550000
잉글랜드,2020-03-29,,,,,,,,,,56550000
잉글랜드,2020-03-30,,,,,,,,,,56550000
잉글랜드,2020-03-31,,,,,,,,,,56550000
잉글랜드,2020-04-01,,,,,,,,,,56550000
잉글랜드,2020-04-02,,,,,,,,,,56550000
잉글랜드,2020-04-03,,,,,,,,,,56550000
잉글랜드,2020-04-04,,,,,,,,,,56550000
잉글랜드,2020-04-05,,,,,,,,,,56550000
잉글랜드,2020-04-06,,,,,,,,,,56550000
잉글랜드,2020-04-07,,,,,,,,,,56550000
잉글랜드,2020-04-08,,,,,,,,,,56550000
잉글랜드,2020-04-09,,,,,,,,,,56550000
잉글랜드,2020-04-10,,,,,,,,,,56550000
잉글랜드,2020-04-11,,,,,,,,,,56550000
잉글랜드,2020-04-12,,,,,,,,,,56550000
잉글랜드,2020-04-13,,,,,,,,,,56550000
잉글랜드,2020-04-14,,,,,,,,,,56550000
잉글랜드,2020-04-15,,,,,,,,,,56550000
잉글랜드,2020-04-16,,,,,,,,,,56550000
잉글랜드,2020-04-17,,,,,,,,,,56550000
잉글랜드,2020-04-18,,,,,,,,,,56550000
잉글랜드,2020-04-19,,,,,,,,,,56550000
잉글랜드,2020-04-20,,,,,,,,,,56550000
잉글랜드,2020-04-21,,,,,,,,,,56550000
잉글랜드,2020-04-22,,,,,,,,,,56550000
잉글랜드,2020-04-23,,,,,,,,,,56550000
잉글랜드,2020-04-24,,,,,,,,,,56550000
잉글랜드,2020-04-25,,,,,,,,,,56550000
잉글랜드,2020-04-26,,,,,,,,,,56550000
