location,date,total_cases,total_deaths,reproduction_rate,positive_rate,total_vaccinations,people_vaccinated,people_fully_vaccinated,stringency_index,diabetes_prevalence,population
자메이카,2020-01-03,,,,,,,,0.0,11.28,2827382
자메이카,2020-01-04,,,,,,,,0.0,11.28,2827382
자메이카,2020-01-05,,,,,,,,0.0,11.28,2827382
자메이카,2020-01-06,,,,,,,,0.0,11.28,2827382
자메이카,2020-01-07,,,,,,,,0.0,11.28,2827382
자메이카,2020-01-08,,,,,,,,0.0,11.28,2827382
자메이카,2020-01-09,,,,,,,,0.0,11.28,2827382
자메이카,2020-01-10,,,,,,,,0.0,11.28,2827382
자메이카,2020-01-11,,,,,,,,0.0,11.28,2827382
자메이카,2020-01-12,,,,,,,,0.0,11.28,2827382
자메이카,2020-01-13,,,,,,,,0.0,11.28,2827382
자메이카,2020-01-14,,,,,,,,0.0,11.28,2827382
자메이카,2020-01-15,,,,,,,,0.0,11.28,2827382
자메이카,2020-01-16,,,,,,,,0.0,11.28,2827382
자메이카,2020-01-17,,,,,,,,0.0,11.28,2827382
자메이카,2020-01-18,,,,,,,,0.0,11.28,2827382
자메이카,2020-01-19,,,,,,,,0.0,11.28,2827382
자메이카,2020-01-20,,,,,,,,0.0,11.28,2827382
자메이카,2020-01-21,,,,,,,,0.0,11.28,2827382
자메이카,2020-01-22,,,,,,,,0.0,11.28,2827382
자메이카,2020-01-23,,,,,,,,0.0,11.28,2827382
자메이카,2020-01-24,,,,,,,,0.0,11.28,2827382
자메이카,2020-01-25,,,,,,,,0.0,11.28,2827382
자메이카,2020-01-26,,,,,,,,0.0,11.28,2827382
자메이카,2020-01-27,,,,,,,,0.0,11.28,2827382
자메이카,2020-01-28,,,,,,,,0.0,11.28,2827382
자메이카,2020-01-29,,,,,,,,0.0,11.28,2827382
자메이카,2020-01-30,,,,,,,,0.0,11.28,2827382
자메이카,2020-01-31,,,,,,,,8.33,11.28,2827382
자메이카,2020-02-01,,,,,,,,8.33,11.28,2827382
자메이카,2020-02-02,,,,,,,,8.33,11.28,2827382
자메이카,2020-02-03,,,,,,,,8.33,11.28,2827382
자메이카,2020-02-04,,,,,,,,8.33,11.28,2827382
자메이카,2020-02-05,,,,,,,,19.44,11.28,2827382
자메이카,2020-02-06,,,,,,,,19.44,11.28,2827382
자메이카,2020-02-07,,,,,,,,19.44,11.28,2827382
자메이카,2020-02-08,,,,,,,,19.44,11.28,2827382
자메이카,2020-02-09,,,,,,,,19.44,11.28,2827382
자메이카,2020-02-10,,,,,,,,19.44,11.28,2827382
자메이카,2020-02-11,,,,,,,,19.44,11.28,2827382
자메이카,2020-02-12,,,,,,,,19.44,11.28,2827382
자메이카,2020-02-13,,,,,,,,19.44,11.28,2827382
자메이카,2020-02-14,,,,,,,,19.44,11.28,2827382
자메이카,2020-02-15,,,,,,,,19.44,11.28,2827382
자메이카,2020-02-16,,,,,,,,19.44,11.28,2827382
자메이카,2020-02-17,,,,,,,,19.44,11.28,2827382
자메이카,2020-02-18,,,,,,,,19.44,11.28,2827382
자메이카,2020-02-19,,,,,,,,19.44,11.28,2827382
자메이카,2020-02-20,,,,,,,,19.44,11.28,2827382
자메이카,2020-02-21,,,,,,,,19.44,11.28,2827382
자메이카,2020-02-22,,,,,,,,19.44,11.28,2827382
자메이카,2020-02-23,,,,,,,,19.44,11.28,2827382
자메이카,2020-02-24,,,,,,,,19.44,11.28,2827382
자메이카,2020-02-25,,,,,,,,19.44,11.28,2827382
자메이카,2020-02-26,,,,,,,,19.44,11.28,2827382
자메이카,2020-02-27,,,,,,,,19.44,11.28,2827382
자메이카,2020-02-28,,,,,,,,19.44,11.28,2827382
자메이카,2020-02-29,,,,,,,,19.44,11.28,2827382
자메이카,2020-03-01,,,,,,,,19.44,11.28,2827382
자메이카,2020-03-02,,,,,,,,19.44,11.28,2827382
자메이카,2020-03-03,,,,,,,,19.44,11.28,2827382
자메이카,2020-03-04,,,,,,,,19.44,11.28,2827382
자메이카,2020-03-05,,,,,,,,19.44,11.28,2827382
자메이카,2020-03-06,,,,,,,,19.44,11.28,2827382
자메이카,2020-03-07,,,,,,,,19.44,11.28,2827382
자메이카,2020-03-08,,,,,,,,19.44,11.28,2827382
자메이카,2020-03-09,,,,,,,,19.44,11.28,2827382
자메이카,2020-03-10,,,,,,,,25.0,11.28,2827382
자메이카,2020-03-11,,,,,,,,30.56,11.28,2827382
자메이카,2020-03-12,1.0,,,,,,,30.56,11.28,2827382
자메이카,2020-03-13,2.0,,,,,,,59.26,11.28,2827382
자메이카,2020-03-14,8.0,,,,,,,59.26,11.28,2827382
자메이카,2020-03-15,8.0,,,,,,,59.26,11.28,2827382
자메이카,2020-03-16,8.0,,,,,,,59.26,11.28,2827382
자메이카,2020-03-17,10.0,,,,,,,59.26,11.28,2827382
자메이카,2020-03-18,11.0,,,,,,,71.3,11.28,2827382
자메이카,2020-03-19,13.0,,,,,,,71.3,11.28,2827382
자메이카,2020-03-20,15.0,1.0,,,,,,71.3,11.28,2827382
자메이카,2020-03-21,15.0,1.0,,,,,,74.07,11.28,2827382
자메이카,2020-03-22,16.0,1.0,,,,,,74.07,11.28,2827382
자메이카,2020-03-23,19.0,1.0,,,,,,74.07,11.28,2827382
자메이카,2020-03-24,19.0,1.0,,,,,,74.07,11.28,2827382
자메이카,2020-03-25,21.0,1.0,,,,,,75.0,11.28,2827382
자메이카,2020-03-26,25.0,1.0,,,,,,75.0,11.28,2827382
자메이카,2020-03-27,26.0,1.0,,,,,,75.0,11.28,2827382
자메이카,2020-03-28,26.0,1.0,,,,,,75.0,11.28,2827382
자메이카,2020-03-29,30.0,1.0,,,,,,75.0,11.28,2827382
자메이카,2020-03-30,32.0,1.0,,,,,,75.0,11.28,2827382
자메이카,2020-03-31,36.0,1.0,,0.0649,,,,75.0,11.28,2827382
자메이카,2020-04-01,36.0,1.0,,0.0714,,,,87.04,11.28,2827382
자메이카,2020-04-02,38.0,1.0,,0.0769,,,,87.04,11.28,2827382
자메이카,2020-04-03,44.0,3.0,,0.0667,,,,87.04,11.28,2827382
자메이카,2020-04-04,47.0,3.0,,0.0657,,,,87.04,11.28,2827382
자메이카,2020-04-05,53.0,3.0,,0.0675,,,,87.04,11.28,2827382
자메이카,2020-04-06,55.0,3.0,,0.0551,,,,87.04,11.28,2827382
자메이카,2020-04-07,58.0,3.0,,0.0643,,,,87.04,11.28,2827382
자메이카,2020-04-08,59.0,3.0,,0.0431,,,,87.04,11.28,2827382
자메이카,2020-04-09,63.0,3.0,,0.0346,,,,87.04,11.28,2827382
