location,date,total_cases,total_deaths,reproduction_rate,positive_rate,total_vaccinations,people_vaccinated,people_fully_vaccinated,stringency_index,diabetes_prevalence,population
저지섬,2020-01-03,,,,,,,,,,110796
저지섬,2020-01-04,,,,,,,,,,110796
저지섬,2020-01-05,,,,,,,,,,110796
저지섬,2020-01-06,,,,,,,,,,110796
저지섬,2020-01-07,,,,,,,,,,110796
저지섬,2020-01-08,,,,,,,,,,110796
저지섬,2020-01-09,,,,,,,,,,110796
저지섬,2020-01-10,,,,,,,,,,110796
저지섬,2020-01-11,,,,,,,,,,110796
저지섬,2020-01-12,,,,,,,,,,110796
저지섬,2020-01-13,,,,,,,,,,110796
저지섬,2020-01-14,,,,,,,,,,110796
저지섬,2020-01-15,,,,,,,,,,110796
저지섬,2020-01-16,,,,,,,,,,110796
저지섬,2020-01-17,,,,,,,,,,110796
저지섬,2020-01-18,,,,,,,,,,110796
저지섬,2020-01-19,,,,,,,,,,110796
저지섬,2020-01-20,,,,,,,,,,110796
저지섬,2020-01-21,,,,,,,,,,110796
저지섬,2020-01-22,,,,,,,,,,110796
저지섬,2020-01-23,,,,,,,,,,110796
저지섬,2020-01-24,,,,,,,,,,110796
저지섬,2020-01-25,,,,,,,,,,110796
저지섬,2020-01-26,,,,,,,,,,110796
저지섬,2020-01-27,,,,,,,,,,110796
저지섬,2020-01-28,,,,,,,,,,110796
저지섬,2020-01-29,,,,,,,,,,110796
저지섬,2020-01-30,,,,,,,,,,110796
저지섬,2020-01-31,,,,,,,,,,110796
저지섬,2020-02-01,,,,,,,,,,110796
저지섬,2020-02-02,,,,,,,,,,110796
저지섬,2020-02-03,,,,,,,,,,110796
저지섬,2020-02-04,,,,,,,,,,110796
저지섬,2020-02-05,,,,,,,,,,110796
저지섬,2020-02-06,,,,,,,,,,110796
저지섬,2020-02-07,,,,,,,,,,110796
저지섬,2020-02-08,,,,,,,,,,110796
저지섬,2020-02-09,,,,,,,,,,110796
저지섬,2020-02-10,,,,,,,,,,110796
저지섬,2020-02-11,,,,,,,,,,110796
저지섬,2020-02-12,,,,,,,,,,110796
저지섬,2020-02-13,,,,,,,,,,110796
저지섬,2020-02-14,,,,,,,,,,110796
저지섬,2020-02-15,,,,,,,,,,110796
저지섬,2020-02-16,,,,,,,,,,110796
저지섬,2020-02-17,,,,,,,,,,110796
저지섬,2020-02-18,,,,,,,,,,110796
저지섬,2020-02-19,,,,,,,,,,110796
저지섬,2020-02-20,,,,,,,,,,110796
저지섬,2020-02-21,,,,,,,,,,110796
저지섬,2020-02-22,,,,,,,,,,110796
저지섬,2020-02-23,,,,,,,,,,110796
저지섬,2020-02-24,,,,,,,,,,110796
저지섬,2020-02-25,,,,,,,,,,110796
저지섬,2020-02-26,,,,,,,,,,110796
저지섬,2020-02-27,,,,,,,,,,110796
저지섬,2020-02-28,,,,,,,,,,110796
저지섬,2020-02-29,,,,,,,,,,110796
저지섬,2020-03-01,,,,,,,,,,110796
저지섬,2020-03-02,,,,,,,,,,110796
저지섬,2020-03-03,,,,,,,,,,110796
저지섬,2020-03-04,,,,,,,,,,110796
저지섬,2020-03-05,,,,,,,,,,110796
저지섬,2020-03-06,,,,,,,,,,110796
저지섬,2020-03-07,,,,,,,,,,110796
저지섬,2020-03-08,,,,,,,,,,110796
저지섬,2020-03-09,,,,,,,,,,110796
저지섬,2020-03-10,,,,,,,,,,110796
저지섬,2020-03-11,,,,,,,,,,110796
저지섬,2020-03-12,2.0,,,,,,,,,110796
저지섬,2020-03-13,2.0,,,,,,,,,110796
저지섬,2020-03-14,2.0,,,,,,,,,110796
저지섬,2020-03-15,2.0,,,,,,,,,110796
저지섬,2020-03-16,2.0,,,,,,,,,110796
저지섬,2020-03-17,5.0,,,,,,,,,110796
저지섬,2020-03-18,5.0,,,,,,,,,110796
저지섬,2020-03-19,5.0,,,,,,,,,110796
저지섬,2020-03-20,12.0,,,,,,,,,110796
저지섬,2020-03-21,12.0,,,,,,,,,110796
저지섬,2020-03-22,15.0,,,,,,,,,110796
저지섬,2020-03-23,16.0,,,,,,,,,110796
저지섬,2020-03-24,16.0,,,,,,,,,110796
저지섬,2020-03-25,18.0,,,,,,,,,110796
저지섬,2020-03-26,18.0,1.0,,,,,,,,110796
저지섬,2020-03-27,34.0,1.0,,,,,,,,110796
저지섬,2020-03-28,43.0,1.0,,,,,,,,110796
