location,date,total_cases,total_deaths,reproduction_rate,positive_rate,total_vaccinations,people_vaccinated,people_fully_vaccinated,stringency_index,diabetes_prevalence,population
적도 기니,2020-01-03,,,,,,,,,7.78,1674916
적도 기니,2020-01-04,,,,,,,,,7.78,1674916
적도 기니,2020-01-05,,,,,,,,,7.78,1674916
적도 기니,2020-01-06,,,,,,,,,7.78,1674916
적도 기니,2020-01-07,,,,,,,,,7.78,1674916
적도 기니,2020-01-08,,,,,,,,,7.78,1674916
적도 기니,2020-01-09,,,,,,,,,7.78,1674916
적도 기니,2020-01-10,,,,,,,,,7.78,1674916
적도 기니,2020-01-11,,,,,,,,,7.78,1674916
적도 기니,2020-01-12,,,,,,,,,7.78,1674916
적도 기니,2020-01-13,,,,,,,,,7.78,1674916
적도 기니,2020-01-14,,,,,,,,,7.78,1674916
적도 기니,2020-01-15,,,,,,,,,7.78,1674916
적도 기니,2020-01-16,,,,,,,,,7.78,1674916
적도 기니,2020-01-17,,,,,,,,,7.78,1674916
적도 기니,2020-01-18,,,,,,,,,7.78,1674916
적도 기니,2020-01-19,,,,,,,,,7.78,1674916
적도 기니,2020-01-20,,,,,,,,,7.78,1674916
적도 기니,2020-01-21,,,,,,,,,7.78,1674916
적도 기니,2020-01-22,,,,,,,,,7.78,1674916
적도 기니,2020-01-23,,,,,,,,,7.78,1674916
적도 기니,2020-01-24,,,,,,,,,7.78,1674916
적도 기니,2020-01-25,,,,,,,,,7.78,1674916
적도 기니,2020-01-26,,,,,,,,,7.78,1674916
적도 기니,2020-01-27,,,,,,,,,7.78,1674916
적도 기니,2020-01-28,,,,,,,,,7.78,1674916
적도 기니,2020-01-29,,,,,,,,,7.78,1674916
적도 기니,2020-01-30,,,,,,,,,7.78,1674916
적도 기니,2020-01-31,,,,,,,,,7.78,1674916
적도 기니,2020-02-01,,,,,,,,,7.78,1674916
적도 기니,2020-02-02,,,,,,,,,7.78,1674916
적도 기니,2020-02-03,,,,,,,,,7.78,1674916
적도 기니,2020-02-04,,,,,,,,,7.78,1674916
적도 기니,2020-02-05,,,,,,,,,7.78,1674916
적도 기니,2020-02-06,,,,,,,,,7.78,1674916
적도 기니,2020-02-07,,,,,,,,,7.78,1674916
적도 기니,2020-02-08,,,,,,,,,7.78,1674916
적도 기니,2020-02-09,,,,,,,,,7.78,1674916
적도 기니,2020-02-10,,,,,,,,,7.78,1674916
