location,date,total_cases,total_deaths,reproduction_rate,positive_rate,total_vaccinations,people_vaccinated,people_fully_vaccinated,stringency_index,diabetes_prevalence,population
전세계,2020-01-03,,,,,,,,,8.51,7975105024
전세계,2020-01-04,3.0,,,,,,,,8.51,7975105024
전세계,2020-01-05,2.0,3.0,,,,,,,8.51,7975105024
전세계,2020-01-06,5.0,3.0,,,,,,,8.51,7975105024
전세계,2020-01-07,5.0,3.0,,,,,,,8.51,7975105024
전세계,2020-01-08,6.0,3.0,,,,,,,8.51,7975105024
전세계,2020-01-09,6.0,3.0,,,,,,,8.51,7975105024
전세계,2020-01-10,6.0,3.0,,,,,,,8.51,7975105024
전세계,2020-01-11,6.0,3.0,,,,,,,8.51,7975105024
전세계,2020-01-12,47.0,4.0,,,,,,,8.51,7975105024
전세계,2020-01-13,48.0,4.0,,,,,,,8.51,7975105024
전세계,2020-01-14,53.0,4.0,,,,,,,8.51,7975105024
전세계,2020-01-15,53.0,4.0,,,,,,,8.51,7975105024
전세계,2020-01-16,53.0,4.0,,,,,,,8.51,7975105024
전세계,2020-01-17,54.0,5.0,,,,,,,8.51,7975105024
전세계,2020-01-18,58.0,5.0,,,,,,,8.51,7975105024
전세계,2020-01-19,137.0,6.0,,,,,,,8.51,7975105024
전세계,2020-01-20,215.0,7.0,,,,,,,8.51,7975105024
전세계,2020-01-21,308.0,9.0,,,,,,,8.51,7975105024
전세계,2020-01-22,456.0,20.0,,,,,,,8.51,7975105024
전세계,2020-01-23,586.0,21.0,3.15,,,,,,8.51,7975105024
전세계,2020-01-24,857.0,29.0,3.32,,,,,,8.51,7975105024
전세계,2020-01-25,1330.0,45.0,3.48,,,,,,8.51,7975105024
전세계,2020-01-26,2032.0,62.0,3.55,,,,,,8.51,7975105024
전세계,2020-01-27,2822.0,88.0,3.59,,,,,,8.51,7975105024
전세계,2020-01-28,4597.0,137.0,3.58,,,,,,8.51,7975105024
전세계,2020-01-29,6074.0,139.0,3.26,,,,,,8.51,7975105024
전세계,2020-01-30,7828.0,177.0,3.04,,,,,,8.51,7975105024
전세계,2020-01-31,9843.0,219.0,2.82,,,,,,8.51,7975105024
전세계,2020-02-01,11952.0,266.0,2.68,,,,,,8.51,7975105024
전세계,2020-02-02,14570.0,372.0,2.57,,,,,,8.51,7975105024
전세계,2020-02-03,17406.0,436.0,2.35,,,,,,8.51,7975105024
전세계,2020-02-04,20659.0,503.0,2.11,,,,,,8.51,7975105024
전세계,2020-02-05,24591.0,575.0,1.98,,,,,,8.51,7975105024
전세계,2020-02-06,28307.0,645.0,1.76,,,,,,8.51,7975105024
전세계,2020-02-07,31462.0,730.0,1.64,,,,,,8.51,7975105024
전세계,2020-02-08,34859.0,817.0,1.53,,,,,,8.51,7975105024
전세계,2020-02-09,37555.0,917.0,1.45,,,,,,8.51,7975105024
전세계,2020-02-10,40548.0,1024.0,1.43,,,,,,8.51,7975105024
전세계,2020-02-11,43030.0,1124.0,1.44,,,,,,8.51,7975105024
전세계,2020-02-12,45064.0,1129.0,1.56,,,,,,8.51,7975105024
전세계,2020-02-13,60232.0,1382.0,1.72,,,,,,8.51,7975105024
전세계,2020-02-14,64300.0,1534.0,1.49,,,,,,8.51,7975105024
전세계,2020-02-15,66959.0,1676.0,1.22,,,,,,8.51,7975105024
전세계,2020-02-16,69004.0,1781.0,1.01,,,,,,8.51,7975105024
전세계,2020-02-17,71063.0,1879.0,0.85,,,,,,8.51,7975105024
전세계,2020-02-18,72971.0,2018.0,0.72,,,,,,8.51,7975105024
전세계,2020-02-19,74770.0,2131.0,0.64,,,,,,8.51,7975105024
전세계,2020-02-20,75192.0,2254.0,0.55,,,,,,8.51,7975105024
전세계,2020-02-21,76188.0,2256.0,0.55,,,,,,8.51,7975105024
전세계,2020-02-22,77255.0,2465.0,0.57,,,,,,8.51,7975105024
전세계,2020-02-23,78246.0,2471.0,0.57,,,,,,8.51,7975105024
전세계,2020-02-24,78762.0,2630.0,0.61,,,,,,8.51,7975105024
전세계,2020-02-25,79546.0,2709.0,0.67,,,,,,8.51,7975105024
전세계,2020-02-26,80401.0,2771.0,0.77,,,,,,8.51,7975105024
전세계,2020-02-27,81494.0,2809.0,0.85,,,,,,8.51,7975105024
전세계,2020-02-28,82692.0,2866.0,0.96,,,,,,8.51,7975105024
전세계,2020-02-29,84508.0,2930.0,1.1,,,,,,8.51,7975105024
전세계,2020-03-01,86513.0,2986.0,1.21,,,,,,8.51,7975105024
전세계,2020-03-02,88450.0,3053.0,1.28,,,,,,8.51,7975105024
전세계,2020-03-03,90248.0,3121.0,1.36,,,,,,8.51,7975105024
전세계,2020-03-04,92464.0,3208.0,1.42,,,,,,8.51,7975105024
전세계,2020-03-05,94626.0,3295.0,1.49,,,,,,8.51,7975105024
전세계,2020-03-06,97113.0,3395.0,1.58,,,,,,8.51,7975105024
전세계,2020-03-07,100370.0,3497.0,1.64,,,,,,8.51,7975105024
전세계,2020-03-08,106720.0,3635.0,1.7,,,,,,8.51,7975105024
전세계,2020-03-09,109988.0,3857.0,1.76,,,,,,8.51,7975105024
전세계,2020-03-10,113846.0,4031.0,1.85,,,,,,8.51,7975105024
전세계,2020-03-11,117771.0,4300.0,1.94,,,,,,8.51,7975105024
전세계,2020-03-12,123780.0,4605.0,1.99,,,,,,8.51,7975105024
전세계,2020-03-13,130528.0,4925.0,2.07,,,,,,8.51,7975105024
전세계,2020-03-14,137843.0,5325.0,2.07,,,,,,8.51,7975105024
전세계,2020-03-15,167154.0,6289.0,2.06,,,,,,8.51,7975105024
전세계,2020-03-16,175719.0,6853.0,2.07,,,,,,8.51,7975105024
전세계,2020-03-17,186074.0,7440.0,2.07,,,,,,8.51,7975105024
전세계,2020-03-18,197606.0,8078.0,2.09,,,,,,8.51,7975105024
전세계,2020-03-19,211784.0,8870.0,2.11,,,,,,8.51,7975105024
전세계,2020-03-20,228824.0,9693.0,2.09,,,,,,8.51,7975105024
전세계,2020-03-21,249323.0,10755.0,2.08,,,,,,8.51,7975105024
전세계,2020-03-22,338477.0,15986.0,2.05,,,,,,8.51,7975105024
전세계,2020-03-23,360936.0,17179.0,2.01,,,,,,8.51,7975105024
전세계,2020-03-24,387486.0,18416.0,1.96,,,,,,8.51,7975105024
전세계,2020-03-25,417504.0,19910.0,1.91,,,,,,8.51,7975105024
전세계,2020-03-26,448803.0,21509.0,1.85,,,,,,8.51,7975105024
전세계,2020-03-27,486815.0,23339.0,1.78,,,,,,8.51,7975105024
전세계,2020-03-28,531482.0,25598.0,1.72,,,,,,8.51,7975105024
전세계,2020-03-29,689959.0,38269.0,1.65,,,,,,8.51,7975105024
전세계,2020-03-30,733171.0,40690.0,1.6,,,,,,8.51,7975105024
전세계,2020-03-31,782069.0,43591.0,1.55,,,,,,8.51,7975105024
전세계,2020-04-01,825983.0,46617.0,1.49,,,,,,8.51,7975105024
전세계,2020-04-02,878027.0,50038.0,1.41,,,,,,8.51,7975105024
전세계,2020-04-03,936954.0,53833.0,1.35,,,,,,8.51,7975105024
전세계,2020-04-04,997755.0,57964.0,1.29,,,,,,8.51,7975105024
전세계,2020-04-05,1156219.0,75115.0,1.26,,,,,,8.51,7975105024
전세계,2020-04-06,1216014.0,79516.0,1.24,,,,,,8.51,7975105024
전세계,2020-04-07,1270698.0,84394.0,1.21,,,,,,8.51,7975105024
전세계,2020-04-08,1331118.0,89114.0,1.2,,,,,,8.51,7975105024
전세계,2020-04-09,1394729.0,94405.0,1.19,,,,,,8.51,7975105024
전세계,2020-04-10,1464390.0,100109.0,1.18,,,,,,8.51,7975105024
전세계,2020-04-11,1537116.0,105718.0,1.17,,,,,,8.51,7975105024
전세계,2020-04-12,1680576.0,122790.0,1.17,,,,,,8.51,7975105024
전세계,2020-04-13,1744896.0,128292.0,1.14,,,,,,8.51,7975105024
