location,date,total_cases,total_deaths,reproduction_rate,positive_rate,total_vaccinations,people_vaccinated,people_fully_vaccinated,stringency_index,diabetes_prevalence,population
중국,2020-01-03,,,,,,,,0.0,9.74,1425887360
중국,2020-01-04,1.0,,,,,,,0.0,9.74,1425887360
중국,2020-01-05,1.0,,,,,,,2.78,9.74,1425887360
중국,2020-01-06,4.0,,,,,,,2.78,9.74,1425887360
중국,2020-01-07,4.0,,,,,,,2.78,9.74,1425887360
중국,2020-01-08,4.0,,,,,,,2.78,9.74,1425887360
중국,2020-01-09,4.0,,,,,,,2.78,9.74,1425887360
중국,2020-01-10,4.0,,,,,,,2.78,9.74,1425887360
중국,2020-01-11,4.0,,,,,,,2.78,9.74,1425887360
중국,2020-01-12,45.0,1.0,,,,,,2.78,9.74,1425887360
중국,2020-01-13,45.0,1.0,,,,,,2.78,9.74,1425887360
중국,2020-01-14,45.0,1.0,,,,,,2.78,9.74,1425887360
중국,2020-01-15,45.0,1.0,,,,,,8.33,9.74,1425887360
중국,2020-01-16,45.0,1.0,,,,,,8.33,9.74,1425887360
중국,2020-01-17,49.0,2.0,,,,,,8.33,9.74,1425887360
중국,2020-01-18,49.0,2.0,,,,,,8.33,9.74,1425887360
중국,2020-01-19,125.0,3.0,,,,,,8.33,9.74,1425887360
중국,2020-01-20,202.0,4.0,,,,,,8.33,9.74,1425887360
중국,2020-01-21,295.0,6.0,,,,,,8.33,9.74,1425887360
중국,2020-01-22,442.0,17.0,,,,,,26.39,9.74,1425887360
중국,2020-01-23,574.0,18.0,3.04,,,,,44.91,9.74,1425887360
중국,2020-01-24,835.0,26.0,3.28,,,,,44.91,9.74,1425887360
중국,2020-01-25,1297.0,42.0,3.5,,,,,47.69,9.74,1425887360
중국,2020-01-26,1985.0,56.0,3.59,,,,,69.91,9.74,1425887360
중국,2020-01-27,2761.0,82.0,3.66,,,,,69.91,9.74,1425887360
중국,2020-01-28,4533.0,131.0,3.68,,,,,69.91,9.74,1425887360
중국,2020-01-29,5997.0,133.0,3.29,,,,,69.91,9.74,1425887360
중국,2020-01-30,7736.0,171.0,3.05,,,,,69.91,9.74,1425887360
중국,2020-01-31,9720.0,213.0,2.82,,,,,69.91,9.74,1425887360
중국,2020-02-01,11821.0,259.0,2.68,,,,,77.31,9.74,1425887360
중국,2020-02-02,14411.0,361.0,2.59,,,,,77.31,9.74,1425887360
중국,2020-02-03,17238.0,425.0,2.34,,,,,77.31,9.74,1425887360
중국,2020-02-04,20471.0,491.0,2.1,,,,,77.31,9.74,1425887360
중국,2020-02-05,24363.0,563.0,1.96,,,,,77.31,9.74,1425887360
중국,2020-02-06,28060.0,633.0,1.73,,,,,77.31,9.74,1425887360
중국,2020-02-07,31211.0,718.0,1.6,,,,,77.31,9.74,1425887360
중국,2020-02-08,34598.0,805.0,1.48,,,,,77.31,9.74,1425887360
중국,2020-02-09,37251.0,905.0,1.4,,,,,77.31,9.74,1425887360
중국,2020-02-10,40235.0,1012.0,1.39,,,,,75.46,9.74,1425887360
중국,2020-02-11,42708.0,1112.0,1.41,,,,,75.46,9.74,1425887360
중국,2020-02-12,44730.0,1117.0,1.58,,,,,75.46,9.74,1425887360
중국,2020-02-13,59882.0,1369.0,1.82,,,,,75.46,9.74,1425887360
중국,2020-02-14,63932.0,1521.0,1.52,,,,,75.46,9.74,1425887360
중국,2020-02-15,66576.0,1663.0,1.2,,,,,75.46,9.74,1425887360
중국,2020-02-16,68584.0,1767.0,0.95,,,,,75.46,9.74,1425887360
중국,2020-02-17,70635.0,1865.0,0.78,,,,,75.46,9.74,1425887360
중국,2020-02-18,72528.0,2004.0,0.63,,,,,75.46,9.74,1425887360
중국,2020-02-19,74278.0,2117.0,0.53,,,,,75.46,9.74,1425887360
중국,2020-02-20,74675.0,2239.0,0.41,,,,,75.46,9.74,1425887360
중국,2020-02-21,75568.0,2239.0,0.39,,,,,75.46,9.74,1425887360
중국,2020-02-22,76393.0,2444.0,0.37,,,,,75.46,9.74,1425887360
중국,2020-02-23,77042.0,2446.0,0.31,,,,,75.46,9.74,1425887360
중국,2020-02-24,77262.0,2596.0,0.3,,,,,75.46,9.74,1425887360
중국,2020-02-25,77779.0,2666.0,0.3,,,,,81.02,9.74,1425887360
중국,2020-02-26,78190.0,2718.0,0.32,,,,,81.02,9.74,1425887360
중국,2020-02-27,78630.0,2747.0,0.3,,,,,81.02,9.74,1425887360
중국,2020-02-28,78959.0,2791.0,0.31,,,,,81.02,9.74,1425887360
