location,date,total_cases,total_deaths,reproduction_rate,positive_rate,total_vaccinations,people_vaccinated,people_fully_vaccinated,stringency_index,diabetes_prevalence,population
지브롤터,2020-01-03,,,,,,,,,,32677
지브롤터,2020-01-04,,,,,,,,,,32677
지브롤터,2020-01-05,,,,,,,,,,32677
지브롤터,2020-01-06,,,,,,,,,,32677
지브롤터,2020-01-07,,,,,,,,,,32677
지브롤터,2020-01-08,,,,,,,,,,32677
지브롤터,2020-01-09,,,,,,,,,,32677
지브롤터,2020-01-10,,,,,,,,,,32677
지브롤터,2020-01-11,,,,,,,,,,32677
지브롤터,2020-01-12,,,,,,,,,,32677
지브롤터,2020-01-13,,,,,,,,,,32677
지브롤터,2020-01-14,,,,,,,,,,32677
지브롤터,2020-01-15,,,,,,,,,,32677
지브롤터,2020-01-16,,,,,,,,,,32677
지브롤터,2020-01-17,,,,,,,,,,32677
지브롤터,2020-01-18,,,,,,,,,,32677
지브롤터,2020-01-19,,,,,,,,,,32677
지브롤터,2020-01-20,,,,,,,,,,32677
지브롤터,2020-01-21,,,,,,,,,,32677
지브롤터,2020-01-22,,,,,,,,,,32677
지브롤터,2020-01-23,,,,,,,,,,32677
지브롤터,2020-01-24,,,,,,,,,,32677
지브롤터,2020-01-25,,,,,,,,,,32677
지브롤터,2020-01-26,,,,,,,,,,32677
지브롤터,2020-01-27,,,,,,,,,,32677
지브롤터,2020-01-28,,,,,,,,,,32677
지브롤터,2020-01-29,,,,,,,,,,32677
지브롤터,2020-01-30,,,,,,,,,,32677
지브롤터,2020-01-31,,,,,,,,,,32677
지브롤터,2020-02-01,,,,,,,,,,32677
지브롤터,2020-02-02,,,,,,,,,,32677
지브롤터,2020-02-03,,,,,,,,,,32677
지브롤터,2020-02-04,,,,,,,,,,32677
지브롤터,2020-02-05,,,,,,,,,,32677
지브롤터,2020-02-06,,,,,,,,,,32677
지브롤터,2020-02-07,,,,,,,,,,32677
지브롤터,2020-02-08,,,,,,,,,,32677
지브롤터,2020-02-09,,,,,,,,,,32677
지브롤터,2020-02-10,,,,,,,,,,32677
지브롤터,2020-02-11,,,,,,,,,,32677
지브롤터,2020-02-12,,,,,,,,,,32677
지브롤터,2020-02-13,,,,,,,,,,32677
지브롤터,2020-02-14,,,,,,,,,,32677
지브롤터,2020-02-15,,,,,,,,,,32677
지브롤터,2020-02-16,,,,,,,,,,32677
지브롤터,2020-02-17,,,,,,,,,,32677
지브롤터,2020-02-18,,,,,,,,,,32677
지브롤터,2020-02-19,,,,,,,,,,32677
지브롤터,2020-02-20,,,,,,,,,,32677
지브롤터,2020-02-21,,,,,,,,,,32677
지브롤터,2020-02-22,,,,,,,,,,32677
지브롤터,2020-02-23,,,,,,,,,,32677
지브롤터,2020-02-24,,,,,,,,,,32677
지브롤터,2020-02-25,,,,,,,,,,32677
지브롤터,2020-02-26,,,,,,,,,,32677
지브롤터,2020-02-27,,,,,,,,,,32677
지브롤터,2020-02-28,,,,,,,,,,32677
지브롤터,2020-02-29,,,,,,,,,,32677
지브롤터,2020-03-01,,,,,,,,,,32677
지브롤터,2020-03-02,,,,,,,,,,32677
지브롤터,2020-03-03,,,,,,,,,,32677
지브롤터,2020-03-04,1.0,,,,,,,,,32677
지브롤터,2020-03-05,1.0,,,,,,,,,32677
지브롤터,2020-03-06,1.0,,,,,,,,,32677
지브롤터,2020-03-07,1.0,,,,,,,,,32677
지브롤터,2020-03-08,1.0,,,,,,,,,32677
지브롤터,2020-03-09,1.0,,,,,,,,,32677
지브롤터,2020-03-10,1.0,,,,,,,,,32677
지브롤터,2020-03-11,1.0,,,,,,,,,32677
지브롤터,2020-03-12,1.0,,,,,,,,,32677
지브롤터,2020-03-13,1.0,,,,,,,,,32677
지브롤터,2020-03-14,1.0,,,,,,,,,32677
지브롤터,2020-03-15,1.0,,,,,,,,,32677
지브롤터,2020-03-16,1.0,,,,,,,,,32677
지브롤터,2020-03-17,3.0,,,,,,,,,32677
지브롤터,2020-03-18,3.0,,,,,,,,,32677
지브롤터,2020-03-19,3.0,,,,,,,,,32677
지브롤터,2020-03-20,10.0,,,,,,,,,32677
지브롤터,2020-03-21,10.0,,,,,,,,,32677
지브롤터,2020-03-22,10.0,,,,,,,,,32677
지브롤터,2020-03-23,15.0,,,,,,,,,32677
지브롤터,2020-03-24,15.0,,,,,,,,,32677
지브롤터,2020-03-25,15.0,,,,,,,,,32677
지브롤터,2020-03-26,26.0,,,,,,,,,32677
지브롤터,2020-03-27,35.0,,,,,,,,,32677
지브롤터,2020-03-28,47.0,,,,,,,,,32677
지브롤터,2020-03-29,48.0,,,,,,,,,32677
지브롤터,2020-03-30,57.0,,,,,,,,,32677
지브롤터,2020-03-31,61.0,,,,,,,,,32677
지브롤터,2020-04-01,61.0,,,,,,,,,32677
지브롤터,2020-04-02,61.0,,,,,,,,,32677
지브롤터,2020-04-03,73.0,,,,,,,,,32677
지브롤터,2020-04-04,87.0,,,,,,,,,32677
지브롤터,2020-04-05,90.0,,,,,,,,,32677
지브롤터,2020-04-06,95.0,,,,,,,,,32677
지브롤터,2020-04-07,95.0,,,,,,,,,32677
지브롤터,2020-04-08,105.0,,,,,,,,,32677
지브롤터,2020-04-09,105.0,,,,,,,,,32677
지브롤터,2020-04-10,105.0,,,,,,,,,32677
지브롤터,2020-04-11,105.0,,,,,,,,,32677
지브롤터,2020-04-12,105.0,,,,,,,,,32677
지브롤터,2020-04-13,121.0,,,,,,,,,32677
지브롤터,2020-04-14,121.0,,,,,,,,,32677
지브롤터,2020-04-15,121.0,,,,,,,,,32677
지브롤터,2020-04-16,121.0,,,,,,,,,32677
지브롤터,2020-04-17,123.0,,,,,,,,,32677
지브롤터,2020-04-18,125.0,,,,,,,,,32677
지브롤터,2020-04-19,125.0,,,,,,,,,32677
지브롤터,2020-04-20,125.0,,,,,,,,,32677
지브롤터,2020-04-21,125.0,,,,,,,,,32677
지브롤터,2020-04-22,125.0,,,,,,,,,32677
지브롤터,2020-04-23,125.0,,,,,,,,,32677
지브롤터,2020-04-24,125.0,,,,,,,,,32677
지브롤터,2020-04-25,125.0,,,,,,,,,32677
지브롤터,2020-04-26,128.0,,,,,,,,,32677
지브롤터,2020-04-27,133.0,,,,,,,,,32677
지브롤터,2020-04-28,133.0,,,,,,,,,32677
지브롤터,2020-04-29,133.0,,,,,,,,,32677
지브롤터,2020-04-30,133.0,,,,,,,,,32677
지브롤터,2020-05-01,133.0,,,,,,,,,32677
지브롤터,2020-05-02,136.0,,,,,,,,,32677
지브롤터,2020-05-03,136.0,,,,,,,,,32677
지브롤터,2020-05-04,136.0,,,,,,,,,32677
지브롤터,2020-05-05,136.0,,,,,,,,,32677
지브롤터,2020-05-06,136.0,,,,,,,,,32677
지브롤터,2020-05-07,136.0,,,,,,,,,32677
지브롤터,2020-05-08,136.0,,,,,,,,,32677
지브롤터,2020-05-09,136.0,,,,,,,,,32677
지브롤터,2020-05-10,138.0,,,,,,,,,32677
지브롤터,2020-05-11,138.0,,,,,,,,,32677
지브롤터,2020-05-12,138.0,,,,,,,,,32677
지브롤터,2020-05-13,139.0,,,,,,,,,32677
지브롤터,2020-05-14,139.0,,,,,,,,,32677
지브롤터,2020-05-15,139.0,,,,,,,,,32677
지브롤터,2020-05-16,139.0,,,,,,,,,32677
지브롤터,2020-05-17,139.0,,,,,,,,,32677
지브롤터,2020-05-18,139.0,,,,,,,,,32677
지브롤터,2020-05-19,139.0,,,,,,,,,32677
지브롤터,2020-05-20,139.0,,,,,,,,,32677
지브롤터,2020-05-21,139.0,,,,,,,,,32677
지브롤터,2020-05-22,141.0,,,,,,,,,32677
지브롤터,2020-05-23,143.0,,,,,,,,,32677
지브롤터,2020-05-24,143.0,,,,,,,,,32677
지브롤터,2020-05-25,146.0,,,,,,,,,32677
지브롤터,2020-05-26,146.0,,,,,,,,,32677
지브롤터,2020-05-27,146.0,,,,,,,,,32677
지브롤터,2020-05-28,146.0,,,,,,,,,32677
지브롤터,2020-05-29,149.0,,,,,,,,,32677
지브롤터,2020-05-30,150.0,,,,,,,,,32677
지브롤터,2020-05-31,153.0,,,,,,,,,32677
지브롤터,2020-06-01,161.0,,,,,,,,,32677
지브롤터,2020-06-02,162.0,,,,,,,,,32677
지브롤터,2020-06-03,162.0,,,,,,,,,32677
지브롤터,2020-06-04,164.0,,,,,,,,,32677
지브롤터,2020-06-05,165.0,,,,,,,,,32677
