location,date,total_cases,total_deaths,reproduction_rate,positive_rate,total_vaccinations,people_vaccinated,people_fully_vaccinated,stringency_index,diabetes_prevalence,population
체코,2020-01-03,,,,,,,,0.0,6.82,10493990
체코,2020-01-04,,,,,,,,0.0,6.82,10493990
체코,2020-01-05,,,,,,,,0.0,6.82,10493990
체코,2020-01-06,,,,,,,,0.0,6.82,10493990
체코,2020-01-07,,,,,,,,0.0,6.82,10493990
체코,2020-01-08,,,,,,,,0.0,6.82,10493990
체코,2020-01-09,,,,,,,,0.0,6.82,10493990
체코,2020-01-10,,,,,,,,0.0,6.82,10493990
체코,2020-01-11,,,,,,,,0.0,6.82,10493990
체코,2020-01-12,,,,,,,,0.0,6.82,10493990
체코,2020-01-13,,,,,,,,0.0,6.82,10493990
체코,2020-01-14,,,,,,,,0.0,6.82,10493990
체코,2020-01-15,,,,,,,,0.0,6.82,10493990
체코,2020-01-16,,,,,,,,0.0,6.82,10493990
체코,2020-01-17,,,,,,,,0.0,6.82,10493990
체코,2020-01-18,,,,,,,,0.0,6.82,10493990
체코,2020-01-19,,,,,,,,0.0,6.82,10493990
체코,2020-01-20,,,,,,,,0.0,6.82,10493990
체코,2020-01-21,,,,,,,,0.0,6.82,10493990
체코,2020-01-22,,,,,,,,0.0,6.82,10493990
체코,2020-01-23,,,,,,,,0.0,6.82,10493990
체코,2020-01-24,,,,,,,,5.56,6.82,10493990
체코,2020-01-25,,,,,,,,5.56,6.82,10493990
체코,2020-01-26,,,,,,,,5.56,6.82,10493990
체코,2020-01-27,,,,,,,,11.11,6.82,10493990
체코,2020-01-28,,,,,,,,11.11,6.82,10493990
체코,2020-01-29,,,,,,,,11.11,6.82,10493990
체코,2020-01-30,,,,,,,,16.67,6.82,10493990
체코,2020-01-31,,,,,,,,16.67,6.82,10493990
체코,2020-02-01,,,,,,,,16.67,6.82,10493990
체코,2020-02-02,,,,,,,,16.67,6.82,10493990
체코,2020-02-03,,,,,,,,16.67,6.82,10493990
체코,2020-02-04,,,,,,,,16.67,6.82,10493990
체코,2020-02-05,,,,,,,,16.67,6.82,10493990
체코,2020-02-06,,,,,,,,16.67,6.82,10493990
체코,2020-02-07,,,,,,,,16.67,6.82,10493990
체코,2020-02-08,,,,,,,,16.67,6.82,10493990
체코,2020-02-09,,,,,,,,16.67,6.82,10493990
체코,2020-02-10,,,,,,,,16.67,6.82,10493990
체코,2020-02-11,,,,,,,,16.67,6.82,10493990
체코,2020-02-12,,,,,,,,16.67,6.82,10493990
