location,date,total_cases,total_deaths,reproduction_rate,positive_rate,total_vaccinations,people_vaccinated,people_fully_vaccinated,stringency_index,diabetes_prevalence,population
카타르,2020-01-03,,,,,,,,0.0,16.52,2695131
카타르,2020-01-04,,,,,,,,0.0,16.52,2695131
카타르,2020-01-05,,,,,,,,0.0,16.52,2695131
카타르,2020-01-06,,,,,,,,0.0,16.52,2695131
카타르,2020-01-07,,,,,,,,0.0,16.52,2695131
카타르,2020-01-08,,,,,,,,0.0,16.52,2695131
카타르,2020-01-09,,,,,,,,0.0,16.52,2695131
카타르,2020-01-10,,,,,,,,0.0,16.52,2695131
카타르,2020-01-11,,,,,,,,0.0,16.52,2695131
카타르,2020-01-12,,,,,,,,0.0,16.52,2695131
카타르,2020-01-13,,,,,,,,0.0,16.52,2695131
카타르,2020-01-14,,,,,,,,0.0,16.52,2695131
카타르,2020-01-15,,,,,,,,0.0,16.52,2695131
카타르,2020-01-16,,,,,,,,0.0,16.52,2695131
카타르,2020-01-17,,,,,,,,0.0,16.52,2695131
카타르,2020-01-18,,,,,,,,0.0,16.52,2695131
카타르,2020-01-19,,,,,,,,0.0,16.52,2695131
카타르,2020-01-20,,,,,,,,0.0,16.52,2695131
카타르,2020-01-21,,,,,,,,0.0,16.52,2695131
카타르,2020-01-22,,,,,,,,0.0,16.52,2695131
카타르,2020-01-23,,,,,,,,0.0,16.52,2695131
카타르,2020-01-24,,,,,,,,2.78,16.52,2695131
카타르,2020-01-25,,,,,,,,2.78,16.52,2695131
카타르,2020-01-26,,,,,,,,2.78,16.52,2695131
카타르,2020-01-27,,,,,,,,2.78,16.52,2695131
카타르,2020-01-28,,,,,,,,2.78,16.52,2695131
카타르,2020-01-29,,,,,,,,2.78,16.52,2695131
카타르,2020-01-30,,,,,,,,8.33,16.52,2695131
카타르,2020-01-31,,,,,,,,8.33,16.52,2695131
카타르,2020-02-01,,,,,,,,8.33,16.52,2695131
카타르,2020-02-02,,,,,,,,8.33,16.52,2695131
카타르,2020-02-03,,,,,,,,13.89,16.52,2695131
카타르,2020-02-04,,,,,,,,13.89,16.52,2695131
카타르,2020-02-05,,,,,,,,13.89,16.52,2695131
카타르,2020-02-06,,,,,,,,13.89,16.52,2695131
카타르,2020-02-07,,,,,,,,13.89,16.52,2695131
카타르,2020-02-08,,,,,,,,13.89,16.52,2695131
카타르,2020-02-09,,,,,,,,13.89,16.52,2695131
카타르,2020-02-10,,,,,,,,13.89,16.52,2695131
카타르,2020-02-11,,,,,,,,13.89,16.52,2695131
카타르,2020-02-12,,,,,,,,13.89,16.52,2695131
카타르,2020-02-13,,,,,,,,13.89,16.52,2695131
카타르,2020-02-14,,,,,,,,13.89,16.52,2695131
카타르,2020-02-15,,,,,,,,13.89,16.52,2695131
카타르,2020-02-16,,,,,,,,13.89,16.52,2695131
카타르,2020-02-17,,,,,,,,13.89,16.52,2695131
카타르,2020-02-18,,,,,,,,13.89,16.52,2695131
카타르,2020-02-19,,,,,,,,13.89,16.52,2695131
카타르,2020-02-20,,,,,,,,13.89,16.52,2695131
카타르,2020-02-21,,,,,,,,13.89,16.52,2695131
카타르,2020-02-22,,,,,,,,13.89,16.52,2695131
카타르,2020-02-23,,,,,,,,13.89,16.52,2695131
카타르,2020-02-24,,,,,,,,13.89,16.52,2695131
카타르,2020-02-25,,,,,,,,13.89,16.52,2695131
카타르,2020-02-26,,,,,,,,13.89,16.52,2695131
카타르,2020-02-27,,,,,,,,13.89,16.52,2695131
카타르,2020-02-28,,,,,,,,13.89,16.52,2695131
카타르,2020-02-29,,,,,,,,13.89,16.52,2695131
카타르,2020-03-01,,,,,,,,13.89,16.52,2695131
카타르,2020-03-02,3.0,,,,,,,13.89,16.52,2695131
카타르,2020-03-03,7.0,,,,,,,13.89,16.52,2695131
카타르,2020-03-04,8.0,,,,,,,13.89,16.52,2695131
카타르,2020-03-05,8.0,,,,,,,13.89,16.52,2695131
카타르,2020-03-06,8.0,,,,,,,13.89,16.52,2695131
카타르,2020-03-07,11.0,,,,,,,13.89,16.52,2695131
카타르,2020-03-08,12.0,,,,,,,13.89,16.52,2695131
카타르,2020-03-09,15.0,,,,,,,13.89,16.52,2695131
카타르,2020-03-10,18.0,,,,,,,25.0,16.52,2695131
카타르,2020-03-11,24.0,,,,,,,25.0,16.52,2695131
카타르,2020-03-12,262.0,,0.88,,,,,30.56,16.52,2695131
카타르,2020-03-13,262.0,,0.96,,,,,30.56,16.52,2695131
카타르,2020-03-14,320.0,,0.9,,,,,30.56,16.52,2695131
카타르,2020-03-15,337.0,,0.9,,,,,41.67,16.52,2695131
카타르,2020-03-16,337.0,,0.78,,,,,41.67,16.52,2695131
카타르,2020-03-17,439.0,,0.61,,,,,61.11,16.52,2695131
카타르,2020-03-18,442.0,,0.59,,,,,63.89,16.52,2695131
카타르,2020-03-19,442.0,,0.55,,,,,63.89,16.52,2695131
카타르,2020-03-20,460.0,,0.49,,,,,63.89,16.52,2695131
카타르,2020-03-21,470.0,,0.48,,,,,63.89,16.52,2695131
카타르,2020-03-22,481.0,,0.5,,,,,80.56,16.52,2695131
카타르,2020-03-23,494.0,,0.64,,,,,80.56,16.52,2695131
카타르,2020-03-24,501.0,,0.85,,,,,80.56,16.52,2695131
카타르,2020-03-25,526.0,,0.97,,,,,80.56,16.52,2695131
카타르,2020-03-26,537.0,,1.08,,,,,80.56,16.52,2695131
카타르,2020-03-27,537.0,,1.27,,,,,80.56,16.52,2695131
카타르,2020-03-28,562.0,,1.58,,,,,86.11,16.52,2695131
카타르,2020-03-29,590.0,,1.93,,,,,86.11,16.52,2695131
카타르,2020-03-30,634.0,1.0,2.25,,,,,86.11,16.52,2695131
카타르,2020-03-31,693.0,1.0,2.46,,,,,86.11,16.52,2695131
카타르,2020-04-01,781.0,2.0,2.5,,,,,86.11,16.52,2695131
카타르,2020-04-02,835.0,2.0,2.65,,,,,86.11,16.52,2695131
카타르,2020-04-03,949.0,3.0,2.72,,,,,86.11,16.52,2695131
카타르,2020-04-04,1075.0,3.0,2.77,,,,,86.11,16.52,2695131
카타르,2020-04-05,1325.0,3.0,2.53,,,,,86.11,16.52,2695131
카타르,2020-04-06,1604.0,4.0,2.18,,,,,86.11,16.52,2695131
카타르,2020-04-07,1832.0,4.0,1.89,,,,,86.11,16.52,2695131
카타르,2020-04-08,2057.0,6.0,1.65,,,,,86.11,16.52,2695131
카타르,2020-04-09,2210.0,6.0,1.46,,,,,86.11,16.52,2695131
카타르,2020-04-10,2376.0,6.0,1.36,,,,,86.11,16.52,2695131
카타르,2020-04-11,2512.0,6.0,1.36,,,,,86.11,16.52,2695131
카타르,2020-04-12,2728.0,6.0,1.4,,,,,86.11,16.52,2695131
카타르,2020-04-13,2979.0,7.0,1.45,,,,,86.11,16.52,2695131
카타르,2020-04-14,3231.0,7.0,1.51,,,,,86.11,16.52,2695131
카타르,2020-04-15,3428.0,7.0,1.66,,,,,86.11,16.52,2695131
카타르,2020-04-16,3711.0,7.0,1.76,,,,,86.11,16.52,2695131
카타르,2020-04-17,4103.0,7.0,1.78,,,,,86.11,16.52,2695131
카타르,2020-04-18,4663.0,7.0,1.64,,,,,86.11,16.52,2695131
카타르,2020-04-19,5008.0,8.0,1.61,,,,,86.11,16.52,2695131
카타르,2020-04-20,5448.0,8.0,1.65,,,,,86.11,16.52,2695131
카타르,2020-04-21,6015.0,9.0,1.66,,,,,86.11,16.52,2695131
카타르,2020-04-22,6533.0,9.0,1.68,,,,,83.33,16.52,2695131
카타르,2020-04-23,7141.0,10.0,1.64,,,,,83.33,16.52,2695131
카타르,2020-04-24,7764.0,10.0,1.62,,,,,83.33,16.52,2695131
카타르,2020-04-25,8525.0,10.0,1.59,,,,,83.33,16.52,2695131
카타르,2020-04-26,9358.0,10.0,1.54,,,,,83.33,16.52,2695131
카타르,2020-04-27,10287.0,10.0,1.45,,,,,83.33,16.52,2695131
카타르,2020-04-28,11244.0,10.0,1.32,,,,,83.33,16.52,2695131
카타르,2020-04-29,11921.0,10.0,1.25,,,,,83.33,16.52,2695131
카타르,2020-04-30,12564.0,10.0,1.21,,,,,83.33,16.52,2695131
카타르,2020-05-01,13409.0,10.0,1.13,,,,,83.33,16.52,2695131
카타르,2020-05-02,14096.0,12.0,1.11,,,,,83.33,16.52,2695131
카타르,2020-05-03,14872.0,12.0,1.1,,,,,83.33,16.52,2695131
카타르,2020-05-04,15551.0,12.0,1.14,,,,,83.33,16.52,2695131
카타르,2020-05-05,16191.0,12.0,1.23,,,,,83.33,16.52,2695131
카타르,2020-05-06,17142.0,12.0,1.28,,,,,83.33,16.52,2695131
카타르,2020-05-07,17972.0,12.0,1.32,,,,,83.33,16.52,2695131
카타르,2020-05-08,18890.0,12.0,1.37,,,,,83.33,16.52,2695131
카타르,2020-05-09,20201.0,12.0,1.36,,,,,83.33,16.52,2695131
카타르,2020-05-10,21331.0,13.0,1.35,,,,,83.33,16.52,2695131
카타르,2020-05-11,22520.0,14.0,1.36,,,,,83.33,16.52,2695131
카타르,2020-05-12,23623.0,14.0,1.4,,,,,83.33,16.52,2695131
