location,date,total_cases,total_deaths,reproduction_rate,positive_rate,total_vaccinations,people_vaccinated,people_fully_vaccinated,stringency_index,diabetes_prevalence,population
캄보디아,2020-01-03,,,,,,,,0.0,4.0,16767851
캄보디아,2020-01-04,,,,,,,,0.0,4.0,16767851
캄보디아,2020-01-05,,,,,,,,0.0,4.0,16767851
캄보디아,2020-01-06,,,,,,,,0.0,4.0,16767851
캄보디아,2020-01-07,,,,,,,,0.0,4.0,16767851
캄보디아,2020-01-08,,,,,,,,0.0,4.0,16767851
캄보디아,2020-01-09,,,,,,,,0.0,4.0,16767851
캄보디아,2020-01-10,,,,,,,,0.0,4.0,16767851
캄보디아,2020-01-11,,,,,,,,0.0,4.0,16767851
캄보디아,2020-01-12,,,,,,,,0.0,4.0,16767851
캄보디아,2020-01-13,,,,,,,,0.0,4.0,16767851
캄보디아,2020-01-14,,,,,,,,0.0,4.0,16767851
캄보디아,2020-01-15,,,,,,,,0.0,4.0,16767851
캄보디아,2020-01-16,,,,,,,,0.0,4.0,16767851
캄보디아,2020-01-17,,,,,,,,0.0,4.0,16767851
캄보디아,2020-01-18,,,,,,,,0.0,4.0,16767851
캄보디아,2020-01-19,,,,,,,,0.0,4.0,16767851
캄보디아,2020-01-20,,,,,,,,0.0,4.0,16767851
캄보디아,2020-01-21,,,,,,,,0.0,4.0,16767851
캄보디아,2020-01-22,,,,,,,,0.0,4.0,16767851
캄보디아,2020-01-23,,,,,,,,0.0,4.0,16767851
캄보디아,2020-01-24,,,,,,,,0.0,4.0,16767851
캄보디아,2020-01-25,,,,,,,,0.0,4.0,16767851
캄보디아,2020-01-26,,,,,,,,0.0,4.0,16767851
캄보디아,2020-01-27,,,,,,,,0.0,4.0,16767851
캄보디아,2020-01-28,1.0,,,,,,,0.0,4.0,16767851
캄보디아,2020-01-29,1.0,,,,,,,0.0,4.0,16767851
캄보디아,2020-01-30,1.0,,,,,,,0.0,4.0,16767851
캄보디아,2020-01-31,1.0,,,,,,,0.0,4.0,16767851
캄보디아,2020-02-01,1.0,,,,,,,0.0,4.0,16767851
캄보디아,2020-02-02,1.0,,,,,,,0.0,4.0,16767851
캄보디아,2020-02-03,1.0,,,,,,,0.0,4.0,16767851
캄보디아,2020-02-04,1.0,,,,,,,0.0,4.0,16767851
캄보디아,2020-02-05,1.0,,,,,,,0.0,4.0,16767851
캄보디아,2020-02-06,1.0,,,,,,,0.0,4.0,16767851
캄보디아,2020-02-07,1.0,,,,,,,0.0,4.0,16767851
캄보디아,2020-02-08,1.0,,,,,,,0.0,4.0,16767851
캄보디아,2020-02-09,1.0,,,,,,,0.0,4.0,16767851
캄보디아,2020-02-10,1.0,,,,,,,0.0,4.0,16767851
캄보디아,2020-02-11,1.0,,,,,,,0.0,4.0,16767851
캄보디아,2020-02-12,1.0,,,,,,,0.0,4.0,16767851
캄보디아,2020-02-13,1.0,,,,,,,0.0,4.0,16767851
캄보디아,2020-02-14,1.0,,,,,,,0.0,4.0,16767851
캄보디아,2020-02-15,1.0,,,,,,,0.0,4.0,16767851
캄보디아,2020-02-16,1.0,,,,,,,0.0,4.0,16767851
캄보디아,2020-02-17,1.0,,,,,,,0.0,4.0,16767851
캄보디아,2020-02-18,1.0,,,,,,,0.0,4.0,16767851
캄보디아,2020-02-19,1.0,,,,,,,0.0,4.0,16767851
캄보디아,2020-02-20,1.0,,,,,,,0.0,4.0,16767851
캄보디아,2020-02-21,1.0,,,,,,,0.0,4.0,16767851
캄보디아,2020-02-22,1.0,,,,,,,0.0,4.0,16767851
캄보디아,2020-02-23,1.0,,,,,,,0.0,4.0,16767851
캄보디아,2020-02-24,1.0,,,,,,,0.0,4.0,16767851
캄보디아,2020-02-25,1.0,,,,,,,0.0,4.0,16767851
캄보디아,2020-02-26,1.0,,,,,,,0.0,4.0,16767851
캄보디아,2020-02-27,1.0,,,,,,,0.0,4.0,16767851
캄보디아,2020-02-28,1.0,,,,,,,0.0,4.0,16767851
캄보디아,2020-02-29,1.0,,,,,,,0.0,4.0,16767851
캄보디아,2020-03-01,1.0,,,,,,,0.0,4.0,16767851
캄보디아,2020-03-02,1.0,,,,,,,0.0,4.0,16767851
캄보디아,2020-03-03,1.0,,,,,,,0.0,4.0,16767851
캄보디아,2020-03-04,1.0,,,,,,,0.0,4.0,16767851
캄보디아,2020-03-05,1.0,,,,,,,0.0,4.0,16767851
캄보디아,2020-03-06,1.0,,,,,,,0.0,4.0,16767851
캄보디아,2020-03-07,1.0,,,,,,,19.44,4.0,16767851
캄보디아,2020-03-08,2.0,,,,,,,19.44,4.0,16767851
캄보디아,2020-03-09,2.0,,,,,,,19.44,4.0,16767851
캄보디아,2020-03-10,2.0,,,,,,,19.44,4.0,16767851
캄보디아,2020-03-11,3.0,,,,,,,19.44,4.0,16767851
캄보디아,2020-03-12,3.0,,,,,,,19.44,4.0,16767851
캄보디아,2020-03-13,5.0,,,,,,,27.78,4.0,16767851
캄보디아,2020-03-14,7.0,,,,,,,27.78,4.0,16767851
캄보디아,2020-03-15,7.0,,,,,,,27.78,4.0,16767851
캄보디아,2020-03-16,12.0,,,,,,,27.78,4.0,16767851
캄보디아,2020-03-17,12.0,,,,,,,46.3,4.0,16767851
캄보디아,2020-03-18,33.0,,,,,,,46.3,4.0,16767851
캄보디아,2020-03-19,37.0,,,,,,,46.3,4.0,16767851
캄보디아,2020-03-20,47.0,,,,,,,46.3,4.0,16767851
캄보디아,2020-03-21,51.0,,,,,,,46.3,4.0,16767851
캄보디아,2020-03-22,53.0,,,,,,,46.3,4.0,16767851
캄보디아,2020-03-23,84.0,,,,,,,46.3,4.0,16767851
캄보디아,2020-03-24,87.0,,,,,,,46.3,4.0,16767851
캄보디아,2020-03-25,91.0,,,,,,,46.3,4.0,16767851
캄보디아,2020-03-26,96.0,,,,,,,65.74,4.0,16767851
캄보디아,2020-03-27,98.0,,,,,,,65.74,4.0,16767851
캄보디아,2020-03-28,98.0,,,,,,,65.74,4.0,16767851
캄보디아,2020-03-29,102.0,,,,,,,65.74,4.0,16767851
캄보디아,2020-03-30,103.0,,0.34,,,,,65.74,4.0,16767851
캄보디아,2020-03-31,107.0,,0.31,,,,,65.74,4.0,16767851
캄보디아,2020-04-01,109.0,,0.28,,,,,65.74,4.0,16767851
캄보디아,2020-04-02,109.0,,0.26,,,,,65.74,4.0,16767851
캄보디아,2020-04-03,110.0,,0.25,,,,,65.74,4.0,16767851
캄보디아,2020-04-04,114.0,,0.23,,,,,65.74,4.0,16767851
캄보디아,2020-04-05,114.0,,0.22,,,,,65.74,4.0,16767851
캄보디아,2020-04-06,114.0,,0.21,,,,,65.74,4.0,16767851
캄보디아,2020-04-07,115.0,,0.21,,,,,68.52,4.0,16767851
캄보디아,2020-04-08,115.0,,0.22,,,,,65.74,4.0,16767851
캄보디아,2020-04-09,117.0,,0.21,,,,,76.85,4.0,16767851
캄보디아,2020-04-10,118.0,,0.19,,,,,76.85,4.0,16767851
캄보디아,2020-04-11,120.0,,0.19,,,,,76.85,4.0,16767851
캄보디아,2020-04-12,122.0,,0.17,,,,,76.85,4.0,16767851
캄보디아,2020-04-13,122.0,,0.15,,,,,76.85,4.0,16767851
캄보디아,2020-04-14,122.0,,0.12,,,,,76.85,4.0,16767851
캄보디아,2020-04-15,122.0,,0.1,,,,,76.85,4.0,16767851
캄보디아,2020-04-16,122.0,,0.09,,,,,76.85,4.0,16767851
캄보디아,2020-04-17,122.0,,0.07,,,,,65.74,4.0,16767851
캄보디아,2020-04-18,122.0,,0.06,,,,,65.74,4.0,16767851
캄보디아,2020-04-19,122.0,,0.05,,,,,65.74,4.0,16767851
캄보디아,2020-04-20,122.0,,0.05,,,,,65.74,4.0,16767851
캄보디아,2020-04-21,122.0,,0.04,,,,,65.74,4.0,16767851
캄보디아,2020-04-22,122.0,,0.03,,,,,65.74,4.0,16767851
캄보디아,2020-04-23,122.0,,0.03,,,,,65.74,4.0,16767851
캄보디아,2020-04-24,122.0,,0.02,,,,,65.74,4.0,16767851
캄보디아,2020-04-25,122.0,,0.02,,,,,65.74,4.0,16767851
캄보디아,2020-04-26,122.0,,0.02,,,,,65.74,4.0,16767851
캄보디아,2020-04-27,122.0,,0.01,,,,,65.74,4.0,16767851
캄보디아,2020-04-28,122.0,,0.01,,,,,65.74,4.0,16767851
캄보디아,2020-04-29,122.0,,0.01,,,,,65.74,4.0,16767851
캄보디아,2020-04-30,122.0,,0.01,,,,,65.74,4.0,16767851
캄보디아,2020-05-01,122.0,,0.01,,,,,65.74,4.0,16767851
캄보디아,2020-05-02,122.0,,0.01,,,,,65.74,4.0,16767851
캄보디아,2020-05-03,122.0,,0.0,,,,,65.74,4.0,16767851
캄보디아,2020-05-04,122.0,,0.0,,,,,65.74,4.0,16767851
캄보디아,2020-05-05,122.0,,0.0,,,,,65.74,4.0,16767851
캄보디아,2020-05-06,122.0,,0.0,,,,,65.74,4.0,16767851
캄보디아,2020-05-07,122.0,,0.0,,,,,65.74,4.0,16767851
캄보디아,2020-05-08,122.0,,0.0,,,,,65.74,4.0,16767851
캄보디아,2020-05-09,122.0,,0.0,,,,,65.74,4.0,16767851
캄보디아,2020-05-10,122.0,,0.0,,,,,65.74,4.0,16767851
캄보디아,2020-05-11,122.0,,0.0,,,,,65.74,4.0,16767851
캄보디아,2020-05-12,122.0,,0.0,,,,,65.74,4.0,16767851
