location,date,total_cases,total_deaths,reproduction_rate,positive_rate,total_vaccinations,people_vaccinated,people_fully_vaccinated,stringency_index,diabetes_prevalence,population
캐나다,2020-01-03,,,,,,,,0.0,7.37,38454328
캐나다,2020-01-04,,,,,,,,0.0,7.37,38454328
캐나다,2020-01-05,,,,,,,,0.0,7.37,38454328
캐나다,2020-01-06,,,,,,,,0.0,7.37,38454328
캐나다,2020-01-07,,,,,,,,0.0,7.37,38454328
캐나다,2020-01-08,,,,,,,,0.0,7.37,38454328
캐나다,2020-01-09,,,,,,,,0.0,7.37,38454328
캐나다,2020-01-10,,,,,,,,0.0,7.37,38454328
캐나다,2020-01-11,,,,,,,,0.0,7.37,38454328
캐나다,2020-01-12,,,,,,,,0.0,7.37,38454328
캐나다,2020-01-13,,,,,,,,0.0,7.37,38454328
캐나다,2020-01-14,,,,,,,,0.0,7.37,38454328
캐나다,2020-01-15,,,,,,,,0.0,7.37,38454328
캐나다,2020-01-16,,,,,,,,0.0,7.37,38454328
캐나다,2020-01-17,,,,,,,,0.0,7.37,38454328
캐나다,2020-01-18,,,,,,,,0.0,7.37,38454328
캐나다,2020-01-19,,,,,,,,0.0,7.37,38454328
캐나다,2020-01-20,,,,,,,,0.0,7.37,38454328
캐나다,2020-01-21,,,,,,,,0.0,7.37,38454328
캐나다,2020-01-22,,,,,,,,2.78,7.37,38454328
캐나다,2020-01-23,,,,,,,,2.78,7.37,38454328
캐나다,2020-01-24,,,,,,,,2.78,7.37,38454328
캐나다,2020-01-25,,,,,,,,2.78,7.37,38454328
캐나다,2020-01-26,1.0,,,,,,,2.78,7.37,38454328
캐나다,2020-01-27,1.0,,,,,,,2.78,7.37,38454328
캐나다,2020-01-28,2.0,,,,,,,2.78,7.37,38454328
캐나다,2020-01-29,2.0,,,,,,,2.78,7.37,38454328
캐나다,2020-01-30,3.0,,,,,,,2.78,7.37,38454328
캐나다,2020-01-31,3.0,,,,,,,2.78,7.37,38454328
캐나다,2020-02-01,4.0,,,,,,,2.78,7.37,38454328
캐나다,2020-02-02,4.0,,,,,,,2.78,7.37,38454328
캐나다,2020-02-03,4.0,,,,,,,2.78,7.37,38454328
캐나다,2020-02-04,8.0,,,,,,,2.78,7.37,38454328
캐나다,2020-02-05,9.0,,,,,,,2.78,7.37,38454328
캐나다,2020-02-06,9.0,,,,,,,2.78,7.37,38454328
캐나다,2020-02-07,5.0,,,0.0714,,,,2.78,7.37,38454328
캐나다,2020-02-08,7.0,,,0.0714,,,,2.78,7.37,38454328
캐나다,2020-02-09,7.0,,,0.0714,,,,2.78,7.37,38454328
캐나다,2020-02-10,7.0,,,0.102,,,,2.78,7.37,38454328
캐나다,2020-02-11,7.0,,,0.0816,,,,2.78,7.37,38454328
캐나다,2020-02-12,7.0,,,0.0613,,,,2.78,7.37,38454328
캐나다,2020-02-13,7.0,,,0.0715,,,,2.78,7.37,38454328
캐나다,2020-02-14,7.0,,,0.0238,,,,2.78,7.37,38454328
캐나다,2020-02-15,7.0,,,0.0238,,,,2.78,7.37,38454328
캐나다,2020-02-16,7.0,,,0.0238,,,,2.78,7.37,38454328
캐나다,2020-02-17,8.0,,,0.0204,,,,2.78,7.37,38454328
캐나다,2020-02-18,8.0,,,0.0204,,,,2.78,7.37,38454328
캐나다,2020-02-19,8.0,,,0.0179,,,,2.78,7.37,38454328
캐나다,2020-02-20,8.0,,,0.0318,,,,2.78,7.37,38454328
캐나다,2020-02-21,8.0,,,0.0571,,,,2.78,7.37,38454328
캐나다,2020-02-22,9.0,,,0.0649,,,,2.78,7.37,38454328
캐나다,2020-02-23,9.0,,,0.0659,,,,2.78,7.37,38454328
캐나다,2020-02-24,9.0,,,0.0659,,,,2.78,7.37,38454328
캐나다,2020-02-25,10.0,,,0.0919,,,,2.78,7.37,38454328
캐나다,2020-02-26,10.0,,,0.068,,,,2.78,7.37,38454328
캐나다,2020-02-27,11.0,,,0.0507,,,,2.78,7.37,38454328
캐나다,2020-02-28,12.0,,,0.0549,,,,2.78,7.37,38454328
캐나다,2020-02-29,13.0,,,0.0577,,,,2.78,7.37,38454328
캐나다,2020-03-01,15.0,,,0.0522,,,,2.78,7.37,38454328
캐나다,2020-03-02,15.0,,,0.0618,,,,2.78,7.37,38454328
캐나다,2020-03-03,24.0,,,0.0635,,,,2.78,7.37,38454328
캐나다,2020-03-04,33.0,,,0.0626,,,,2.78,7.37,38454328
캐나다,2020-03-05,33.0,,,0.0673,,,,2.78,7.37,38454328
캐나다,2020-03-06,45.0,,,0.0651,,,,2.78,7.37,38454328
캐나다,2020-03-07,45.0,,,0.0516,,,,2.78,7.37,38454328
캐나다,2020-03-08,51.0,,,0.0397,,,,2.78,7.37,38454328
캐나다,2020-03-09,57.0,,2.26,0.0347,,,,2.78,7.37,38454328
캐나다,2020-03-10,62.0,1.0,2.27,0.033,,,,2.78,7.37,38454328
캐나다,2020-03-11,77.0,1.0,2.31,0.043,,,,13.89,7.37,38454328
캐나다,2020-03-12,103.0,1.0,2.32,0.0386,,,,22.22,7.37,38454328
캐나다,2020-03-13,103.0,1.0,2.34,0.0349,,,,22.22,7.37,38454328
캐나다,2020-03-14,138.0,1.0,2.34,0.031,,,,24.07,7.37,38454328
캐나다,2020-03-15,176.0,1.0,2.35,0.0293,,,,24.07,7.37,38454328
캐나다,2020-03-16,193.0,1.0,2.36,0.0303,,,,43.52,7.37,38454328
캐나다,2020-03-17,249.0,1.0,2.36,0.0303,,,,43.52,7.37,38454328
캐나다,2020-03-18,324.0,4.0,2.36,0.0296,,,,62.96,7.37,38454328
캐나다,2020-03-19,424.0,7.0,2.34,0.0294,,,,62.96,7.37,38454328
캐나다,2020-03-20,569.0,8.0,2.32,0.0325,,,,73.15,7.37,38454328
캐나다,2020-03-21,846.0,10.0,2.3,0.0387,,,,73.15,7.37,38454328
캐나다,2020-03-22,971.0,11.0,2.25,0.0409,,,,73.15,7.37,38454328
캐나다,2020-03-23,1302.0,15.0,2.2,0.0448,,,,74.54,7.37,38454328
캐나다,2020-03-24,1430.0,15.0,2.14,0.0494,,,,74.54,7.37,38454328
캐나다,2020-03-25,1646.0,18.0,2.08,0.0516,,,,74.54,7.37,38454328
캐나다,2020-03-26,1959.0,19.0,2.02,0.0598,,,,74.54,7.37,38454328
캐나다,2020-03-27,3385.0,22.0,1.97,0.0628,,,,74.54,7.37,38454328
캐나다,2020-03-28,4018.0,24.0,1.91,0.0648,,,,74.54,7.37,38454328
캐나다,2020-03-29,4675.0,35.0,1.86,0.0667,,,,74.54,7.37,38454328
캐나다,2020-03-30,5386.0,41.0,1.8,0.0728,,,,74.54,7.37,38454328
캐나다,2020-03-31,6255.0,42.0,1.75,0.0764,,,,74.54,7.37,38454328
캐나다,2020-04-01,7424.0,56.0,1.69,0.0821,,,,76.39,7.37,38454328
캐나다,2020-04-02,8536.0,63.0,1.64,0.0855,,,,76.39,7.37,38454328
캐나다,2020-04-03,9595.0,72.0,1.58,0.0879,,,,76.39,7.37,38454328
캐나다,2020-04-04,11268.0,138.0,1.53,0.0896,,,,74.54,7.37,38454328
캐나다,2020-04-05,12519.0,187.0,1.48,0.0949,,,,74.54,7.37,38454328
캐나다,2020-04-06,13882.0,231.0,1.44,0.0989,,,,74.54,7.37,38454328
캐나다,2020-04-07,15496.0,280.0,1.4,0.1068,,,,74.54,7.37,38454328
캐나다,2020-04-08,16653.0,323.0,1.36,0.1125,,,,74.54,7.37,38454328
캐나다,2020-04-09,17883.0,379.0,1.33,0.1161,,,,74.54,7.37,38454328
캐나다,2020-04-10,19274.0,434.0,1.3,0.1201,,,,74.54,7.37,38454328
캐나다,2020-04-11,20748.0,508.0,1.28,0.1249,,,,74.54,7.37,38454328
캐나다,2020-04-12,22133.0,568.0,1.27,0.1278,,,,74.54,7.37,38454328
캐나다,2020-04-13,23301.0,652.0,1.26,0.1307,,,,74.54,7.37,38454328
캐나다,2020-04-14,24365.0,716.0,1.24,0.129,,,,74.54,7.37,38454328
캐나다,2020-04-15,25663.0,779.0,1.22,0.1291,,,,74.54,7.37,38454328
캐나다,2020-04-16,27046.0,902.0,1.2,0.1311,,,,74.54,7.37,38454328
캐나다,2020-04-17,28364.0,1009.0,1.18,0.1375,,,,74.54,7.37,38454328
캐나다,2020-04-18,30081.0,1191.0,1.16,0.1373,,,,74.54,7.37,38454328
캐나다,2020-04-19,31872.0,1306.0,1.14,0.1354,,,,74.54,7.37,38454328
캐나다,2020-04-20,33340.0,1464.0,1.12,0.1194,,,,74.54,7.37,38454328
캐나다,2020-04-21,34776.0,1577.0,1.1,0.1077,,,,74.54,7.37,38454328
캐나다,2020-04-22,36822.0,1687.0,1.09,0.101,,,,74.54,7.37,38454328
캐나다,2020-04-23,38412.0,1831.0,1.07,0.0924,,,,74.54,7.37,38454328
캐나다,2020-04-24,40179.0,1971.0,1.05,0.082,,,,74.54,7.37,38454328
캐나다,2020-04-25,42099.0,2143.0,1.04,0.0745,,,,74.54,7.37,38454328
캐나다,2020-04-26,43877.0,2299.0,1.02,0.0668,,,,74.54,7.37,38454328
캐나다,2020-04-27,45341.0,2461.0,1.01,0.0648,,,,74.54,7.37,38454328
캐나다,2020-04-28,46884.0,2555.0,1.0,0.0624,,,,74.54,7.37,38454328
캐나다,2020-04-29,48489.0,2701.0,0.99,0.0607,,,,74.54,7.37,38454328
캐나다,2020-04-30,50015.0,2853.0,0.98,0.0586,,,,74.54,7.37,38454328
캐나다,2020-05-01,51587.0,2990.0,0.97,0.0577,,,,74.54,7.37,38454328
캐나다,2020-05-02,53225.0,3176.0,0.96,0.055,,,,74.54,7.37,38454328
캐나다,2020-05-03,55050.0,3382.0,0.95,0.0538,,,,74.54,7.37,38454328
캐나다,2020-05-04,56703.0,3556.0,0.94,0.0508,,,,74.54,7.37,38454328
캐나다,2020-05-05,59463.0,3671.0,0.93,0.0498,,,,74.54,7.37,38454328
캐나다,2020-05-06,60761.0,3843.0,0.92,0.0494,,,,74.54,7.37,38454328
캐나다,2020-05-07,62035.0,4031.0,0.91,0.0476,,,,74.54,7.37,38454328
캐나다,2020-05-08,63484.0,4220.0,0.9,0.0445,,,,74.54,7.37,38454328
캐나다,2020-05-09,64910.0,4395.0,0.9,0.0436,,,,74.54,7.37,38454328
캐나다,2020-05-10,66422.0,4556.0,0.89,0.0418,,,,74.54,7.37,38454328
캐나다,2020-05-11,67690.0,4679.0,0.89,0.0402,,,,72.69,7.37,38454328
캐나다,2020-05-12,68836.0,4857.0,0.89,0.039,,,,72.69,7.37,38454328
캐나다,2020-05-13,69969.0,4979.0,0.89,0.0373,,,,72.69,7.37,38454328
캐나다,2020-05-14,71144.0,5155.0,0.89,0.036,,,,72.69,7.37,38454328
캐나다,2020-05-15,72265.0,5288.0,0.89,0.0357,,,,72.69,7.37,38454328
캐나다,2020-05-16,73476.0,5456.0,0.9,0.0351,,,,72.69,7.37,38454328
캐나다,2020-05-17,74602.0,5546.0,0.89,0.0356,,,,72.69,7.37,38454328
캐나다,2020-05-18,75853.0,5663.0,0.89,0.0357,,,,72.69,7.37,38454328
캐나다,2020-05-19,76991.0,5766.0,0.88,0.0358,,,,72.69,7.37,38454328
캐나다,2020-05-20,78061.0,5826.0,0.88,0.0368,,,,72.69,7.37,38454328
캐나다,2020-05-21,79101.0,5895.0,0.87,0.0386,,,,72.69,7.37,38454328
캐나다,2020-05-22,80112.0,6013.0,0.86,0.039,,,,72.69,7.37,38454328
캐나다,2020-05-23,81313.0,6135.0,0.86,0.0391,,,,72.69,7.37,38454328
캐나다,2020-05-24,82469.0,6232.0,0.85,0.0391,,,,70.83,7.37,38454328
캐나다,2020-05-25,83610.0,6335.0,0.84,0.0392,,,,70.83,7.37,38454328
캐나다,2020-05-26,84688.0,6404.0,0.83,0.0376,,,,70.83,7.37,38454328
캐나다,2020-05-27,85700.0,6525.0,0.83,0.0348,,,,70.83,7.37,38454328
캐나다,2020-05-28,86636.0,6619.0,0.82,0.0312,,,,70.83,7.37,38454328
캐나다,2020-05-29,87508.0,6745.0,0.82,0.0296,,,,70.83,7.37,38454328
캐나다,2020-05-30,88501.0,6857.0,0.81,0.0277,,,,70.83,7.37,38454328
캐나다,2020-05-31,89407.0,6959.0,0.8,0.0255,,,,70.83,7.37,38454328
캐나다,2020-06-01,90179.0,7053.0,0.79,0.024,,,,70.83,7.37,38454328
캐나다,2020-06-02,90936.0,7275.0,0.78,0.0229,,,,70.83,7.37,38454328
캐나다,2020-06-03,91694.0,7306.0,0.77,0.0215,,,,70.83,7.37,38454328
캐나다,2020-06-04,92399.0,7375.0,0.76,0.0205,,,,70.83,7.37,38454328
캐나다,2020-06-05,93074.0,7478.0,0.75,0.0182,,,,70.83,7.37,38454328
캐나다,2020-06-06,93715.0,7617.0,0.75,0.0171,,,,70.83,7.37,38454328
캐나다,2020-06-07,94324.0,7683.0,0.75,0.0158,,,,70.83,7.37,38454328
캐나다,2020-06-08,95046.0,7750.0,0.74,0.0145,,,,70.83,7.37,38454328
캐나다,2020-06-09,95688.0,7776.0,0.74,0.0138,,,,70.83,7.37,38454328
