location,date,total_cases,total_deaths,reproduction_rate,positive_rate,total_vaccinations,people_vaccinated,people_fully_vaccinated,stringency_index,diabetes_prevalence,population
코소보,2020-01-03,,,,,,,,0.0,,1782115
코소보,2020-01-04,,,,,,,,0.0,,1782115
코소보,2020-01-05,,,,,,,,0.0,,1782115
코소보,2020-01-06,,,,,,,,0.0,,1782115
코소보,2020-01-07,,,,,,,,0.0,,1782115
코소보,2020-01-08,,,,,,,,0.0,,1782115
코소보,2020-01-09,,,,,,,,0.0,,1782115
코소보,2020-01-10,,,,,,,,0.0,,1782115
코소보,2020-01-11,,,,,,,,0.0,,1782115
코소보,2020-01-12,,,,,,,,0.0,,1782115
코소보,2020-01-13,,,,,,,,0.0,,1782115
코소보,2020-01-14,,,,,,,,0.0,,1782115
코소보,2020-01-15,,,,,,,,0.0,,1782115
코소보,2020-01-16,,,,,,,,0.0,,1782115
코소보,2020-01-17,,,,,,,,0.0,,1782115
코소보,2020-01-18,,,,,,,,0.0,,1782115
코소보,2020-01-19,,,,,,,,0.0,,1782115
코소보,2020-01-20,,,,,,,,0.0,,1782115
코소보,2020-01-21,,,,,,,,0.0,,1782115
코소보,2020-01-22,,,,,,,,0.0,,1782115
코소보,2020-01-23,,,,,,,,0.0,,1782115
코소보,2020-01-24,,,,,,,,0.0,,1782115
코소보,2020-01-25,,,,,,,,0.0,,1782115
코소보,2020-01-26,,,,,,,,0.0,,1782115
코소보,2020-01-27,,,,,,,,0.0,,1782115
코소보,2020-01-28,,,,,,,,0.0,,1782115
코소보,2020-01-29,,,,,,,,0.0,,1782115
코소보,2020-01-30,,,,,,,,0.0,,1782115
코소보,2020-01-31,,,,,,,,0.0,,1782115
코소보,2020-02-01,,,,,,,,0.0,,1782115
코소보,2020-02-02,,,,,,,,0.0,,1782115
코소보,2020-02-03,,,,,,,,0.0,,1782115
코소보,2020-02-04,,,,,,,,0.0,,1782115
코소보,2020-02-05,,,,,,,,0.0,,1782115
코소보,2020-02-06,,,,,,,,0.0,,1782115
코소보,2020-02-07,,,,,,,,0.0,,1782115
코소보,2020-02-08,,,,,,,,0.0,,1782115
코소보,2020-02-09,,,,,,,,0.0,,1782115
코소보,2020-02-10,,,,,,,,0.0,,1782115
코소보,2020-02-11,,,,,,,,0.0,,1782115
코소보,2020-02-12,,,,,,,,0.0,,1782115
코소보,2020-02-13,,,,,,,,0.0,,1782115
코소보,2020-02-14,,,,,,,,0.0,,1782115
코소보,2020-02-15,,,,,,,,0.0,,1782115
코소보,2020-02-16,,,,,,,,0.0,,1782115
코소보,2020-02-17,,,,,,,,0.0,,1782115
코소보,2020-02-18,,,,,,,,0.0,,1782115
코소보,2020-02-19,,,,,,,,0.0,,1782115
코소보,2020-02-20,,,,,,,,0.0,,1782115
코소보,2020-02-21,,,,,,,,0.0,,1782115
코소보,2020-02-22,,,,,,,,0.0,,1782115
코소보,2020-02-23,,,,,,,,0.0,,1782115
코소보,2020-02-24,,,,,,,,0.0,,1782115
코소보,2020-02-25,,,,,,,,0.0,,1782115
코소보,2020-02-26,,,,,,,,0.0,,1782115
코소보,2020-02-27,,,,,,,,0.0,,1782115
코소보,2020-02-28,,,,,,,,0.0,,1782115
코소보,2020-02-29,,,,,,,,0.0,,1782115
코소보,2020-03-01,,,,,,,,0.0,,1782115
코소보,2020-03-02,,,,,,,,0.0,,1782115
코소보,2020-03-03,,,,,,,,0.0,,1782115
코소보,2020-03-04,,,,,,,,0.0,,1782115
코소보,2020-03-05,,,,,,,,0.0,,1782115
코소보,2020-03-06,,,,,,,,0.0,,1782115
코소보,2020-03-07,,,,,,,,0.0,,1782115
코소보,2020-03-08,,,,,,,,5.56,,1782115
코소보,2020-03-09,,,,,,,,5.56,,1782115
코소보,2020-03-10,,,,,,,,5.56,,1782115
코소보,2020-03-11,,,,,,,,25.0,,1782115
코소보,2020-03-12,,,,,,,,41.67,,1782115
코소보,2020-03-13,2.0,,,,,,,70.37,,1782115
코소보,2020-03-14,2.0,,,,,,,70.37,,1782115
코소보,2020-03-15,2.0,,,,,,,83.33,,1782115
코소보,2020-03-16,5.0,,,,,,,83.33,,1782115
코소보,2020-03-17,5.0,,,,,,,83.33,,1782115
코소보,2020-03-18,5.0,,,,,,,83.33,,1782115
코소보,2020-03-19,5.0,,,,,,,83.33,,1782115
코소보,2020-03-20,20.0,,,,,,,83.33,,1782115
코소보,2020-03-21,24.0,,,,,,,83.33,,1782115
코소보,2020-03-22,31.0,1.0,,,,,,83.33,,1782115
코소보,2020-03-23,35.0,1.0,,,,,,89.81,,1782115
코소보,2020-03-24,63.0,1.0,,,,,,92.59,,1782115
코소보,2020-03-25,71.0,1.0,,,,,,92.59,,1782115
코소보,2020-03-26,79.0,1.0,,,,,,92.59,,1782115
코소보,2020-03-27,88.0,1.0,,,,,,92.59,,1782115
코소보,2020-03-28,91.0,1.0,,,,,,92.59,,1782115
코소보,2020-03-29,91.0,1.0,,,,,,92.59,,1782115
코소보,2020-03-30,106.0,1.0,,,,,,92.59,,1782115
코소보,2020-03-31,112.0,1.0,,,,,,92.59,,1782115
코소보,2020-04-01,125.0,1.0,1.19,,,,,92.59,,1782115
코소보,2020-04-02,125.0,1.0,1.18,,,,,92.59,,1782115
코소보,2020-04-03,126.0,1.0,1.17,,,,,92.59,,1782115
코소보,2020-04-04,132.0,1.0,1.18,,,,,92.59,,1782115
코소보,2020-04-05,140.0,1.0,1.2,,,,,92.59,,1782115
코소보,2020-04-06,145.0,1.0,1.23,,,,,92.59,,1782115
코소보,2020-04-07,165.0,3.0,1.3,,,,,92.59,,1782115
코소보,2020-04-08,184.0,6.0,1.34,,,,,92.59,,1782115
