location,date,total_cases,total_deaths,reproduction_rate,positive_rate,total_vaccinations,people_vaccinated,people_fully_vaccinated,stringency_index,diabetes_prevalence,population
코스타리카,2020-01-03,,,,,,,,0.0,8.78,5180836
코스타리카,2020-01-04,,,,,,,,0.0,8.78,5180836
코스타리카,2020-01-05,,,,,,,,0.0,8.78,5180836
코스타리카,2020-01-06,,,,,,,,0.0,8.78,5180836
코스타리카,2020-01-07,,,,,,,,0.0,8.78,5180836
코스타리카,2020-01-08,,,,,,,,0.0,8.78,5180836
코스타리카,2020-01-09,,,,,,,,0.0,8.78,5180836
코스타리카,2020-01-10,,,,,,,,0.0,8.78,5180836
코스타리카,2020-01-11,,,,,,,,0.0,8.78,5180836
코스타리카,2020-01-12,,,,,,,,0.0,8.78,5180836
코스타리카,2020-01-13,,,,,,,,0.0,8.78,5180836
코스타리카,2020-01-14,,,,,,,,0.0,8.78,5180836
코스타리카,2020-01-15,,,,,,,,0.0,8.78,5180836
코스타리카,2020-01-16,,,,,,,,0.0,8.78,5180836
코스타리카,2020-01-17,,,,,,,,0.0,8.78,5180836
코스타리카,2020-01-18,,,,,,,,0.0,8.78,5180836
코스타리카,2020-01-19,,,,,,,,0.0,8.78,5180836
코스타리카,2020-01-20,,,,,,,,0.0,8.78,5180836
코스타리카,2020-01-21,,,,,,,,0.0,8.78,5180836
코스타리카,2020-01-22,,,,,,,,0.0,8.78,5180836
코스타리카,2020-01-23,,,,,,,,0.0,8.78,5180836
코스타리카,2020-01-24,,,,,,,,0.0,8.78,5180836
코스타리카,2020-01-25,,,,,,,,0.0,8.78,5180836
코스타리카,2020-01-26,,,,,,,,0.0,8.78,5180836
코스타리카,2020-01-27,,,,,,,,0.0,8.78,5180836
코스타리카,2020-01-28,,,,,,,,0.0,8.78,5180836
코스타리카,2020-01-29,,,,,,,,0.0,8.78,5180836
코스타리카,2020-01-30,,,,,,,,0.0,8.78,5180836
코스타리카,2020-01-31,,,,,,,,0.0,8.78,5180836
코스타리카,2020-02-01,,,,,,,,0.0,8.78,5180836
코스타리카,2020-02-02,,,,,,,,0.0,8.78,5180836
코스타리카,2020-02-03,,,,,,,,11.11,8.78,5180836
코스타리카,2020-02-04,,,,,,,,11.11,8.78,5180836
코스타리카,2020-02-05,,,,,,,,11.11,8.78,5180836
코스타리카,2020-02-06,,,,,,,,11.11,8.78,5180836
코스타리카,2020-02-07,,,,,,,,11.11,8.78,5180836
코스타리카,2020-02-08,,,,,,,,11.11,8.78,5180836
코스타리카,2020-02-09,,,,,,,,11.11,8.78,5180836
코스타리카,2020-02-10,,,,,,,,11.11,8.78,5180836
코스타리카,2020-02-11,,,,,,,,11.11,8.78,5180836
코스타리카,2020-02-12,,,,,,,,11.11,8.78,5180836
코스타리카,2020-02-13,,,,,,,,11.11,8.78,5180836
코스타리카,2020-02-14,,,,,,,,11.11,8.78,5180836
코스타리카,2020-02-15,,,,,,,,11.11,8.78,5180836
코스타리카,2020-02-16,,,,,,,,11.11,8.78,5180836
코스타리카,2020-02-17,,,,,,,,11.11,8.78,5180836
코스타리카,2020-02-18,,,,,,,,11.11,8.78,5180836
코스타리카,2020-02-19,,,,,,,,11.11,8.78,5180836
코스타리카,2020-02-20,,,,,,,,11.11,8.78,5180836
코스타리카,2020-02-21,,,,,,,,11.11,8.78,5180836
코스타리카,2020-02-22,,,,,,,,11.11,8.78,5180836
코스타리카,2020-02-23,,,,,,,,11.11,8.78,5180836
코스타리카,2020-02-24,,,,,,,,11.11,8.78,5180836
코스타리카,2020-02-25,,,,,,,,11.11,8.78,5180836
코스타리카,2020-02-26,,,,,,,,11.11,8.78,5180836
코스타리카,2020-02-27,,,,,,,,11.11,8.78,5180836
코스타리카,2020-02-28,,,,,,,,11.11,8.78,5180836
코스타리카,2020-02-29,,,,,,,,11.11,8.78,5180836
코스타리카,2020-03-01,,,,,,,,11.11,8.78,5180836
코스타리카,2020-03-02,,,,,,,,11.11,8.78,5180836
코스타리카,2020-03-03,,,,,,,,11.11,8.78,5180836
코스타리카,2020-03-04,,,,,,,,11.11,8.78,5180836
코스타리카,2020-03-05,,,,,,,,11.11,8.78,5180836
코스타리카,2020-03-06,,,,,,,,11.11,8.78,5180836
코스타리카,2020-03-07,,,,,,,,11.11,8.78,5180836
코스타리카,2020-03-08,2.0,,,,,,,11.11,8.78,5180836
코스타리카,2020-03-09,7.0,,,,,,,11.11,8.78,5180836
코스타리카,2020-03-10,10.0,,,,,,,29.63,8.78,5180836
코스타리카,2020-03-11,12.0,,,,,,,29.63,8.78,5180836
코스타리카,2020-03-12,13.0,,,0.207,,,,37.04,8.78,5180836
코스타리카,2020-03-13,22.0,,,0.123,,,,37.04,8.78,5180836
코스타리카,2020-03-14,23.0,,,0.063,,,,37.04,8.78,5180836
코스타리카,2020-03-15,26.0,,,0.07,,,,37.04,8.78,5180836
코스타리카,2020-03-16,27.0,,,0.055,,,,37.04,8.78,5180836
코스타리카,2020-03-17,35.0,,,0.058,,,,62.96,8.78,5180836
코스타리카,2020-03-18,41.0,,,0.06,,,,62.96,8.78,5180836
코스타리카,2020-03-19,50.0,,,0.079,,,,62.96,8.78,5180836
코스타리카,2020-03-20,69.0,,,0.103,,,,62.96,8.78,5180836
코스타리카,2020-03-21,87.0,1.0,,0.104,,,,71.3,8.78,5180836
코스타리카,2020-03-22,113.0,2.0,1.13,0.094,,,,71.3,8.78,5180836
코스타리카,2020-03-23,117.0,2.0,1.12,0.113,,,,71.3,8.78,5180836
코스타리카,2020-03-24,134.0,2.0,1.11,0.117,,,,71.3,8.78,5180836
코스타리카,2020-03-25,158.0,2.0,1.1,0.137,,,,71.3,8.78,5180836
코스타리카,2020-03-26,177.0,2.0,1.1,0.094,,,,71.3,8.78,5180836
코스타리카,2020-03-27,201.0,2.0,1.09,0.079,,,,71.3,8.78,5180836
코스타리카,2020-03-28,231.0,2.0,1.07,0.094,,,,71.3,8.78,5180836
코스타리카,2020-03-29,263.0,2.0,1.06,0.095,,,,71.3,8.78,5180836
코스타리카,2020-03-30,295.0,2.0,1.05,0.086,,,,71.3,8.78,5180836
코스타리카,2020-03-31,314.0,2.0,1.03,0.085,,,,71.3,8.78,5180836
코스타리카,2020-04-01,330.0,2.0,1.02,0.075,,,,75.0,8.78,5180836
코스타리카,2020-04-02,347.0,2.0,1.01,0.092,,,,75.0,8.78,5180836
