location,date,total_cases,total_deaths,reproduction_rate,positive_rate,total_vaccinations,people_vaccinated,people_fully_vaccinated,stringency_index,diabetes_prevalence,population
키르기스스탄,2020-01-03,,,,,,,,0.0,7.11,6630621
키르기스스탄,2020-01-04,,,,,,,,0.0,7.11,6630621
키르기스스탄,2020-01-05,,,,,,,,0.0,7.11,6630621
키르기스스탄,2020-01-06,,,,,,,,0.0,7.11,6630621
키르기스스탄,2020-01-07,,,,,,,,0.0,7.11,6630621
키르기스스탄,2020-01-08,,,,,,,,0.0,7.11,6630621
키르기스스탄,2020-01-09,,,,,,,,0.0,7.11,6630621
키르기스스탄,2020-01-10,,,,,,,,0.0,7.11,6630621
키르기스스탄,2020-01-11,,,,,,,,0.0,7.11,6630621
키르기스스탄,2020-01-12,,,,,,,,0.0,7.11,6630621
키르기스스탄,2020-01-13,,,,,,,,0.0,7.11,6630621
키르기스스탄,2020-01-14,,,,,,,,0.0,7.11,6630621
키르기스스탄,2020-01-15,,,,,,,,0.0,7.11,6630621
키르기스스탄,2020-01-16,,,,,,,,0.0,7.11,6630621
키르기스스탄,2020-01-17,,,,,,,,0.0,7.11,6630621
키르기스스탄,2020-01-18,,,,,,,,0.0,7.11,6630621
키르기스스탄,2020-01-19,,,,,,,,0.0,7.11,6630621
키르기스스탄,2020-01-20,,,,,,,,0.0,7.11,6630621
키르기스스탄,2020-01-21,,,,,,,,0.0,7.11,6630621
키르기스스탄,2020-01-22,,,,,,,,2.78,7.11,6630621
키르기스스탄,2020-01-23,,,,,,,,2.78,7.11,6630621
키르기스스탄,2020-01-24,,,,,,,,2.78,7.11,6630621
키르기스스탄,2020-01-25,,,,,,,,2.78,7.11,6630621
키르기스스탄,2020-01-26,,,,,,,,2.78,7.11,6630621
키르기스스탄,2020-01-27,,,,,,,,2.78,7.11,6630621
키르기스스탄,2020-01-28,,,,,,,,11.11,7.11,6630621
키르기스스탄,2020-01-29,,,,,,,,11.11,7.11,6630621
키르기스스탄,2020-01-30,,,,,,,,11.11,7.11,6630621
키르기스스탄,2020-01-31,,,,,,,,11.11,7.11,6630621
키르기스스탄,2020-02-01,,,,,,,,13.89,7.11,6630621
키르기스스탄,2020-02-02,,,,,,,,13.89,7.11,6630621
키르기스스탄,2020-02-03,,,,,,,,13.89,7.11,6630621
키르기스스탄,2020-02-04,,,,,,,,13.89,7.11,6630621
키르기스스탄,2020-02-05,,,,,,,,13.89,7.11,6630621
키르기스스탄,2020-02-06,,,,,,,,13.89,7.11,6630621
키르기스스탄,2020-02-07,,,,,,,,13.89,7.11,6630621
키르기스스탄,2020-02-08,,,,,,,,13.89,7.11,6630621
키르기스스탄,2020-02-09,,,,,,,,13.89,7.11,6630621
키르기스스탄,2020-02-10,,,,,,,,13.89,7.11,6630621
키르기스스탄,2020-02-11,,,,,,,,13.89,7.11,6630621
키르기스스탄,2020-02-12,,,,,,,,13.89,7.11,6630621
키르기스스탄,2020-02-13,,,,,,,,13.89,7.11,6630621
키르기스스탄,2020-02-14,,,,,,,,13.89,7.11,6630621
키르기스스탄,2020-02-15,,,,,,,,13.89,7.11,6630621
키르기스스탄,2020-02-16,,,,,,,,13.89,7.11,6630621
키르기스스탄,2020-02-17,,,,,,,,13.89,7.11,6630621
키르기스스탄,2020-02-18,,,,,,,,13.89,7.11,6630621
키르기스스탄,2020-02-19,,,,,,,,13.89,7.11,6630621
키르기스스탄,2020-02-20,,,,,,,,13.89,7.11,6630621
키르기스스탄,2020-02-21,,,,,,,,13.89,7.11,6630621
키르기스스탄,2020-02-22,,,,,,,,13.89,7.11,6630621
키르기스스탄,2020-02-23,,,,,,,,13.89,7.11,6630621
키르기스스탄,2020-02-24,,,,,,,,13.89,7.11,6630621
키르기스스탄,2020-02-25,,,,,,,,13.89,7.11,6630621
키르기스스탄,2020-02-26,,,,,,,,13.89,7.11,6630621
키르기스스탄,2020-02-27,,,,,,,,19.44,7.11,6630621
키르기스스탄,2020-02-28,,,,,,,,19.44,7.11,6630621
키르기스스탄,2020-02-29,,,,,,,,19.44,7.11,6630621
키르기스스탄,2020-03-01,,,,,,,,22.22,7.11,6630621
키르기스스탄,2020-03-02,,,,,,,,22.22,7.11,6630621
키르기스스탄,2020-03-03,,,,,,,,22.22,7.11,6630621
키르기스스탄,2020-03-04,,,,,,,,22.22,7.11,6630621
키르기스스탄,2020-03-05,,,,,,,,22.22,7.11,6630621
키르기스스탄,2020-03-06,,,,,,,,22.22,7.11,6630621
키르기스스탄,2020-03-07,,,,,,,,22.22,7.11,6630621
키르기스스탄,2020-03-08,,,,,,,,22.22,7.11,6630621
키르기스스탄,2020-03-09,,,,,,,,22.22,7.11,6630621
키르기스스탄,2020-03-10,,,,,,,,22.22,7.11,6630621
키르기스스탄,2020-03-11,,,,,,,,22.22,7.11,6630621
키르기스스탄,2020-03-12,,,,,,,,27.78,7.11,6630621
키르기스스탄,2020-03-13,,,,,,,,27.78,7.11,6630621
키르기스스탄,2020-03-14,,,,,,,,34.26,7.11,6630621
