location,date,total_cases,total_deaths,reproduction_rate,positive_rate,total_vaccinations,people_vaccinated,people_fully_vaccinated,stringency_index,diabetes_prevalence,population
키프로스,2020-01-03,,,,,,,,0.0,9.24,896007
키프로스,2020-01-04,,,,,,,,0.0,9.24,896007
키프로스,2020-01-05,,,,,,,,0.0,9.24,896007
키프로스,2020-01-06,,,,,,,,0.0,9.24,896007
키프로스,2020-01-07,,,,,,,,0.0,9.24,896007
키프로스,2020-01-08,,,,,,,,0.0,9.24,896007
키프로스,2020-01-09,,,,,,,,0.0,9.24,896007
키프로스,2020-01-10,,,,,,,,0.0,9.24,896007
키프로스,2020-01-11,,,,,,,,0.0,9.24,896007
키프로스,2020-01-12,,,,,,,,0.0,9.24,896007
키프로스,2020-01-13,,,,,,,,0.0,9.24,896007
키프로스,2020-01-14,,,,,,,,0.0,9.24,896007
키프로스,2020-01-15,,,,,,,,0.0,9.24,896007
키프로스,2020-01-16,,,,,,,,0.0,9.24,896007
키프로스,2020-01-17,,,,,,,,0.0,9.24,896007
키프로스,2020-01-18,,,,,,,,0.0,9.24,896007
키프로스,2020-01-19,,,,,,,,0.0,9.24,896007
키프로스,2020-01-20,,,,,,,,0.0,9.24,896007
키프로스,2020-01-21,,,,,,,,0.0,9.24,896007
키프로스,2020-01-22,,,,,,,,0.0,9.24,896007
키프로스,2020-01-23,,,,,,,,0.0,9.24,896007
키프로스,2020-01-24,,,,,,,,0.0,9.24,896007
키프로스,2020-01-25,,,,,,,,0.0,9.24,896007
키프로스,2020-01-26,,,,,,,,0.0,9.24,896007
키프로스,2020-01-27,,,,,,,,0.0,9.24,896007
키프로스,2020-01-28,,,,,,,,0.0,9.24,896007
키프로스,2020-01-29,,,,,,,,0.0,9.24,896007
키프로스,2020-01-30,,,,,,,,0.0,9.24,896007
키프로스,2020-01-31,,,,,,,,0.0,9.24,896007
키프로스,2020-02-01,,,,,,,,0.0,9.24,896007
키프로스,2020-02-02,,,,,,,,0.0,9.24,896007
키프로스,2020-02-03,,,,,,,,0.0,9.24,896007
키프로스,2020-02-04,,,,,,,,0.0,9.24,896007
키프로스,2020-02-05,,,,,,,,0.0,9.24,896007
키프로스,2020-02-06,,,,,,,,0.0,9.24,896007
키프로스,2020-02-07,,,,,,,,0.0,9.24,896007
키프로스,2020-02-08,,,,,,,,0.0,9.24,896007
키프로스,2020-02-09,,,,,,,,0.0,9.24,896007
키프로스,2020-02-10,,,,,,,,0.0,9.24,896007
키프로스,2020-02-11,,,,,,,,0.0,9.24,896007
키프로스,2020-02-12,,,,,,,,0.0,9.24,896007
키프로스,2020-02-13,,,,,,,,0.0,9.24,896007
키프로스,2020-02-14,,,,,,,,0.0,9.24,896007
키프로스,2020-02-15,,,,,,,,0.0,9.24,896007
키프로스,2020-02-16,,,,,,,,0.0,9.24,896007
키프로스,2020-02-17,,,,,,,,0.0,9.24,896007
키프로스,2020-02-18,,,,,,,,0.0,9.24,896007
키프로스,2020-02-19,,,,,,,,0.0,9.24,896007
키프로스,2020-02-20,,,,,,,,0.0,9.24,896007
키프로스,2020-02-21,,,,,,,,0.0,9.24,896007
키프로스,2020-02-22,,,,,,,,0.0,9.24,896007
키프로스,2020-02-23,,,,,,,,0.0,9.24,896007
키프로스,2020-02-24,,,,,,,,0.0,9.24,896007
키프로스,2020-02-25,,,,,,,,0.0,9.24,896007
키프로스,2020-02-26,,,,,,,,0.0,9.24,896007
키프로스,2020-02-27,,,,,,,,0.0,9.24,896007
키프로스,2020-02-28,,,,,,,,0.0,9.24,896007
키프로스,2020-02-29,,,,,,,,0.0,9.24,896007
키프로스,2020-03-01,,,,,,,,0.0,9.24,896007
키프로스,2020-03-02,,,,,,,,0.0,9.24,896007
키프로스,2020-03-03,,,,,,,,0.0,9.24,896007
키프로스,2020-03-04,,,,,,,,0.0,9.24,896007
키프로스,2020-03-05,,,,,,,,11.11,9.24,896007
키프로스,2020-03-06,,,,,,,,11.11,9.24,896007
키프로스,2020-03-07,,,,,,,,11.11,9.24,896007
키프로스,2020-03-08,,,,,,,,11.11,9.24,896007
키프로스,2020-03-09,,,,,,,,11.11,9.24,896007
키프로스,2020-03-10,2.0,,,,,,,22.22,9.24,896007
키프로스,2020-03-11,2.0,,,,,,,22.22,9.24,896007
키프로스,2020-03-12,6.0,,,,,,,22.22,9.24,896007
키프로스,2020-03-13,6.0,,,,,,,38.89,9.24,896007
키프로스,2020-03-14,14.0,,,,,,,38.89,9.24,896007
키프로스,2020-03-15,21.0,,,,,,,44.44,9.24,896007
키프로스,2020-03-16,30.0,,,,,,,51.85,9.24,896007
키프로스,2020-03-17,40.0,,,,,,,51.85,9.24,896007
키프로스,2020-03-18,40.0,,,,,,,51.85,9.24,896007
키프로스,2020-03-19,58.0,,,,,,,51.85,9.24,896007
키프로스,2020-03-20,58.0,,,,,,,51.85,9.24,896007
키프로스,2020-03-21,67.0,,,,,,,51.85,9.24,896007
키프로스,2020-03-22,84.0,,,,,,,51.85,9.24,896007
키프로스,2020-03-23,95.0,,,,,,,62.96,9.24,896007
키프로스,2020-03-24,116.0,,,,,,,92.59,9.24,896007
키프로스,2020-03-25,124.0,3.0,1.18,,,,,92.59,9.24,896007
키프로스,2020-03-26,132.0,3.0,1.18,,,,,92.59,9.24,896007
키프로스,2020-03-27,146.0,3.0,1.19,,,,,92.59,9.24,896007
키프로스,2020-03-28,162.0,5.0,1.21,,,,,92.59,9.24,896007
키프로스,2020-03-29,179.0,5.0,1.23,,,,,92.59,9.24,896007
키프로스,2020-03-30,214.0,6.0,1.24,,,,,92.59,9.24,896007
키프로스,2020-03-31,230.0,7.0,1.24,,,,,92.59,9.24,896007
키프로스,2020-04-01,262.0,8.0,1.25,,,,,92.59,9.24,896007
키프로스,2020-04-02,320.0,9.0,1.24,,,,,92.59,9.24,896007
키프로스,2020-04-03,356.0,9.0,1.22,,,,,92.59,9.24,896007
키프로스,2020-04-04,396.0,9.0,1.18,0.0553,,,,92.59,9.24,896007
키프로스,2020-04-05,426.0,9.0,1.15,0.055,,,,92.59,9.24,896007
키프로스,2020-04-06,446.0,9.0,1.11,0.0482,,,,92.59,9.24,896007
키프로스,2020-04-07,465.0,9.0,1.08,0.0419,,,,92.59,9.24,896007
키프로스,2020-04-08,494.0,9.0,1.06,0.0381,,,,92.59,9.24,896007
키프로스,2020-04-09,526.0,9.0,1.03,0.0308,,,,92.59,9.24,896007
키프로스,2020-04-10,564.0,10.0,1.01,0.0304,,,,92.59,9.24,896007
키프로스,2020-04-11,595.0,10.0,0.98,0.0286,,,,92.59,9.24,896007
키프로스,2020-04-12,616.0,10.0,0.95,0.0272,,,,92.59,9.24,896007
키프로스,2020-04-13,633.0,11.0,0.92,0.0262,,,,92.59,9.24,896007
키프로스,2020-04-14,662.0,12.0,0.89,0.0263,,,,92.59,9.24,896007
키프로스,2020-04-15,695.0,12.0,0.86,0.0235,,,,92.59,9.24,896007
키프로스,2020-04-16,715.0,12.0,0.83,0.0184,,,,94.44,9.24,896007
키프로스,2020-04-17,735.0,12.0,0.8,0.0135,,,,94.44,9.24,896007
키프로스,2020-04-18,735.0,12.0,0.77,0.0093,,,,94.44,9.24,896007
키프로스,2020-04-19,761.0,12.0,0.75,0.009,,,,94.44,9.24,896007
키프로스,2020-04-20,767.0,12.0,0.72,0.008,,,,94.44,9.24,896007
키프로스,2020-04-21,772.0,12.0,0.7,0.0067,,,,94.44,9.24,896007
