location,date,total_cases,total_deaths,reproduction_rate,positive_rate,total_vaccinations,people_vaccinated,people_fully_vaccinated,stringency_index,diabetes_prevalence,population
태국,2020-01-03,,,,,,,,0.0,7.04,71697024
태국,2020-01-04,,,,,,,,0.0,7.04,71697024
태국,2020-01-05,,,,,,,,0.0,7.04,71697024
태국,2020-01-06,,,,,,,,0.0,7.04,71697024
태국,2020-01-07,,,,,,,,0.0,7.04,71697024
태국,2020-01-08,,,,,,,,0.0,7.04,71697024
태국,2020-01-09,,,,,,,,0.0,7.04,71697024
태국,2020-01-10,,,,,,,,0.0,7.04,71697024
태국,2020-01-11,,,,,,,,0.0,7.04,71697024
태국,2020-01-12,,,,,,,,0.0,7.04,71697024
태국,2020-01-13,1.0,,,,,,,0.0,7.04,71697024
태국,2020-01-14,5.0,,,,,,,0.0,7.04,71697024
태국,2020-01-15,5.0,,,,,,,0.0,7.04,71697024
태국,2020-01-16,5.0,,,,,,,0.0,7.04,71697024
태국,2020-01-17,2.0,,,,,,,0.0,7.04,71697024
태국,2020-01-18,6.0,,,,,,,0.0,7.04,71697024
태국,2020-01-19,6.0,,,,,,,0.0,7.04,71697024
태국,2020-01-20,6.0,,,,,,,0.0,7.04,71697024
태국,2020-01-21,6.0,,,,,,,0.0,7.04,71697024
태국,2020-01-22,7.0,,,,,,,0.0,7.04,71697024
태국,2020-01-23,4.0,,,,,,,0.0,7.04,71697024
태국,2020-01-24,8.0,,,,,,,0.0,7.04,71697024
태국,2020-01-25,8.0,,,,,,,0.0,7.04,71697024
태국,2020-01-26,5.0,,,,,,,0.0,7.04,71697024
태국,2020-01-27,12.0,,,,,,,0.0,7.04,71697024
태국,2020-01-28,14.0,,,0.0366,,,,0.0,7.04,71697024
태국,2020-01-29,18.0,,,0.0265,,,,0.0,7.04,71697024
태국,2020-01-30,18.0,,,0.0207,,,,0.0,7.04,71697024
태국,2020-01-31,23.0,,,0.023,,,,0.0,7.04,71697024
태국,2020-02-01,19.0,,,0.0161,,,,0.0,7.04,71697024
태국,2020-02-02,23.0,,,0.0123,,,,0.0,7.04,71697024
태국,2020-02-03,23.0,,,0.0114,,,,0.0,7.04,71697024
태국,2020-02-04,29.0,,,0.0098,,,,0.0,7.04,71697024
태국,2020-02-05,25.0,,,0.0078,,,,0.0,7.04,71697024
태국,2020-02-06,29.0,,,0.0074,,,,0.0,7.04,71697024
태국,2020-02-07,29.0,,,0.004,,,,0.0,7.04,71697024
태국,2020-02-08,32.0,,,0.0095,,,,0.0,7.04,71697024
태국,2020-02-09,29.0,,,0.0102,,,,0.0,7.04,71697024
태국,2020-02-10,29.0,,,0.0109,,,,0.0,7.04,71697024
태국,2020-02-11,33.0,,,0.0078,,,,0.0,7.04,71697024
태국,2020-02-12,37.0,,,0.0106,,,,0.0,7.04,71697024
태국,2020-02-13,37.0,,,0.013,,,,0.0,7.04,71697024
태국,2020-02-14,37.0,,,0.0154,,,,0.0,7.04,71697024
태국,2020-02-15,34.0,,,0.004,,,,0.0,7.04,71697024
태국,2020-02-16,38.0,,,0.0043,,,,0.0,7.04,71697024
태국,2020-02-17,35.0,,,0.0056,,,,0.0,7.04,71697024
태국,2020-02-18,39.0,,,0.0033,,,,0.0,7.04,71697024
태국,2020-02-19,39.0,,,0.003,,,,0.0,7.04,71697024
태국,2020-02-20,39.0,,,0.0025,,,,0.0,7.04,71697024
태국,2020-02-21,39.0,,,0.0022,,,,0.0,7.04,71697024
태국,2020-02-22,39.0,,,0.001,,,,0.0,7.04,71697024
태국,2020-02-23,39.0,,,0.0008,,,,0.0,7.04,71697024
태국,2020-02-24,39.0,,,0.0,,,,0.0,7.04,71697024
태국,2020-02-25,37.0,,,0.0011,,,,0.0,7.04,71697024
태국,2020-02-26,40.0,,,0.0021,,,,0.0,7.04,71697024
태국,2020-02-27,44.0,,,0.0014,,,,0.0,7.04,71697024
태국,2020-02-28,41.0,,,0.0013,,,,0.0,7.04,71697024
태국,2020-02-29,42.0,,,0.0014,,,,0.0,7.04,71697024
태국,2020-03-01,46.0,1.0,,0.0013,,,,0.0,7.04,71697024
태국,2020-03-02,43.0,1.0,,0.0014,,,,0.0,7.04,71697024
태국,2020-03-03,47.0,1.0,,0.001,,,,0.0,7.04,71697024
태국,2020-03-04,47.0,1.0,,0.0005,,,,0.0,7.04,71697024
태국,2020-03-05,47.0,1.0,,0.0013,,,,0.0,7.04,71697024
태국,2020-03-06,48.0,1.0,,0.0015,,,,16.67,7.04,71697024
태국,2020-03-07,50.0,1.0,,0.0017,,,,16.67,7.04,71697024
태국,2020-03-08,54.0,1.0,,0.0017,,,,16.67,7.04,71697024
태국,2020-03-09,54.0,1.0,,0.0015,,,,16.67,7.04,71697024
태국,2020-03-10,53.0,1.0,,0.0022,,,,25.0,7.04,71697024
태국,2020-03-11,59.0,1.0,,0.0032,,,,25.0,7.04,71697024
태국,2020-03-12,70.0,1.0,,0.0047,,,,25.0,7.04,71697024
태국,2020-03-13,75.0,1.0,,0.0045,,,,25.0,7.04,71697024
태국,2020-03-14,82.0,1.0,,0.0048,,,,25.0,7.04,71697024
태국,2020-03-15,114.0,1.0,,0.0078,,,,26.85,7.04,71697024
태국,2020-03-16,147.0,1.0,1.95,0.0101,,,,33.8,7.04,71697024
태국,2020-03-17,177.0,1.0,1.94,0.0102,,,,39.35,7.04,71697024
태국,2020-03-18,212.0,1.0,1.93,0.0111,,,,48.61,7.04,71697024
태국,2020-03-19,272.0,1.0,1.93,0.0128,,,,48.61,7.04,71697024
태국,2020-03-20,322.0,1.0,1.91,0.015,,,,48.61,7.04,71697024
태국,2020-03-21,411.0,1.0,1.9,0.0196,,,,52.31,7.04,71697024
태국,2020-03-22,599.0,1.0,1.86,0.0289,,,,52.31,7.04,71697024
태국,2020-03-23,721.0,1.0,1.8,0.0339,,,,52.31,7.04,71697024
태국,2020-03-24,827.0,4.0,1.73,0.0402,,,,52.31,7.04,71697024
태국,2020-03-25,934.0,4.0,1.66,0.0441,,,,57.87,7.04,71697024
태국,2020-03-26,1045.0,4.0,1.59,0.0459,,,,68.06,7.04,71697024
태국,2020-03-27,1136.0,5.0,1.52,0.0448,,,,68.06,7.04,71697024
태국,2020-03-28,1245.0,6.0,1.46,0.0436,,,,68.06,7.04,71697024
태국,2020-03-29,1388.0,7.0,1.4,0.0407,,,,68.06,7.04,71697024
태국,2020-03-30,1524.0,9.0,1.35,0.0416,,,,68.06,7.04,71697024
태국,2020-03-31,1651.0,10.0,1.29,0.0425,,,,68.06,7.04,71697024
태국,2020-04-01,1771.0,12.0,1.23,0.0434,,,,68.06,7.04,71697024
태국,2020-04-02,1875.0,15.0,1.17,0.044,,,,68.06,7.04,71697024
태국,2020-04-03,1978.0,19.0,1.12,0.0462,,,,76.85,7.04,71697024
태국,2020-04-04,2067.0,20.0,1.06,0.0439,,,,76.85,7.04,71697024
태국,2020-04-05,2169.0,23.0,1.01,0.0391,,,,76.85,7.04,71697024
태국,2020-04-06,2220.0,26.0,0.96,0.0322,,,,76.85,7.04,71697024
태국,2020-04-07,2258.0,27.0,0.92,0.0255,,,,76.85,7.04,71697024
태국,2020-04-08,2369.0,30.0,0.89,0.024,,,,76.85,7.04,71697024
태국,2020-04-09,2423.0,32.0,0.85,0.0215,,,,76.85,7.04,71697024
태국,2020-04-10,2473.0,33.0,0.81,0.0187,,,,76.85,7.04,71697024
태국,2020-04-11,2518.0,35.0,0.78,0.0166,,,,76.85,7.04,71697024
태국,2020-04-12,2551.0,38.0,0.75,0.0145,,,,76.85,7.04,71697024
