location,date,total_cases,total_deaths,reproduction_rate,positive_rate,total_vaccinations,people_vaccinated,people_fully_vaccinated,stringency_index,diabetes_prevalence,population
토고,2020-01-03,,,,,,,,0.0,6.15,8848700
토고,2020-01-04,,,,,,,,0.0,6.15,8848700
토고,2020-01-05,,,,,,,,0.0,6.15,8848700
토고,2020-01-06,,,,,,,,0.0,6.15,8848700
토고,2020-01-07,,,,,,,,0.0,6.15,8848700
토고,2020-01-08,,,,,,,,0.0,6.15,8848700
토고,2020-01-09,,,,,,,,0.0,6.15,8848700
토고,2020-01-10,,,,,,,,0.0,6.15,8848700
토고,2020-01-11,,,,,,,,0.0,6.15,8848700
토고,2020-01-12,,,,,,,,0.0,6.15,8848700
토고,2020-01-13,,,,,,,,0.0,6.15,8848700
토고,2020-01-14,,,,,,,,0.0,6.15,8848700
토고,2020-01-15,,,,,,,,0.0,6.15,8848700
토고,2020-01-16,,,,,,,,0.0,6.15,8848700
토고,2020-01-17,,,,,,,,0.0,6.15,8848700
토고,2020-01-18,,,,,,,,0.0,6.15,8848700
토고,2020-01-19,,,,,,,,0.0,6.15,8848700
토고,2020-01-20,,,,,,,,0.0,6.15,8848700
토고,2020-01-21,,,,,,,,0.0,6.15,8848700
토고,2020-01-22,,,,,,,,0.0,6.15,8848700
토고,2020-01-23,,,,,,,,0.0,6.15,8848700
토고,2020-01-24,,,,,,,,0.0,6.15,8848700
토고,2020-01-25,,,,,,,,0.0,6.15,8848700
토고,2020-01-26,,,,,,,,0.0,6.15,8848700
토고,2020-01-27,,,,,,,,0.0,6.15,8848700
토고,2020-01-28,,,,,,,,0.0,6.15,8848700
토고,2020-01-29,,,,,,,,0.0,6.15,8848700
토고,2020-01-30,,,,,,,,0.0,6.15,8848700
토고,2020-01-31,,,,,,,,0.0,6.15,8848700
토고,2020-02-01,,,,,,,,0.0,6.15,8848700
토고,2020-02-02,,,,,,,,0.0,6.15,8848700
토고,2020-02-03,,,,,,,,0.0,6.15,8848700
토고,2020-02-04,,,,,,,,0.0,6.15,8848700
토고,2020-02-05,,,,,,,,0.0,6.15,8848700
토고,2020-02-06,,,,,,,,0.0,6.15,8848700
토고,2020-02-07,,,,,,,,0.0,6.15,8848700
토고,2020-02-08,,,,,,,,0.0,6.15,8848700
토고,2020-02-09,,,,,,,,0.0,6.15,8848700
토고,2020-02-10,,,,,,,,0.0,6.15,8848700
토고,2020-02-11,,,,,,,,0.0,6.15,8848700
토고,2020-02-12,,,,,,,,0.0,6.15,8848700
토고,2020-02-13,,,,,,,,0.0,6.15,8848700
토고,2020-02-14,,,,,,,,0.0,6.15,8848700
토고,2020-02-15,,,,,,,,0.0,6.15,8848700
토고,2020-02-16,,,,,,,,0.0,6.15,8848700
토고,2020-02-17,,,,,,,,0.0,6.15,8848700
토고,2020-02-18,,,,,,,,0.0,6.15,8848700
토고,2020-02-19,,,,,,,,0.0,6.15,8848700
토고,2020-02-20,,,,,,,,0.0,6.15,8848700
토고,2020-02-21,,,,,,,,0.0,6.15,8848700
토고,2020-02-22,,,,,,,,0.0,6.15,8848700
토고,2020-02-23,,,,,,,,0.0,6.15,8848700
토고,2020-02-24,,,,,,,,0.0,6.15,8848700
토고,2020-02-25,,,,,,,,0.0,6.15,8848700
토고,2020-02-26,,,,,,,,0.0,6.15,8848700
토고,2020-02-27,,,,,,,,0.0,6.15,8848700
토고,2020-02-28,,,,,,,,0.0,6.15,8848700
토고,2020-02-29,,,,,,,,0.0,6.15,8848700
토고,2020-03-01,,,,,,,,0.0,6.15,8848700
토고,2020-03-02,,,,,,,,0.0,6.15,8848700
토고,2020-03-03,,,,,,,,0.0,6.15,8848700
토고,2020-03-04,,,,,,,,0.0,6.15,8848700
토고,2020-03-05,,,,,,,,0.0,6.15,8848700
토고,2020-03-06,1.0,,,,,,,0.0,6.15,8848700
토고,2020-03-07,1.0,,,,,,,0.0,6.15,8848700
토고,2020-03-08,1.0,,,,,,,0.0,6.15,8848700
토고,2020-03-09,1.0,,,,,,,0.0,6.15,8848700
토고,2020-03-10,1.0,,,,,,,0.0,6.15,8848700
토고,2020-03-11,1.0,,,0.0715,,,,0.0,6.15,8848700
토고,2020-03-12,1.0,,,0.0715,,,,0.0,6.15,8848700
토고,2020-03-13,1.0,,,0.0,,,,0.0,6.15,8848700
토고,2020-03-14,1.0,,,0.0,,,,0.0,6.15,8848700
토고,2020-03-15,1.0,,,0.0,,,,0.0,6.15,8848700
토고,2020-03-16,1.0,,,0.0,,,,22.22,6.15,8848700
토고,2020-03-17,1.0,,,0.0,,,,22.22,6.15,8848700
토고,2020-03-18,1.0,,,0.0,,,,22.22,6.15,8848700
토고,2020-03-19,1.0,,,0.0,,,,27.78,6.15,8848700
토고,2020-03-20,9.0,,,0.0952,,,,61.11,6.15,8848700
토고,2020-03-21,9.0,,,0.1339,,,,69.44,6.15,8848700
토고,2020-03-22,15.0,,,0.1191,,,,69.44,6.15,8848700
토고,2020-03-23,15.0,,,0.1104,,,,69.44,6.15,8848700
토고,2020-03-24,17.0,,,0.1086,,,,69.44,6.15,8848700
토고,2020-03-25,19.0,,,0.1122,,,,69.44,6.15,8848700
토고,2020-03-26,21.0,,,0.1084,,,,69.44,6.15,8848700
토고,2020-03-27,23.0,,,0.0737,,,,69.44,6.15,8848700
토고,2020-03-28,25.0,1.0,,0.039,,,,69.44,6.15,8848700
토고,2020-03-29,28.0,1.0,,0.0338,,,,69.44,6.15,8848700
토고,2020-03-30,30.0,1.0,,0.039,,,,69.44,6.15,8848700
토고,2020-03-31,34.0,1.0,,0.0385,,,,69.44,6.15,8848700
토고,2020-04-01,34.0,2.0,,0.0338,,,,69.44,6.15,8848700
토고,2020-04-02,36.0,2.0,,0.0369,,,,73.15,6.15,8848700
토고,2020-04-03,39.0,3.0,,0.0214,,,,73.15,6.15,8848700
토고,2020-04-04,40.0,3.0,,0.0199,,,,73.15,6.15,8848700
토고,2020-04-05,41.0,3.0,,0.0206,,,,73.15,6.15,8848700
토고,2020-04-06,44.0,3.0,,0.028,,,,73.15,6.15,8848700
토고,2020-04-07,58.0,3.0,,0.0291,,,,73.15,6.15,8848700
토고,2020-04-08,65.0,3.0,,0.03,,,,73.15,6.15,8848700
토고,2020-04-09,70.0,3.0,,0.0291,,,,73.15,6.15,8848700
토고,2020-04-10,73.0,3.0,,0.0336,,,,73.15,6.15,8848700
토고,2020-04-11,73.0,3.0,,0.0323,,,,73.15,6.15,8848700
토고,2020-04-12,76.0,3.0,,0.0263,,,,73.15,6.15,8848700
토고,2020-04-13,76.0,3.0,,0.0149,,,,73.15,6.15,8848700
토고,2020-04-14,77.0,3.0,,0.0101,,,,73.15,6.15,8848700
토고,2020-04-15,77.0,3.0,,0.0085,,,,73.15,6.15,8848700
토고,2020-04-16,81.0,5.0,,0.0046,,,,73.15,6.15,8848700
토고,2020-04-17,83.0,5.0,,0.0038,,,,73.15,6.15,8848700
토고,2020-04-18,84.0,5.0,,0.0041,,,,73.15,6.15,8848700
토고,2020-04-19,84.0,5.0,,0.0045,,,,73.15,6.15,8848700
토고,2020-04-20,84.0,6.0,,0.0043,,,,73.15,6.15,8848700
토고,2020-04-21,86.0,6.0,,0.005,,,,73.15,6.15,8848700
토고,2020-04-22,88.0,6.0,,0.0041,,,,73.15,6.15,8848700
토고,2020-04-23,88.0,6.0,,0.005,,,,73.15,6.15,8848700
토고,2020-04-24,88.0,6.0,,0.0053,,,,73.15,6.15,8848700
토고,2020-04-25,90.0,6.0,,0.0086,,,,73.15,6.15,8848700
