location,date,total_cases,total_deaths,reproduction_rate,positive_rate,total_vaccinations,people_vaccinated,people_fully_vaccinated,stringency_index,diabetes_prevalence,population
투르크메니스탄,2020-01-03,,,,,,,,0.0,7.11,6430777
투르크메니스탄,2020-01-04,,,,,,,,0.0,7.11,6430777
투르크메니스탄,2020-01-05,,,,,,,,0.0,7.11,6430777
투르크메니스탄,2020-01-06,,,,,,,,0.0,7.11,6430777
투르크메니스탄,2020-01-07,,,,,,,,0.0,7.11,6430777
투르크메니스탄,2020-01-08,,,,,,,,2.78,7.11,6430777
투르크메니스탄,2020-01-09,,,,,,,,2.78,7.11,6430777
투르크메니스탄,2020-01-10,,,,,,,,2.78,7.11,6430777
투르크메니스탄,2020-01-11,,,,,,,,2.78,7.11,6430777
투르크메니스탄,2020-01-12,,,,,,,,2.78,7.11,6430777
투르크메니스탄,2020-01-13,,,,,,,,2.78,7.11,6430777
투르크메니스탄,2020-01-14,,,,,,,,2.78,7.11,6430777
투르크메니스탄,2020-01-15,,,,,,,,2.78,7.11,6430777
투르크메니스탄,2020-01-16,,,,,,,,2.78,7.11,6430777
투르크메니스탄,2020-01-17,,,,,,,,2.78,7.11,6430777
투르크메니스탄,2020-01-18,,,,,,,,2.78,7.11,6430777
투르크메니스탄,2020-01-19,,,,,,,,2.78,7.11,6430777
투르크메니스탄,2020-01-20,,,,,,,,8.33,7.11,6430777
투르크메니스탄,2020-01-21,,,,,,,,8.33,7.11,6430777
투르크메니스탄,2020-01-22,,,,,,,,8.33,7.11,6430777
투르크메니스탄,2020-01-23,,,,,,,,8.33,7.11,6430777
투르크메니스탄,2020-01-24,,,,,,,,8.33,7.11,6430777
투르크메니스탄,2020-01-25,,,,,,,,8.33,7.11,6430777
투르크메니스탄,2020-01-26,,,,,,,,8.33,7.11,6430777
투르크메니스탄,2020-01-27,,,,,,,,8.33,7.11,6430777
투르크메니스탄,2020-01-28,,,,,,,,8.33,7.11,6430777
투르크메니스탄,2020-01-29,,,,,,,,8.33,7.11,6430777
투르크메니스탄,2020-01-30,,,,,,,,8.33,7.11,6430777
투르크메니스탄,2020-01-31,,,,,,,,8.33,7.11,6430777
투르크메니스탄,2020-02-01,,,,,,,,13.89,7.11,6430777
투르크메니스탄,2020-02-02,,,,,,,,13.89,7.11,6430777
투르크메니스탄,2020-02-03,,,,,,,,13.89,7.11,6430777
투르크메니스탄,2020-02-04,,,,,,,,13.89,7.11,6430777
투르크메니스탄,2020-02-05,,,,,,,,13.89,7.11,6430777
투르크메니스탄,2020-02-06,,,,,,,,13.89,7.11,6430777
투르크메니스탄,2020-02-07,,,,,,,,13.89,7.11,6430777
투르크메니스탄,2020-02-08,,,,,,,,13.89,7.11,6430777
투르크메니스탄,2020-02-09,,,,,,,,13.89,7.11,6430777
투르크메니스탄,2020-02-10,,,,,,,,19.44,7.11,6430777
투르크메니스탄,2020-02-11,,,,,,,,19.44,7.11,6430777
투르크메니스탄,2020-02-12,,,,,,,,19.44,7.11,6430777
투르크메니스탄,2020-02-13,,,,,,,,19.44,7.11,6430777
투르크메니스탄,2020-02-14,,,,,,,,19.44,7.11,6430777
투르크메니스탄,2020-02-15,,,,,,,,19.44,7.11,6430777
투르크메니스탄,2020-02-16,,,,,,,,19.44,7.11,6430777
투르크메니스탄,2020-02-17,,,,,,,,19.44,7.11,6430777
투르크메니스탄,2020-02-18,,,,,,,,19.44,7.11,6430777
투르크메니스탄,2020-02-19,,,,,,,,19.44,7.11,6430777
투르크메니스탄,2020-02-20,,,,,,,,19.44,7.11,6430777
투르크메니스탄,2020-02-21,,,,,,,,19.44,7.11,6430777
투르크메니스탄,2020-02-22,,,,,,,,19.44,7.11,6430777
투르크메니스탄,2020-02-23,,,,,,,,19.44,7.11,6430777
투르크메니스탄,2020-02-24,,,,,,,,19.44,7.11,6430777
투르크메니스탄,2020-02-25,,,,,,,,19.44,7.11,6430777
투르크메니스탄,2020-02-26,,,,,,,,19.44,7.11,6430777
투르크메니스탄,2020-02-27,,,,,,,,19.44,7.11,6430777
투르크메니스탄,2020-02-28,,,,,,,,19.44,7.11,6430777
투르크메니스탄,2020-02-29,,,,,,,,19.44,7.11,6430777
투르크메니스탄,2020-03-01,,,,,,,,19.44,7.11,6430777
투르크메니스탄,2020-03-02,,,,,,,,19.44,7.11,6430777
투르크메니스탄,2020-03-03,,,,,,,,19.44,7.11,6430777
투르크메니스탄,2020-03-04,,,,,,,,19.44,7.11,6430777
투르크메니스탄,2020-03-05,,,,,,,,19.44,7.11,6430777
투르크메니스탄,2020-03-06,,,,,,,,19.44,7.11,6430777
투르크메니스탄,2020-03-07,,,,,,,,19.44,7.11,6430777
투르크메니스탄,2020-03-08,,,,,,,,19.44,7.11,6430777
투르크메니스탄,2020-03-09,,,,,,,,19.44,7.11,6430777
투르크메니스탄,2020-03-10,,,,,,,,19.44,7.11,6430777
투르크메니스탄,2020-03-11,,,,,,,,19.44,7.11,6430777
투르크메니스탄,2020-03-12,,,,,,,,19.44,7.11,6430777
