location,date,total_cases,total_deaths,reproduction_rate,positive_rate,total_vaccinations,people_vaccinated,people_fully_vaccinated,stringency_index,diabetes_prevalence,population
파나마,2020-01-03,,,,,,,,0.0,8.33,4408582
파나마,2020-01-04,,,,,,,,0.0,8.33,4408582
파나마,2020-01-05,,,,,,,,0.0,8.33,4408582
파나마,2020-01-06,,,,,,,,0.0,8.33,4408582
파나마,2020-01-07,,,,,,,,0.0,8.33,4408582
파나마,2020-01-08,,,,,,,,0.0,8.33,4408582
파나마,2020-01-09,,,,,,,,0.0,8.33,4408582
파나마,2020-01-10,,,,,,,,0.0,8.33,4408582
파나마,2020-01-11,,,,,,,,0.0,8.33,4408582
파나마,2020-01-12,,,,,,,,0.0,8.33,4408582
파나마,2020-01-13,,,,,,,,0.0,8.33,4408582
파나마,2020-01-14,,,,,,,,0.0,8.33,4408582
파나마,2020-01-15,,,,,,,,0.0,8.33,4408582
파나마,2020-01-16,,,,,,,,0.0,8.33,4408582
파나마,2020-01-17,,,,,,,,0.0,8.33,4408582
파나마,2020-01-18,,,,,,,,0.0,8.33,4408582
파나마,2020-01-19,,,,,,,,0.0,8.33,4408582
파나마,2020-01-20,,,,,,,,0.0,8.33,4408582
파나마,2020-01-21,,,,,,,,5.56,8.33,4408582
파나마,2020-01-22,,,,,,,,8.33,8.33,4408582
파나마,2020-01-23,,,,,,,,8.33,8.33,4408582
파나마,2020-01-24,,,,,,,,8.33,8.33,4408582
파나마,2020-01-25,,,,,,,,8.33,8.33,4408582
파나마,2020-01-26,,,,,,,,8.33,8.33,4408582
파나마,2020-01-27,,,,,,,,8.33,8.33,4408582
파나마,2020-01-28,,,,,,,,8.33,8.33,4408582
파나마,2020-01-29,,,,,,,,8.33,8.33,4408582
파나마,2020-01-30,,,,,,,,8.33,8.33,4408582
파나마,2020-01-31,,,,,,,,8.33,8.33,4408582
파나마,2020-02-01,,,,,,,,8.33,8.33,4408582
파나마,2020-02-02,,,,,,,,8.33,8.33,4408582
파나마,2020-02-03,,,,,,,,8.33,8.33,4408582
파나마,2020-02-04,,,,,,,,8.33,8.33,4408582
파나마,2020-02-05,,,,,,,,8.33,8.33,4408582
파나마,2020-02-06,,,,,,,,8.33,8.33,4408582
파나마,2020-02-07,,,,,,,,8.33,8.33,4408582
파나마,2020-02-08,,,,,,,,8.33,8.33,4408582
