location,date,total_cases,total_deaths,reproduction_rate,positive_rate,total_vaccinations,people_vaccinated,people_fully_vaccinated,stringency_index,diabetes_prevalence,population
파라과이,2020-01-03,,,,,,,,0.0,8.27,6780745
파라과이,2020-01-04,,,,,,,,0.0,8.27,6780745
파라과이,2020-01-05,,,,,,,,0.0,8.27,6780745
파라과이,2020-01-06,,,,,,,,0.0,8.27,6780745
파라과이,2020-01-07,,,,,,,,0.0,8.27,6780745
파라과이,2020-01-08,,,,,,,,0.0,8.27,6780745
파라과이,2020-01-09,,,,,,,,0.0,8.27,6780745
파라과이,2020-01-10,,,,,,,,0.0,8.27,6780745
파라과이,2020-01-11,,,,,,,,0.0,8.27,6780745
파라과이,2020-01-12,,,,,,,,0.0,8.27,6780745
파라과이,2020-01-13,,,,,,,,0.0,8.27,6780745
파라과이,2020-01-14,,,,,,,,0.0,8.27,6780745
파라과이,2020-01-15,,,,,,,,0.0,8.27,6780745
파라과이,2020-01-16,,,,,,,,0.0,8.27,6780745
파라과이,2020-01-17,,,,,,,,0.0,8.27,6780745
파라과이,2020-01-18,,,,,,,,0.0,8.27,6780745
파라과이,2020-01-19,,,,,,,,0.0,8.27,6780745
파라과이,2020-01-20,,,,,,,,0.0,8.27,6780745
파라과이,2020-01-21,,,,,,,,0.0,8.27,6780745
파라과이,2020-01-22,,,,,,,,0.0,8.27,6780745
파라과이,2020-01-23,,,,,,,,5.56,8.27,6780745
파라과이,2020-01-24,,,,,,,,5.56,8.27,6780745
파라과이,2020-01-25,,,,,,,,5.56,8.27,6780745
파라과이,2020-01-26,,,,,,,,5.56,8.27,6780745
파라과이,2020-01-27,,,,,,,,5.56,8.27,6780745
파라과이,2020-01-28,,,,,,,,5.56,8.27,6780745
파라과이,2020-01-29,,,,,,,,5.56,8.27,6780745
파라과이,2020-01-30,,,,,,,,5.56,8.27,6780745
파라과이,2020-01-31,,,,,,,,5.56,8.27,6780745
파라과이,2020-02-01,,,,,,,,5.56,8.27,6780745
파라과이,2020-02-02,,,,,,,,5.56,8.27,6780745
파라과이,2020-02-03,,,,,,,,5.56,8.27,6780745
파라과이,2020-02-04,,,,,,,,5.56,8.27,6780745
파라과이,2020-02-05,,,,,,,,5.56,8.27,6780745
파라과이,2020-02-06,,,,,,,,5.56,8.27,6780745
파라과이,2020-02-07,,,,,,,,5.56,8.27,6780745
파라과이,2020-02-08,,,,,,,,5.56,8.27,6780745
파라과이,2020-02-09,,,,,,,,5.56,8.27,6780745
파라과이,2020-02-10,,,,,,,,5.56,8.27,6780745
파라과이,2020-02-11,,,,,,,,5.56,8.27,6780745
파라과이,2020-02-12,,,,,,,,5.56,8.27,6780745
파라과이,2020-02-13,,,,,,,,5.56,8.27,6780745
파라과이,2020-02-14,,,,,,,,5.56,8.27,6780745
파라과이,2020-02-15,,,,,,,,5.56,8.27,6780745
파라과이,2020-02-16,,,,,,,,5.56,8.27,6780745
파라과이,2020-02-17,,,,,,,,5.56,8.27,6780745
파라과이,2020-02-18,,,,,,,,5.56,8.27,6780745
파라과이,2020-02-19,,,,,,,,5.56,8.27,6780745
파라과이,2020-02-20,,,,,,,,5.56,8.27,6780745
파라과이,2020-02-21,,,,,,,,5.56,8.27,6780745
파라과이,2020-02-22,,,,,,,,5.56,8.27,6780745
파라과이,2020-02-23,,,,,,,,5.56,8.27,6780745
파라과이,2020-02-24,,,,,,,,5.56,8.27,6780745
파라과이,2020-02-25,,,,,,,,5.56,8.27,6780745
파라과이,2020-02-26,,,,,,,,5.56,8.27,6780745
파라과이,2020-02-27,,,,,,,,5.56,8.27,6780745
파라과이,2020-02-28,,,,,,,,5.56,8.27,6780745
파라과이,2020-02-29,,,,,,,,5.56,8.27,6780745
파라과이,2020-03-01,,,,,,,,5.56,8.27,6780745
파라과이,2020-03-02,,,,,,,,5.56,8.27,6780745
파라과이,2020-03-03,,,,,,,,5.56,8.27,6780745
파라과이,2020-03-04,,,,,,,,5.56,8.27,6780745
파라과이,2020-03-05,,,,,,,,5.56,8.27,6780745
파라과이,2020-03-06,,,,,,,,5.56,8.27,6780745
파라과이,2020-03-07,,,,,,,,5.56,8.27,6780745
파라과이,2020-03-08,,,,,,,,5.56,8.27,6780745
파라과이,2020-03-09,1.0,,,,,,,5.56,8.27,6780745
파라과이,2020-03-10,1.0,,,,,,,47.22,8.27,6780745
파라과이,2020-03-11,2.0,,,,,,,47.22,8.27,6780745
파라과이,2020-03-12,5.0,,,,,,,47.22,8.27,6780745
파라과이,2020-03-13,5.0,,,,,,,47.22,8.27,6780745
파라과이,2020-03-14,6.0,,,0.125,,,,55.56,8.27,6780745
파라과이,2020-03-15,7.0,,,0.0833,,,,55.56,8.27,6780745
파라과이,2020-03-16,7.0,,,0.0762,,,,55.56,8.27,6780745
파라과이,2020-03-17,7.0,,,0.0451,,,,59.26,8.27,6780745
파라과이,2020-03-18,9.0,,,0.0408,,,,59.26,8.27,6780745
파라과이,2020-03-19,11.0,,,0.04,,,,59.26,8.27,6780745
파라과이,2020-03-20,11.0,,,0.0542,,,,59.26,8.27,6780745
파라과이,2020-03-21,13.0,,,0.0595,,,,71.3,8.27,6780745
파라과이,2020-03-22,18.0,1.0,,0.0541,,,,71.3,8.27,6780745
파라과이,2020-03-23,22.0,1.0,,0.0559,,,,76.85,8.27,6780745
파라과이,2020-03-24,22.0,1.0,,0.0675,,,,79.63,8.27,6780745
파라과이,2020-03-25,27.0,2.0,,0.0726,,,,79.63,8.27,6780745
파라과이,2020-03-26,37.0,3.0,,0.0857,,,,79.63,8.27,6780745
파라과이,2020-03-27,41.0,3.0,,0.0734,,,,79.63,8.27,6780745
파라과이,2020-03-28,52.0,3.0,,0.0734,,,,79.63,8.27,6780745
파라과이,2020-03-29,56.0,3.0,,0.0732,,,,79.63,8.27,6780745
파라과이,2020-03-30,59.0,3.0,,0.0687,,,,79.63,8.27,6780745
파라과이,2020-03-31,64.0,3.0,,0.0579,,,,79.63,8.27,6780745
파라과이,2020-04-01,65.0,3.0,,0.0605,,,,79.63,8.27,6780745
파라과이,2020-04-02,69.0,3.0,,0.0628,,,,79.63,8.27,6780745
파라과이,2020-04-03,77.0,3.0,,0.0571,,,,79.63,8.27,6780745
파라과이,2020-04-04,92.0,3.0,,0.054,,,,79.63,8.27,6780745
파라과이,2020-04-05,96.0,3.0,1.03,0.053,,,,82.41,8.27,6780745
파라과이,2020-04-06,104.0,3.0,1.03,0.0489,,,,82.41,8.27,6780745
파라과이,2020-04-07,113.0,5.0,1.03,0.0438,,,,82.41,8.27,6780745
파라과이,2020-04-08,115.0,5.0,1.03,0.0365,,,,82.41,8.27,6780745
파라과이,2020-04-09,119.0,5.0,1.03,0.0266,,,,83.33,8.27,6780745
파라과이,2020-04-10,124.0,5.0,1.04,0.0255,,,,83.33,8.27,6780745
파라과이,2020-04-11,129.0,6.0,1.05,0.0201,,,,83.33,8.27,6780745
파라과이,2020-04-12,133.0,6.0,1.06,0.022,,,,83.33,8.27,6780745
파라과이,2020-04-13,134.0,6.0,1.07,0.027,,,,94.44,8.27,6780745
파라과이,2020-04-14,147.0,6.0,1.08,0.0252,,,,94.44,8.27,6780745
파라과이,2020-04-15,159.0,7.0,1.09,0.0277,,,,94.44,8.27,6780745
파라과이,2020-04-16,161.0,8.0,1.09,0.0364,,,,94.44,8.27,6780745
파라과이,2020-04-17,174.0,8.0,1.09,0.0338,,,,94.44,8.27,6780745
파라과이,2020-04-18,199.0,8.0,1.1,0.0339,,,,94.44,8.27,6780745
파라과이,2020-04-19,202.0,8.0,1.11,0.029,,,,94.44,8.27,6780745
파라과이,2020-04-20,206.0,8.0,1.12,0.0219,,,,94.44,8.27,6780745
파라과이,2020-04-21,208.0,8.0,1.14,0.0217,,,,94.44,8.27,6780745
파라과이,2020-04-22,208.0,8.0,1.15,0.0167,,,,94.44,8.27,6780745
파라과이,2020-04-23,213.0,9.0,1.17,0.0091,,,,94.44,8.27,6780745
파라과이,2020-04-24,213.0,9.0,1.19,0.0088,,,,94.44,8.27,6780745
파라과이,2020-04-25,220.0,9.0,1.22,0.0093,,,,94.44,8.27,6780745
파라과이,2020-04-26,223.0,9.0,1.25,0.0083,,,,94.44,8.27,6780745
파라과이,2020-04-27,228.0,9.0,1.28,0.0086,,,,94.44,8.27,6780745
파라과이,2020-04-28,228.0,9.0,1.31,0.01,,,,94.44,8.27,6780745
