location,date,total_cases,total_deaths,reproduction_rate,positive_rate,total_vaccinations,people_vaccinated,people_fully_vaccinated,stringency_index,diabetes_prevalence,population
파키스탄,2020-01-03,,,,,,,,0.0,8.35,235824864
파키스탄,2020-01-04,,,,,,,,0.0,8.35,235824864
파키스탄,2020-01-05,,,,,,,,0.0,8.35,235824864
파키스탄,2020-01-06,,,,,,,,0.0,8.35,235824864
파키스탄,2020-01-07,,,,,,,,0.0,8.35,235824864
파키스탄,2020-01-08,,,,,,,,0.0,8.35,235824864
파키스탄,2020-01-09,,,,,,,,0.0,8.35,235824864
파키스탄,2020-01-10,,,,,,,,0.0,8.35,235824864
파키스탄,2020-01-11,,,,,,,,0.0,8.35,235824864
파키스탄,2020-01-12,,,,,,,,0.0,8.35,235824864
파키스탄,2020-01-13,,,,,,,,0.0,8.35,235824864
파키스탄,2020-01-14,,,,,,,,0.0,8.35,235824864
파키스탄,2020-01-15,,,,,,,,0.0,8.35,235824864
파키스탄,2020-01-16,,,,,,,,0.0,8.35,235824864
파키스탄,2020-01-17,,,,,,,,0.0,8.35,235824864
파키스탄,2020-01-18,,,,,,,,0.0,8.35,235824864
파키스탄,2020-01-19,,,,,,,,0.0,8.35,235824864
파키스탄,2020-01-20,,,,,,,,0.0,8.35,235824864
파키스탄,2020-01-21,,,,,,,,0.0,8.35,235824864
파키스탄,2020-01-22,,,,,,,,0.0,8.35,235824864
파키스탄,2020-01-23,,,,,,,,0.0,8.35,235824864
파키스탄,2020-01-24,,,,,,,,0.0,8.35,235824864
파키스탄,2020-01-25,,,,,,,,0.0,8.35,235824864
파키스탄,2020-01-26,,,,,,,,0.0,8.35,235824864
파키스탄,2020-01-27,,,,,,,,0.0,8.35,235824864
파키스탄,2020-01-28,,,,,,,,0.0,8.35,235824864
파키스탄,2020-01-29,,,,,,,,0.0,8.35,235824864
파키스탄,2020-01-30,,,,,,,,0.0,8.35,235824864
파키스탄,2020-01-31,,,,,,,,8.33,8.35,235824864
파키스탄,2020-02-01,,,,,,,,8.33,8.35,235824864
파키스탄,2020-02-02,,,,,,,,8.33,8.35,235824864
파키스탄,2020-02-03,,,,,,,,0.0,8.35,235824864
파키스탄,2020-02-04,,,,,,,,0.0,8.35,235824864
파키스탄,2020-02-05,,,,,,,,0.0,8.35,235824864
파키스탄,2020-02-06,,,,,,,,0.0,8.35,235824864
파키스탄,2020-02-07,,,,,,,,0.0,8.35,235824864
파키스탄,2020-02-08,,,,,,,,0.0,8.35,235824864
파키스탄,2020-02-09,,,,,,,,0.0,8.35,235824864
파키스탄,2020-02-10,,,,,,,,0.0,8.35,235824864
파키스탄,2020-02-11,,,,,,,,0.0,8.35,235824864
파키스탄,2020-02-12,,,,,,,,11.11,8.35,235824864
파키스탄,2020-02-13,,,,,,,,11.11,8.35,235824864
파키스탄,2020-02-14,,,,,,,,11.11,8.35,235824864
파키스탄,2020-02-15,,,,,,,,11.11,8.35,235824864
파키스탄,2020-02-16,,,,,,,,11.11,8.35,235824864
파키스탄,2020-02-17,,,,,,,,11.11,8.35,235824864
파키스탄,2020-02-18,,,,,,,,11.11,8.35,235824864
파키스탄,2020-02-19,,,,,,,,11.11,8.35,235824864
파키스탄,2020-02-20,,,,,,,,11.11,8.35,235824864
파키스탄,2020-02-21,,,,,,,,11.11,8.35,235824864
파키스탄,2020-02-22,,,,,,,,11.11,8.35,235824864
파키스탄,2020-02-23,,,,,,,,19.44,8.35,235824864
파키스탄,2020-02-24,,,,,,,,19.44,8.35,235824864
파키스탄,2020-02-25,,,,,,,,19.44,8.35,235824864
파키스탄,2020-02-26,,,,,,,,19.44,8.35,235824864
파키스탄,2020-02-27,,,,,,,,28.7,8.35,235824864
파키스탄,2020-02-28,2.0,,,,,,,28.7,8.35,235824864
파키스탄,2020-02-29,2.0,,,,,,,28.7,8.35,235824864
파키스탄,2020-03-01,2.0,,,,,,,28.7,8.35,235824864
파키스탄,2020-03-02,4.0,,,,,,,28.7,8.35,235824864
파키스탄,2020-03-03,4.0,,,,,,,28.7,8.35,235824864
파키스탄,2020-03-04,4.0,,,,,,,28.7,8.35,235824864
파키스탄,2020-03-05,5.0,,,,,,,28.7,8.35,235824864
파키스탄,2020-03-06,5.0,,,,,,,28.7,8.35,235824864
파키스탄,2020-03-07,5.0,,,,,,,28.7,8.35,235824864
파키스탄,2020-03-08,6.0,,,,,,,28.7,8.35,235824864
파키스탄,2020-03-09,6.0,,,,,,,28.7,8.35,235824864
파키스탄,2020-03-10,6.0,,,,,,,28.7,8.35,235824864
파키스탄,2020-03-11,7.0,,,,,,,28.7,8.35,235824864
파키스탄,2020-03-12,16.0,,,,,,,28.7,8.35,235824864
파키스탄,2020-03-13,19.0,,,,,,,52.78,8.35,235824864
파키스탄,2020-03-14,20.0,,,,,,,52.78,8.35,235824864
파키스탄,2020-03-15,21.0,,,,,,,52.78,8.35,235824864
파키스탄,2020-03-16,28.0,,2.33,,,,,52.78,8.35,235824864
파키스탄,2020-03-17,31.0,,2.29,,,,,52.78,8.35,235824864
파키스탄,2020-03-18,53.0,,2.24,0.2562,,,,52.78,8.35,235824864
파키스탄,2020-03-19,187.0,,2.17,0.1644,,,,52.78,8.35,235824864
파키스탄,2020-03-20,241.0,,2.11,0.2059,,,,52.78,8.35,235824864
파키스탄,2020-03-21,302.0,2.0,2.02,0.1591,,,,55.56,8.35,235824864
파키스탄,2020-03-22,461.0,2.0,1.94,0.1602,,,,55.56,8.35,235824864
파키스탄,2020-03-23,495.0,3.0,1.87,0.1555,,,,85.19,8.35,235824864
파키스탄,2020-03-24,646.0,3.0,1.83,0.1533,,,,93.52,8.35,235824864
파키스탄,2020-03-25,784.0,5.0,1.79,0.1744,,,,93.52,8.35,235824864
파키스탄,2020-03-26,887.0,6.0,1.76,0.1971,,,,96.3,8.35,235824864
파키스탄,2020-03-27,991.0,7.0,1.72,0.0829,,,,96.3,8.35,235824864
파키스탄,2020-03-28,1057.0,8.0,1.7,0.0901,,,,96.3,8.35,235824864
파키스탄,2020-03-29,1235.0,9.0,1.68,0.0905,,,,96.3,8.35,235824864
파키스탄,2020-03-30,1408.0,11.0,1.67,0.0983,,,,96.3,8.35,235824864
파키스탄,2020-03-31,1526.0,13.0,1.65,0.1072,,,,96.3,8.35,235824864
파키스탄,2020-04-01,1625.0,18.0,1.64,0.1122,,,,96.3,8.35,235824864
파키스탄,2020-04-02,1865.0,25.0,1.63,0.0584,,,,96.3,8.35,235824864
파키스탄,2020-04-03,2039.0,26.0,1.6,0.0672,,,,96.3,8.35,235824864
파키스탄,2020-04-04,2291.0,31.0,1.6,0.0759,,,,96.3,8.35,235824864
파키스탄,2020-04-05,2450.0,35.0,1.57,0.097,,,,96.3,8.35,235824864
파키스탄,2020-04-06,2708.0,40.0,1.52,0.0892,,,,96.3,8.35,235824864
파키스탄,2020-04-07,3059.0,45.0,1.48,0.0819,,,,96.3,8.35,235824864
파키스탄,2020-04-08,3505.0,51.0,1.45,0.075,,,,96.3,8.35,235824864
파키스탄,2020-04-09,4005.0,54.0,1.44,0.0824,,,,96.3,8.35,235824864
파키스탄,2020-04-10,4187.0,58.0,1.43,0.0881,,,,96.3,8.35,235824864
파키스탄,2020-04-11,4489.0,63.0,1.43,0.077,,,,96.3,8.35,235824864
파키스탄,2020-04-12,4695.0,66.0,1.43,0.0592,,,,96.3,8.35,235824864
파키스탄,2020-04-13,5011.0,86.0,1.44,0.0586,,,,96.3,8.35,235824864
파키스탄,2020-04-14,5230.0,91.0,1.45,0.0678,,,,96.3,8.35,235824864
파키스탄,2020-04-15,5496.0,93.0,1.45,0.0713,,,,92.59,8.35,235824864
파키스탄,2020-04-16,5837.0,96.0,1.45,0.0777,,,,92.59,8.35,235824864
파키스탄,2020-04-17,6383.0,111.0,1.47,0.0757,,,,92.59,8.35,235824864
파키스탄,2020-04-18,6919.0,128.0,1.48,0.0849,,,,92.59,8.35,235824864
파키스탄,2020-04-19,7025.0,135.0,1.47,0.0746,,,,92.59,8.35,235824864
파키스탄,2020-04-20,7638.0,143.0,1.49,0.0978,,,,92.59,8.35,235824864
파키스탄,2020-04-21,8348.0,168.0,1.48,0.0963,,,,92.59,8.35,235824864
파키스탄,2020-04-22,8418.0,176.0,1.47,0.1085,,,,92.59,8.35,235824864
파키스탄,2020-04-23,9565.0,201.0,1.45,0.1234,,,,92.59,8.35,235824864
파키스탄,2020-04-24,10076.0,212.0,1.43,0.131,,,,89.81,8.35,235824864
파키스탄,2020-04-25,11057.0,235.0,1.41,0.1257,,,,89.81,8.35,235824864
파키스탄,2020-04-26,11940.0,253.0,1.4,0.1372,,,,89.81,8.35,235824864
파키스탄,2020-04-27,12644.0,268.0,1.4,0.1182,,,,89.81,8.35,235824864
파키스탄,2020-04-28,13328.0,281.0,1.4,0.12,,,,89.81,8.35,235824864
파키스탄,2020-04-29,13915.0,292.0,1.4,0.1182,,,,89.81,8.35,235824864
파키스탄,2020-04-30,14612.0,312.0,1.39,0.1245,,,,89.81,8.35,235824864
파키스탄,2020-05-01,15469.0,343.0,1.38,0.1257,,,,89.81,8.35,235824864
파키스탄,2020-05-02,16473.0,361.0,1.37,0.1213,,,,89.81,8.35,235824864
파키스탄,2020-05-03,17699.0,408.0,1.36,0.1198,,,,89.81,8.35,235824864
파키스탄,2020-05-04,19022.0,437.0,1.36,0.1204,,,,89.81,8.35,235824864
파키스탄,2020-05-05,20084.0,457.0,1.36,0.1311,,,,89.81,8.35,235824864
파키스탄,2020-05-06,20941.0,476.0,1.35,0.1174,,,,89.81,8.35,235824864
파키스탄,2020-05-07,22049.0,514.0,1.35,0.1178,,,,89.81,8.35,235824864
파키스탄,2020-05-08,23214.0,526.0,1.35,0.1282,,,,89.81,8.35,235824864
파키스탄,2020-05-09,24644.0,585.0,1.33,0.1346,,,,89.81,8.35,235824864
파키스탄,2020-05-10,26435.0,599.0,1.31,0.1384,,,,89.81,8.35,235824864
파키스탄,2020-05-11,28736.0,636.0,1.28,0.1491,,,,89.81,8.35,235824864
파키스탄,2020-05-12,30334.0,659.0,1.26,0.1345,,,,89.81,8.35,235824864
파키스탄,2020-05-13,30941.0,667.0,1.24,0.1309,,,,89.81,8.35,235824864
파키스탄,2020-05-14,32674.0,724.0,1.24,0.1438,,,,89.81,8.35,235824864
파키스탄,2020-05-15,35298.0,761.0,1.23,0.1154,,,,89.81,8.35,235824864
파키스탄,2020-05-16,35788.0,770.0,1.24,0.11,,,,78.7,8.35,235824864
파키스탄,2020-05-17,37218.0,803.0,1.24,0.1117,,,,85.19,8.35,235824864
파키스탄,2020-05-18,38799.0,834.0,1.24,0.1042,,,,85.19,8.35,235824864
파키스탄,2020-05-19,40151.0,873.0,1.25,0.1122,,,,85.19,8.35,235824864
파키스탄,2020-05-20,42125.0,903.0,1.25,0.1274,,,,85.19,8.35,235824864
파키스탄,2020-05-21,43966.0,939.0,1.25,0.1203,,,,82.41,8.35,235824864
파키스탄,2020-05-22,48091.0,1017.0,1.24,0.1343,,,,82.41,8.35,235824864
파키스탄,2020-05-23,48091.0,1017.0,1.24,0.1425,,,,82.41,8.35,235824864
파키스탄,2020-05-24,52437.0,1101.0,1.24,0.142,,,,82.41,8.35,235824864
파키스탄,2020-05-25,54601.0,1133.0,1.24,0.1426,,,,82.41,8.35,235824864
파키스탄,2020-05-26,56349.0,1167.0,1.25,0.1463,,,,82.41,8.35,235824864
파키스탄,2020-05-27,57705.0,1197.0,1.27,0.1543,,,,82.41,8.35,235824864
파키스탄,2020-05-28,59151.0,1225.0,1.29,0.1699,,,,82.41,8.35,235824864
파키스탄,2020-05-29,61227.0,1260.0,1.31,0.1894,,,,82.41,8.35,235824864
파키스탄,2020-05-30,64028.0,1317.0,1.33,0.2088,,,,82.41,8.35,235824864
파키스탄,2020-05-31,66457.0,1395.0,1.34,0.2194,,,,82.41,8.35,235824864
파키스탄,2020-06-01,69496.0,1483.0,1.35,0.2413,,,,82.41,8.35,235824864
파키스탄,2020-06-02,72460.0,1543.0,1.35,0.2448,,,,82.41,8.35,235824864
파키스탄,2020-06-03,76398.0,1621.0,1.35,0.2505,,,,82.41,8.35,235824864
파키스탄,2020-06-04,80463.0,1688.0,1.34,0.2348,,,,69.44,8.35,235824864
파키스탄,2020-06-05,85264.0,1770.0,1.33,0.2327,,,,69.44,8.35,235824864
파키스탄,2020-06-06,89249.0,1838.0,1.32,0.2292,,,,69.44,8.35,235824864
파키스탄,2020-06-07,93983.0,1935.0,1.3,0.2285,,,,61.11,8.35,235824864
파키스탄,2020-06-08,98943.0,2002.0,1.29,0.2206,,,,61.11,8.35,235824864
파키스탄,2020-06-09,103671.0,2067.0,1.27,0.218,,,,61.11,8.35,235824864
파키스탄,2020-06-10,108317.0,2172.0,1.26,0.2157,,,,61.11,8.35,235824864
파키스탄,2020-06-11,113702.0,2255.0,1.24,0.2219,,,,61.11,8.35,235824864
파키스탄,2020-06-12,119536.0,2356.0,1.22,0.187,,,,61.11,8.35,235824864
파키스탄,2020-06-13,125521.0,2463.0,1.21,0.1874,,,,61.11,8.35,235824864
파키스탄,2020-06-14,132405.0,2551.0,1.2,0.2206,,,,61.11,8.35,235824864
파키스탄,2020-06-15,139230.0,2632.0,1.17,0.2117,,,,61.11,8.35,235824864
파키스탄,2020-06-16,144478.0,2729.0,1.13,0.2136,,,,61.11,8.35,235824864
파키스탄,2020-06-17,148921.0,2839.0,1.1,0.2065,,,,61.11,8.35,235824864
파키스탄,2020-06-18,154760.0,2975.0,1.07,0.1945,,,,61.11,8.35,235824864
파키스탄,2020-06-19,160118.0,3093.0,1.05,0.2265,,,,61.11,8.35,235824864
파키스탄,2020-06-20,165062.0,3229.0,1.02,0.217,,,,58.33,8.35,235824864
파키스탄,2020-06-21,171666.0,3382.0,0.99,0.1803,,,,58.33,8.35,235824864
파키스탄,2020-06-22,176617.0,3501.0,0.97,0.1766,,,,60.19,8.35,235824864
파키스탄,2020-06-23,181088.0,3590.0,0.94,0.1674,,,,60.19,8.35,235824864
