location,date,total_cases,total_deaths,reproduction_rate,positive_rate,total_vaccinations,people_vaccinated,people_fully_vaccinated,stringency_index,diabetes_prevalence,population
페루,2020-01-03,,,,,,,,0.0,5.95,34049588
페루,2020-01-04,,,,,,,,0.0,5.95,34049588
페루,2020-01-05,,,,,,,,0.0,5.95,34049588
페루,2020-01-06,,,,,,,,0.0,5.95,34049588
페루,2020-01-07,,,,,,,,0.0,5.95,34049588
페루,2020-01-08,,,,,,,,0.0,5.95,34049588
페루,2020-01-09,,,,,,,,0.0,5.95,34049588
페루,2020-01-10,,,,,,,,0.0,5.95,34049588
페루,2020-01-11,,,,,,,,0.0,5.95,34049588
페루,2020-01-12,,,,,,,,0.0,5.95,34049588
페루,2020-01-13,,,,,,,,0.0,5.95,34049588
페루,2020-01-14,,,,,,,,0.0,5.95,34049588
페루,2020-01-15,,,,,,,,0.0,5.95,34049588
페루,2020-01-16,,,,,,,,0.0,5.95,34049588
페루,2020-01-17,,,,,,,,0.0,5.95,34049588
페루,2020-01-18,,,,,,,,0.0,5.95,34049588
페루,2020-01-19,,,,,,,,0.0,5.95,34049588
페루,2020-01-20,,,,,,,,0.0,5.95,34049588
페루,2020-01-21,,,,,,,,0.0,5.95,34049588
페루,2020-01-22,,,,,,,,0.0,5.95,34049588
페루,2020-01-23,,,,,,,,0.0,5.95,34049588
페루,2020-01-24,,,,,,,,0.0,5.95,34049588
페루,2020-01-25,,,,,,,,0.0,5.95,34049588
페루,2020-01-26,,,,,,,,0.0,5.95,34049588
페루,2020-01-27,,,,,,,,0.0,5.95,34049588
페루,2020-01-28,,,,,,,,0.0,5.95,34049588
페루,2020-01-29,,,,,,,,0.0,5.95,34049588
페루,2020-01-30,,,,,,,,0.0,5.95,34049588
페루,2020-01-31,,,,,,,,0.0,5.95,34049588
페루,2020-02-01,,,,,,,,0.0,5.95,34049588
페루,2020-02-02,,,,,,,,0.0,5.95,34049588
페루,2020-02-03,,,,,,,,0.0,5.95,34049588
페루,2020-02-04,,,,,,,,0.0,5.95,34049588
페루,2020-02-05,,,,,,,,0.0,5.95,34049588
페루,2020-02-06,,,,,,,,0.0,5.95,34049588
페루,2020-02-07,,,,,,,,0.0,5.95,34049588
페루,2020-02-08,,,,,,,,0.0,5.95,34049588
페루,2020-02-09,,,,,,,,0.0,5.95,34049588
페루,2020-02-10,,,,,,,,0.0,5.95,34049588
페루,2020-02-11,,,,,,,,0.0,5.95,34049588
페루,2020-02-12,,,,,,,,0.0,5.95,34049588
페루,2020-02-13,,,,,,,,0.0,5.95,34049588
페루,2020-02-14,,,,,,,,0.0,5.95,34049588
페루,2020-02-15,,,,,,,,0.0,5.95,34049588
페루,2020-02-16,,,,,,,,0.0,5.95,34049588
페루,2020-02-17,,,,,,,,0.0,5.95,34049588
페루,2020-02-18,,,,,,,,0.0,5.95,34049588
페루,2020-02-19,,,,,,,,0.0,5.95,34049588
페루,2020-02-20,,,,,,,,0.0,5.95,34049588
페루,2020-02-21,,,,,,,,0.0,5.95,34049588
페루,2020-02-22,,,,,,,,0.0,5.95,34049588
페루,2020-02-23,,,,,,,,0.0,5.95,34049588
페루,2020-02-24,,,,,,,,0.0,5.95,34049588
페루,2020-02-25,,,,,,,,0.0,5.95,34049588
페루,2020-02-26,,,,,,,,0.0,5.95,34049588
페루,2020-02-27,,,,,,,,0.0,5.95,34049588
페루,2020-02-28,,,,,,,,0.0,5.95,34049588
페루,2020-02-29,,,,,,,,0.0,5.95,34049588
페루,2020-03-01,,,,,,,,0.0,5.95,34049588
페루,2020-03-02,,,,,,,,0.0,5.95,34049588
페루,2020-03-03,,,,,,,,0.0,5.95,34049588
페루,2020-03-04,,,,,,,,0.0,5.95,34049588
페루,2020-03-05,,,,,,,,11.11,5.95,34049588
페루,2020-03-06,,1.0,,,,,,13.89,5.95,34049588
페루,2020-03-07,9.0,1.0,,,,,,13.89,5.95,34049588
페루,2020-03-08,9.0,1.0,,,,,,13.89,5.95,34049588
페루,2020-03-09,11.0,1.0,,,,,,13.89,5.95,34049588
페루,2020-03-10,13.0,2.0,,,,,,13.89,5.95,34049588
페루,2020-03-11,15.0,2.0,,,,,,16.67,5.95,34049588
페루,2020-03-12,17.0,2.0,,,,,,44.44,5.95,34049588
페루,2020-03-13,26.0,2.0,,,,,,44.44,5.95,34049588
페루,2020-03-14,32.0,3.0,,,,,,50.0,5.95,34049588
페루,2020-03-15,47.0,3.0,,,,,,74.07,5.95,34049588
페루,2020-03-16,75.0,3.0,,,,,,90.74,5.95,34049588
페루,2020-03-17,90.0,5.0,,,,,,90.74,5.95,34049588
페루,2020-03-18,121.0,5.0,1.98,,,,,94.44,5.95,34049588
페루,2020-03-19,234.0,9.0,1.98,,,,,94.44,5.95,34049588
페루,2020-03-20,234.0,15.0,1.97,,,,,94.44,5.95,34049588
페루,2020-03-21,318.0,20.0,1.96,,,,,94.44,5.95,34049588
페루,2020-03-22,318.0,26.0,1.95,,,,,94.44,5.95,34049588
페루,2020-03-23,318.0,30.0,1.94,,,,,94.44,5.95,34049588
페루,2020-03-24,395.0,34.0,1.94,,,,,94.44,5.95,34049588
페루,2020-03-25,416.0,39.0,1.94,,,,,94.44,5.95,34049588
페루,2020-03-26,480.0,45.0,1.95,,,,,94.44,5.95,34049588
페루,2020-03-27,580.0,57.0,1.95,,,,,94.44,5.95,34049588
페루,2020-03-28,580.0,63.0,1.96,,,,,94.44,5.95,34049588
페루,2020-03-29,635.0,71.0,1.97,,,,,94.44,5.95,34049588
페루,2020-03-30,671.0,86.0,1.97,,,,,94.44,5.95,34049588
페루,2020-03-31,852.0,95.0,1.97,,,,,94.44,5.95,34049588
페루,2020-04-01,1065.0,113.0,1.98,,,,,94.44,5.95,34049588
페루,2020-04-02,1323.0,138.0,1.98,,,,,94.44,5.95,34049588
페루,2020-04-03,1323.0,161.0,1.98,,,,,94.44,5.95,34049588
페루,2020-04-04,1414.0,183.0,1.99,,,,,94.44,5.95,34049588
페루,2020-04-05,1595.0,209.0,1.99,,,,,94.44,5.95,34049588
페루,2020-04-06,1746.0,258.0,1.99,,,,,94.44,5.95,34049588
페루,2020-04-07,2281.0,317.0,1.98,,,,,94.44,5.95,34049588
페루,2020-04-08,2561.0,360.0,1.98,0.0,,,,94.44,5.95,34049588
페루,2020-04-09,2954.0,423.0,1.95,0.0,,,,94.44,5.95,34049588
페루,2020-04-10,4342.0,471.0,1.91,0.0,,,,94.44,5.95,34049588
페루,2020-04-11,5256.0,569.0,1.88,0.0,,,,94.44,5.95,34049588
페루,2020-04-12,5897.0,650.0,1.85,0.0,,,,94.44,5.95,34049588
페루,2020-04-13,6848.0,753.0,1.82,0.0,,,,94.44,5.95,34049588
페루,2020-04-14,7519.0,846.0,1.78,0.0,,,,94.44,5.95,34049588
페루,2020-04-15,7519.0,952.0,1.75,0.102,,,,94.44,5.95,34049588
페루,2020-04-16,10303.0,1061.0,1.72,0.099,,,,94.44,5.95,34049588
페루,2020-04-17,11475.0,1200.0,1.69,0.107,,,,94.44,5.95,34049588
페루,2020-04-18,13489.0,1333.0,1.66,0.108,,,,94.44,5.95,34049588
페루,2020-04-19,13489.0,1490.0,1.64,0.121,,,,94.44,5.95,34049588
페루,2020-04-20,14420.0,1628.0,1.62,0.108,,,,94.44,5.95,34049588
페루,2020-04-21,15628.0,1786.0,1.61,0.14,,,,94.44,5.95,34049588
페루,2020-04-22,16325.0,1990.0,1.59,0.127,,,,94.44,5.95,34049588
페루,2020-04-23,17837.0,2199.0,1.58,0.132,,,,94.44,5.95,34049588
페루,2020-04-24,19250.0,2418.0,1.57,0.115,,,,94.44,5.95,34049588
페루,2020-04-25,20914.0,2664.0,1.56,0.133,,,,94.44,5.95,34049588
페루,2020-04-26,21648.0,2910.0,1.54,0.134,,,,94.44,5.95,34049588
페루,2020-04-27,25331.0,3198.0,1.52,0.135,,,,94.44,5.95,34049588
페루,2020-04-28,27517.0,3488.0,1.5,0.12,,,,94.44,5.95,34049588
페루,2020-04-29,28699.0,3793.0,1.49,0.117,,,,94.44,5.95,34049588
페루,2020-04-30,31190.0,4106.0,1.47,0.121,,,,94.44,5.95,34049588
페루,2020-05-01,33931.0,4450.0,1.45,0.13,,,,96.3,5.95,34049588
페루,2020-05-02,36976.0,4782.0,1.43,0.125,,,,96.3,5.95,34049588
페루,2020-05-03,40459.0,5181.0,1.41,0.129,,,,96.3,5.95,34049588
페루,2020-05-04,42534.0,5589.0,1.4,0.125,,,,96.3,5.95,34049588
페루,2020-05-05,45928.0,6004.0,1.38,0.144,,,,96.3,5.95,34049588
페루,2020-05-06,47372.0,6442.0,1.37,0.157,,,,96.3,5.95,34049588
페루,2020-05-07,51189.0,6871.0,1.35,0.166,,,,96.3,5.95,34049588
페루,2020-05-08,54817.0,7328.0,1.33,0.164,,,,96.3,5.95,34049588
페루,2020-05-09,58526.0,7809.0,1.32,0.162,,,,96.3,5.95,34049588
페루,2020-05-10,61847.0,8263.0,1.3,0.165,,,,96.3,5.95,34049588
페루,2020-05-11,65015.0,8740.0,1.29,0.174,,,,92.59,5.95,34049588
페루,2020-05-12,67307.0,9258.0,1.28,0.166,,,,92.59,5.95,34049588
페루,2020-05-13,68822.0,9778.0,1.28,0.174,,,,92.59,5.95,34049588
페루,2020-05-14,72059.0,10294.0,1.27,0.159,,,,92.59,5.95,34049588
페루,2020-05-15,76306.0,10760.0,1.26,0.171,,,,92.59,5.95,34049588
페루,2020-05-16,80604.0,11277.0,1.25,0.173,,,,92.59,5.95,34049588
페루,2020-05-17,84495.0,11824.0,1.24,0.171,,,,92.59,5.95,34049588
페루,2020-05-18,88541.0,12333.0,1.23,0.176,,,,92.59,5.95,34049588
페루,2020-05-19,92273.0,12835.0,1.22,0.186,,,,92.59,5.95,34049588
페루,2020-05-20,94933.0,13369.0,1.22,0.171,,,,92.59,5.95,34049588
페루,2020-05-21,99483.0,13984.0,1.21,0.189,,,,92.59,5.95,34049588
페루,2020-05-22,104020.0,14512.0,1.2,0.187,,,,92.59,5.95,34049588
페루,2020-05-23,108769.0,15056.0,1.19,0.172,,,,92.59,5.95,34049588
페루,2020-05-24,111698.0,15583.0,1.19,0.163,,,,92.59,5.95,34049588
페루,2020-05-25,115754.0,16101.0,1.18,0.162,,,,89.81,5.95,34049588
페루,2020-05-26,119959.0,16644.0,1.18,0.154,,,,89.81,5.95,34049588
페루,2020-05-27,123979.0,17216.0,1.17,0.168,,,,89.81,5.95,34049588
페루,2020-05-28,129751.0,17796.0,1.16,0.172,,,,89.81,5.95,34049588
페루,2020-05-29,135905.0,18340.0,1.16,0.172,,,,89.81,5.95,34049588
페루,2020-05-30,141779.0,18929.0,1.14,0.178,,,,89.81,5.95,34049588
페루,2020-05-31,148285.0,19483.0,1.13,0.187,,,,89.81,5.95,34049588
페루,2020-06-01,155671.0,20116.0,1.11,0.195,,,,89.81,5.95,34049588
페루,2020-06-02,164476.0,20715.0,1.1,0.207,,,,89.81,5.95,34049588
페루,2020-06-03,170039.0,21284.0,1.08,0.204,,,,89.81,5.95,34049588
페루,2020-06-04,174884.0,21946.0,1.07,0.2,,,,89.81,5.95,34049588
페루,2020-06-05,178914.0,22485.0,1.06,0.205,,,,89.81,5.95,34049588
페루,2020-06-06,183198.0,23034.0,1.05,0.225,,,,89.81,5.95,34049588
페루,2020-06-07,187400.0,23651.0,1.04,0.241,,,,89.81,5.95,34049588
페루,2020-06-08,191758.0,24239.0,1.03,0.233,,,,89.81,5.95,34049588
