location,date,total_cases,total_deaths,reproduction_rate,positive_rate,total_vaccinations,people_vaccinated,people_fully_vaccinated,stringency_index,diabetes_prevalence,population
포르투갈,2020-01-03,,,,,,,,0.0,9.85,10270857
포르투갈,2020-01-04,,,,,,,,0.0,9.85,10270857
포르투갈,2020-01-05,,,,,,,,0.0,9.85,10270857
포르투갈,2020-01-06,,,,,,,,0.0,9.85,10270857
포르투갈,2020-01-07,,,,,,,,0.0,9.85,10270857
포르투갈,2020-01-08,,,,,,,,0.0,9.85,10270857
포르투갈,2020-01-09,,,,,,,,0.0,9.85,10270857
포르투갈,2020-01-10,,,,,,,,0.0,9.85,10270857
포르투갈,2020-01-11,,,,,,,,0.0,9.85,10270857
포르투갈,2020-01-12,,,,,,,,0.0,9.85,10270857
포르투갈,2020-01-13,,,,,,,,0.0,9.85,10270857
포르투갈,2020-01-14,,,,,,,,0.0,9.85,10270857
포르투갈,2020-01-15,,,,,,,,0.0,9.85,10270857
포르투갈,2020-01-16,,,,,,,,0.0,9.85,10270857
포르투갈,2020-01-17,,,,,,,,0.0,9.85,10270857
포르투갈,2020-01-18,,,,,,,,0.0,9.85,10270857
포르투갈,2020-01-19,,,,,,,,0.0,9.85,10270857
포르투갈,2020-01-20,,,,,,,,0.0,9.85,10270857
포르투갈,2020-01-21,,,,,,,,0.0,9.85,10270857
포르투갈,2020-01-22,,,,,,,,0.0,9.85,10270857
포르투갈,2020-01-23,,,,,,,,0.0,9.85,10270857
포르투갈,2020-01-24,,,,,,,,0.0,9.85,10270857
포르투갈,2020-01-25,,,,,,,,0.0,9.85,10270857
포르투갈,2020-01-26,,,,,,,,5.56,9.85,10270857
포르투갈,2020-01-27,,,,,,,,5.56,9.85,10270857
포르투갈,2020-01-28,,,,,,,,5.56,9.85,10270857
포르투갈,2020-01-29,,,,,,,,5.56,9.85,10270857
포르투갈,2020-01-30,,,,,,,,5.56,9.85,10270857
포르투갈,2020-01-31,,,,,,,,5.56,9.85,10270857
포르투갈,2020-02-01,,,,,,,,5.56,9.85,10270857
포르투갈,2020-02-02,,,,,,,,5.56,9.85,10270857
포르투갈,2020-02-03,,,,,,,,5.56,9.85,10270857
포르투갈,2020-02-04,,,,,,,,5.56,9.85,10270857
포르투갈,2020-02-05,,,,,,,,5.56,9.85,10270857
포르투갈,2020-02-06,,,,,,,,5.56,9.85,10270857
포르투갈,2020-02-07,,,,,,,,5.56,9.85,10270857
포르투갈,2020-02-08,,,,,,,,5.56,9.85,10270857
포르투갈,2020-02-09,,,,,,,,5.56,9.85,10270857
포르투갈,2020-02-10,,,,,,,,5.56,9.85,10270857
포르투갈,2020-02-11,,,,,,,,5.56,9.85,10270857
포르투갈,2020-02-12,,,,,,,,5.56,9.85,10270857
포르투갈,2020-02-13,,,,,,,,5.56,9.85,10270857
포르투갈,2020-02-14,,,,,,,,5.56,9.85,10270857
포르투갈,2020-02-15,,,,,,,,5.56,9.85,10270857
포르투갈,2020-02-16,,,,,,,,5.56,9.85,10270857
포르투갈,2020-02-17,,,,,,,,5.56,9.85,10270857
포르투갈,2020-02-18,,,,,,,,5.56,9.85,10270857
포르투갈,2020-02-19,,,,,,,,5.56,9.85,10270857
포르투갈,2020-02-20,,,,,,,,5.56,9.85,10270857
포르투갈,2020-02-21,,,,,,,,5.56,9.85,10270857
포르투갈,2020-02-22,,,,,,,,5.56,9.85,10270857
포르투갈,2020-02-23,1.0,,,,,,,5.56,9.85,10270857
포르투갈,2020-02-24,1.0,,,,,,,5.56,9.85,10270857
포르투갈,2020-02-25,1.0,,,,,,,5.56,9.85,10270857
포르투갈,2020-02-26,1.0,,,,,,,5.56,9.85,10270857
포르투갈,2020-02-27,1.0,,,,,,,5.56,9.85,10270857
포르투갈,2020-02-28,1.0,,,,,,,5.56,9.85,10270857
포르투갈,2020-02-29,1.0,,,,,,,5.56,9.85,10270857
포르투갈,2020-03-01,2.0,,,,,,,5.56,9.85,10270857
포르투갈,2020-03-02,2.0,,,,,,,5.56,9.85,10270857
포르투갈,2020-03-03,2.0,,,,,,,5.56,9.85,10270857
포르투갈,2020-03-04,2.0,,,,,,,5.56,9.85,10270857
포르투갈,2020-03-05,2.0,,,,,,,5.56,9.85,10270857
포르투갈,2020-03-06,2.0,,,,,,,5.56,9.85,10270857
포르투갈,2020-03-07,2.0,,,,,,,5.56,9.85,10270857
포르투갈,2020-03-08,29.0,,,0.064,,,,5.56,9.85,10270857
포르투갈,2020-03-09,29.0,,,0.0465,,,,27.31,9.85,10270857
포르투갈,2020-03-10,29.0,,,0.046,,,,35.65,9.85,10270857
포르투갈,2020-03-11,29.0,,,0.039,,,,35.65,9.85,10270857
포르투갈,2020-03-12,29.0,,,0.0228,,,,43.06,9.85,10270857
포르투갈,2020-03-13,29.0,,,0.0267,,,,43.06,9.85,10270857
포르투갈,2020-03-14,29.0,,2.69,0.0305,,,,43.06,9.85,10270857
포르투갈,2020-03-15,318.0,,2.68,0.0374,,,,53.7,9.85,10270857
포르투갈,2020-03-16,318.0,,2.66,0.0415,,,,55.56,9.85,10270857
포르투갈,2020-03-17,318.0,,2.63,0.0439,,,,55.56,9.85,10270857
포르투갈,2020-03-18,318.0,,2.6,0.0349,,,,61.11,9.85,10270857
포르투갈,2020-03-19,318.0,,2.59,0.0571,,,,82.41,9.85,10270857
포르투갈,2020-03-20,318.0,,2.54,0.0632,,,,82.41,9.85,10270857
포르투갈,2020-03-21,318.0,,2.47,0.0711,,,,82.41,9.85,10270857
포르투갈,2020-03-22,1726.0,26.0,2.41,0.0807,,,,82.41,9.85,10270857
포르투갈,2020-03-23,1726.0,26.0,2.35,0.0897,,,,82.41,9.85,10270857
포르투갈,2020-03-24,1726.0,26.0,2.28,0.087,,,,82.41,9.85,10270857
포르투갈,2020-03-25,1726.0,26.0,2.21,0.1024,,,,82.41,9.85,10270857
포르투갈,2020-03-26,1726.0,26.0,2.13,0.0949,,,,82.41,9.85,10270857
포르투갈,2020-03-27,1726.0,26.0,2.06,0.0962,,,,82.41,9.85,10270857
포르투갈,2020-03-28,1726.0,26.0,1.99,0.102,,,,82.41,9.85,10270857
포르투갈,2020-03-29,5455.0,150.0,1.92,0.1062,,,,82.41,9.85,10270857
포르투갈,2020-03-30,5455.0,150.0,1.85,0.0969,,,,82.41,9.85,10270857
포르투갈,2020-03-31,5455.0,150.0,1.78,0.1063,,,,82.41,9.85,10270857
포르투갈,2020-04-01,5455.0,150.0,1.71,0.1028,,,,82.41,9.85,10270857
포르투갈,2020-04-02,5455.0,150.0,1.63,0.1022,,,,82.41,9.85,10270857
포르투갈,2020-04-03,5455.0,150.0,1.57,0.1016,,,,82.41,9.85,10270857
포르투갈,2020-04-04,5455.0,150.0,1.52,0.093,,,,82.41,9.85,10270857
포르투갈,2020-04-05,10498.0,356.0,1.46,0.0897,,,,82.41,9.85,10270857
포르투갈,2020-04-06,10498.0,356.0,1.42,0.0878,,,,82.41,9.85,10270857
포르투갈,2020-04-07,10498.0,356.0,1.37,0.079,,,,82.41,9.85,10270857
포르투갈,2020-04-08,10498.0,356.0,1.33,0.0737,,,,82.41,9.85,10270857
포르투갈,2020-04-09,10498.0,356.0,1.29,0.0711,,,,87.96,9.85,10270857
포르투갈,2020-04-10,10498.0,356.0,1.26,0.0798,,,,87.96,9.85,10270857
포르투갈,2020-04-11,10498.0,356.0,1.21,0.0781,,,,87.96,9.85,10270857
포르투갈,2020-04-12,14929.0,602.0,1.18,0.0775,,,,87.96,9.85,10270857
포르투갈,2020-04-13,14929.0,602.0,1.14,0.0765,,,,87.96,9.85,10270857
포르투갈,2020-04-14,14929.0,602.0,1.11,0.0722,,,,82.41,9.85,10270857
포르투갈,2020-04-15,14929.0,602.0,1.09,0.0695,,,,82.41,9.85,10270857
포르투갈,2020-04-16,14929.0,602.0,1.06,0.0673,,,,82.41,9.85,10270857
포르투갈,2020-04-17,14929.0,602.0,1.04,0.0461,,,,82.41,9.85,10270857
포르투갈,2020-04-18,14929.0,602.0,1.03,0.0458,,,,82.41,9.85,10270857
포르투갈,2020-04-19,19169.0,819.0,1.01,0.0426,,,,82.41,9.85,10270857
포르투갈,2020-04-20,19169.0,819.0,1.0,0.0451,,,,82.41,9.85,10270857
포르투갈,2020-04-21,19169.0,819.0,0.98,0.0436,,,,82.41,9.85,10270857
포르투갈,2020-04-22,19169.0,819.0,0.96,0.0423,,,,82.41,9.85,10270857
포르투갈,2020-04-23,19169.0,819.0,0.95,0.0375,,,,82.41,9.85,10270857
포르투갈,2020-04-24,19169.0,819.0,0.93,0.0402,,,,82.41,9.85,10270857
포르투갈,2020-04-25,19169.0,819.0,0.93,0.0392,,,,82.41,9.85,10270857
포르투갈,2020-04-26,22350.0,1006.0,0.92,0.0392,,,,82.41,9.85,10270857
포르투갈,2020-04-27,22350.0,1006.0,0.91,0.0335,,,,82.41,9.85,10270857
포르투갈,2020-04-28,22350.0,1006.0,0.9,0.031,,,,82.41,9.85,10270857
포르투갈,2020-04-29,22350.0,1006.0,0.9,0.0268,,,,82.41,9.85,10270857
포르투갈,2020-04-30,22350.0,1006.0,0.9,0.0282,,,,82.41,9.85,10270857
포르투갈,2020-05-01,22350.0,1006.0,0.9,0.0274,,,,87.96,9.85,10270857
포르투갈,2020-05-02,22350.0,1006.0,0.91,,,,,87.96,9.85,10270857
포르투갈,2020-05-03,24721.0,1146.0,0.92,0.0174,,,,87.96,9.85,10270857
포르투갈,2020-05-04,24721.0,1146.0,0.92,0.0184,,,,69.44,9.85,10270857
