location,date,total_cases,total_deaths,reproduction_rate,positive_rate,total_vaccinations,people_vaccinated,people_fully_vaccinated,stringency_index,diabetes_prevalence,population
폴란드,2020-01-03,,,,,,,,0.0,5.91,39857144
폴란드,2020-01-04,,,,,,,,0.0,5.91,39857144
폴란드,2020-01-05,,,,,,,,0.0,5.91,39857144
폴란드,2020-01-06,,,,,,,,0.0,5.91,39857144
폴란드,2020-01-07,,,,,,,,0.0,5.91,39857144
폴란드,2020-01-08,,,,,,,,0.0,5.91,39857144
폴란드,2020-01-09,,,,,,,,0.0,5.91,39857144
폴란드,2020-01-10,,,,,,,,0.0,5.91,39857144
폴란드,2020-01-11,,,,,,,,0.0,5.91,39857144
폴란드,2020-01-12,,,,,,,,0.0,5.91,39857144
폴란드,2020-01-13,,,,,,,,0.0,5.91,39857144
폴란드,2020-01-14,,,,,,,,0.0,5.91,39857144
폴란드,2020-01-15,,,,,,,,0.0,5.91,39857144
폴란드,2020-01-16,,,,,,,,0.0,5.91,39857144
폴란드,2020-01-17,,,,,,,,0.0,5.91,39857144
폴란드,2020-01-18,,,,,,,,0.0,5.91,39857144
폴란드,2020-01-19,,,,,,,,0.0,5.91,39857144
폴란드,2020-01-20,,,,,,,,0.0,5.91,39857144
폴란드,2020-01-21,,,,,,,,0.0,5.91,39857144
폴란드,2020-01-22,,,,,,,,0.0,5.91,39857144
폴란드,2020-01-23,,,,,,,,5.56,5.91,39857144
폴란드,2020-01-24,,,,,,,,5.56,5.91,39857144
폴란드,2020-01-25,,,,,,,,5.56,5.91,39857144
폴란드,2020-01-26,,,,,,,,5.56,5.91,39857144
폴란드,2020-01-27,,,,,,,,5.56,5.91,39857144
폴란드,2020-01-28,,,,,,,,5.56,5.91,39857144
폴란드,2020-01-29,,,,,,,,5.56,5.91,39857144
폴란드,2020-01-30,,,,,,,,5.56,5.91,39857144
폴란드,2020-01-31,,,,,,,,5.56,5.91,39857144
폴란드,2020-02-01,,,,,,,,5.56,5.91,39857144
폴란드,2020-02-02,,,,,,,,5.56,5.91,39857144
폴란드,2020-02-03,,,,,,,,5.56,5.91,39857144
폴란드,2020-02-04,,,,,,,,5.56,5.91,39857144
폴란드,2020-02-05,,,,,,,,5.56,5.91,39857144
폴란드,2020-02-06,,,,,,,,5.56,5.91,39857144
폴란드,2020-02-07,,,,,,,,5.56,5.91,39857144
폴란드,2020-02-08,,,,,,,,5.56,5.91,39857144
폴란드,2020-02-09,,,,,,,,5.56,5.91,39857144
폴란드,2020-02-10,,,,,,,,5.56,5.91,39857144
폴란드,2020-02-11,,,,,,,,5.56,5.91,39857144
폴란드,2020-02-12,,,,,,,,5.56,5.91,39857144
폴란드,2020-02-13,,,,,,,,5.56,5.91,39857144
폴란드,2020-02-14,,,,,,,,5.56,5.91,39857144
폴란드,2020-02-15,,,,,,,,5.56,5.91,39857144
폴란드,2020-02-16,,,,,,,,5.56,5.91,39857144
폴란드,2020-02-17,,,,,,,,5.56,5.91,39857144
폴란드,2020-02-18,,,,,,,,5.56,5.91,39857144
폴란드,2020-02-19,,,,,,,,5.56,5.91,39857144
폴란드,2020-02-20,,,,,,,,5.56,5.91,39857144
폴란드,2020-02-21,,,,,,,,5.56,5.91,39857144
폴란드,2020-02-22,,,,,,,,5.56,5.91,39857144
폴란드,2020-02-23,,,,,,,,5.56,5.91,39857144
폴란드,2020-02-24,,,,,,,,5.56,5.91,39857144
폴란드,2020-02-25,,,,,,,,5.56,5.91,39857144
폴란드,2020-02-26,,,,,,,,5.56,5.91,39857144
폴란드,2020-02-27,,,,,,,,11.11,5.91,39857144
폴란드,2020-02-28,,,,,,,,11.11,5.91,39857144
폴란드,2020-02-29,,,,,,,,11.11,5.91,39857144
폴란드,2020-03-01,,,,,,,,11.11,5.91,39857144
폴란드,2020-03-02,,,,,,,,11.11,5.91,39857144
폴란드,2020-03-03,,,,,,,,11.11,5.91,39857144
폴란드,2020-03-04,,,,,,,,11.11,5.91,39857144
폴란드,2020-03-05,1.0,,,,,,,11.11,5.91,39857144
폴란드,2020-03-06,1.0,,,,,,,11.11,5.91,39857144
폴란드,2020-03-07,5.0,,,,,,,11.11,5.91,39857144
폴란드,2020-03-08,6.0,,,,,,,11.11,5.91,39857144
폴란드,2020-03-09,11.0,,,,,,,13.89,5.91,39857144
폴란드,2020-03-10,17.0,,,,,,,25.0,5.91,39857144
폴란드,2020-03-11,22.0,,,,,,,25.0,5.91,39857144
폴란드,2020-03-12,31.0,,,,,,,41.67,5.91,39857144
폴란드,2020-03-13,51.0,1.0,,,,,,41.67,5.91,39857144
폴란드,2020-03-14,68.0,2.0,,,,,,49.07,5.91,39857144
폴란드,2020-03-15,103.0,3.0,2.45,,,,,57.41,5.91,39857144
폴란드,2020-03-16,124.0,3.0,2.51,,,,,57.41,5.91,39857144
폴란드,2020-03-17,176.0,4.0,2.46,,,,,57.41,5.91,39857144
폴란드,2020-03-18,237.0,5.0,2.4,,,,,57.41,5.91,39857144
폴란드,2020-03-19,285.0,5.0,2.42,0.0524,,,,57.41,5.91,39857144
폴란드,2020-03-20,353.0,5.0,2.36,0.0517,,,,57.41,5.91,39857144
폴란드,2020-03-21,423.0,5.0,2.3,0.0543,,,,57.41,5.91,39857144
폴란드,2020-03-22,534.0,5.0,2.23,0.0569,,,,57.41,5.91,39857144
폴란드,2020-03-23,633.0,7.0,2.14,0.0565,,,,57.41,5.91,39857144
폴란드,2020-03-24,748.0,8.0,2.1,0.0593,,,,57.41,5.91,39857144
폴란드,2020-03-25,900.0,10.0,2.05,0.0653,,,,57.41,5.91,39857144
폴란드,2020-03-26,1051.0,13.0,1.93,0.065,,,,57.41,5.91,39857144
폴란드,2020-03-27,1221.0,16.0,1.89,0.0636,,,,57.41,5.91,39857144
폴란드,2020-03-28,1389.0,16.0,1.87,0.0649,,,,57.41,5.91,39857144
폴란드,2020-03-29,1638.0,18.0,1.81,0.0653,,,,57.41,5.91,39857144
폴란드,2020-03-30,1862.0,22.0,1.75,0.0632,,,,57.41,5.91,39857144
폴란드,2020-03-31,2055.0,31.0,1.72,0.0627,,,,81.48,5.91,39857144
폴란드,2020-04-01,2311.0,33.0,1.72,0.0618,,,,81.48,5.91,39857144
폴란드,2020-04-02,2554.0,43.0,1.71,0.066,,,,81.48,5.91,39857144
