location,date,total_cases,total_deaths,reproduction_rate,positive_rate,total_vaccinations,people_vaccinated,people_fully_vaccinated,stringency_index,diabetes_prevalence,population
푸에르토리코,2020-01-03,,,,,,,,0.0,12.9,3252412
푸에르토리코,2020-01-04,,,,,,,,0.0,12.9,3252412
푸에르토리코,2020-01-05,,,,,,,,0.0,12.9,3252412
푸에르토리코,2020-01-06,,,,,,,,0.0,12.9,3252412
푸에르토리코,2020-01-07,,,,,,,,0.0,12.9,3252412
푸에르토리코,2020-01-08,,,,,,,,0.0,12.9,3252412
푸에르토리코,2020-01-09,,,,,,,,0.0,12.9,3252412
푸에르토리코,2020-01-10,,,,,,,,0.0,12.9,3252412
푸에르토리코,2020-01-11,,,,,,,,0.0,12.9,3252412
푸에르토리코,2020-01-12,,,,,,,,0.0,12.9,3252412
푸에르토리코,2020-01-13,,,,,,,,0.0,12.9,3252412
푸에르토리코,2020-01-14,,,,,,,,0.0,12.9,3252412
푸에르토리코,2020-01-15,,,,,,,,0.0,12.9,3252412
푸에르토리코,2020-01-16,,,,,,,,0.0,12.9,3252412
푸에르토리코,2020-01-17,,,,,,,,0.0,12.9,3252412
푸에르토리코,2020-01-18,,,,,,,,0.0,12.9,3252412
푸에르토리코,2020-01-19,,,,,,,,0.0,12.9,3252412
푸에르토리코,2020-01-20,,,,,,,,0.0,12.9,3252412
푸에르토리코,2020-01-21,,,,,,,,0.0,12.9,3252412
푸에르토리코,2020-01-22,,,,,,,,,12.9,3252412
푸에르토리코,2020-01-23,,,,,,,,,12.9,3252412
푸에르토리코,2020-01-24,,,,,,,,,12.9,3252412
푸에르토리코,2020-01-25,,,,,,,,,12.9,3252412
푸에르토리코,2020-01-26,,,,,,,,,12.9,3252412
푸에르토리코,2020-01-27,,,,,,,,,12.9,3252412
푸에르토리코,2020-01-28,,,,,,,,,12.9,3252412
푸에르토리코,2020-01-29,,,,,,,,,12.9,3252412
푸에르토리코,2020-01-30,,,,,,,,,12.9,3252412
푸에르토리코,2020-01-31,,,,,,,,,12.9,3252412
푸에르토리코,2020-02-01,,,,,,,,,12.9,3252412
푸에르토리코,2020-02-02,,,,,,,,,12.9,3252412
푸에르토리코,2020-02-03,,,,,,,,,12.9,3252412
푸에르토리코,2020-02-04,,,,,,,,,12.9,3252412
푸에르토리코,2020-02-05,,,,,,,,,12.9,3252412
푸에르토리코,2020-02-06,,,,,,,,,12.9,3252412
푸에르토리코,2020-02-07,,,,,,,,,12.9,3252412
푸에르토리코,2020-02-08,,,,,,,,,12.9,3252412
푸에르토리코,2020-02-09,,,,,,,,,12.9,3252412
푸에르토리코,2020-02-10,,,,,,,,,12.9,3252412
푸에르토리코,2020-02-11,,,,,,,,,12.9,3252412
푸에르토리코,2020-02-12,,,,,,,,,12.9,3252412
푸에르토리코,2020-02-13,,,,,,,,,12.9,3252412
푸에르토리코,2020-02-14,,,,,,,,,12.9,3252412
푸에르토리코,2020-02-15,,,,,,,,,12.9,3252412
푸에르토리코,2020-02-16,,,,,,,,,12.9,3252412
푸에르토리코,2020-02-17,,,,,,,,,12.9,3252412
푸에르토리코,2020-02-18,,,,,,,,,12.9,3252412
푸에르토리코,2020-02-19,,,,,,,,,12.9,3252412
푸에르토리코,2020-02-20,,,,,,,,,12.9,3252412
푸에르토리코,2020-02-21,,,,,,,,,12.9,3252412
푸에르토리코,2020-02-22,,,,,,,,,12.9,3252412
푸에르토리코,2020-02-23,,,,,,,,,12.9,3252412
푸에르토리코,2020-02-24,,,,,,,,,12.9,3252412
푸에르토리코,2020-02-25,,,,,,,,,12.9,3252412
푸에르토리코,2020-02-26,,,,,,,,,12.9,3252412
푸에르토리코,2020-02-27,,,,,,,,,12.9,3252412
푸에르토리코,2020-02-28,,,,,,,,,12.9,3252412
푸에르토리코,2020-02-29,,,,,,,,,12.9,3252412
푸에르토리코,2020-03-01,,,,,,,,,12.9,3252412
