location,date,total_cases,total_deaths,reproduction_rate,positive_rate,total_vaccinations,people_vaccinated,people_fully_vaccinated,stringency_index,diabetes_prevalence,population
프랑스,2020-01-03,,,,,,,,0.0,4.77,67813000
프랑스,2020-01-04,,,,,,,,0.0,4.77,67813000
프랑스,2020-01-05,,,,,,,,0.0,4.77,67813000
프랑스,2020-01-06,,,,,,,,0.0,4.77,67813000
프랑스,2020-01-07,,,,,,,,0.0,4.77,67813000
프랑스,2020-01-08,,,,,,,,0.0,4.77,67813000
프랑스,2020-01-09,,,,,,,,0.0,4.77,67813000
프랑스,2020-01-10,,,,,,,,0.0,4.77,67813000
프랑스,2020-01-11,,,,,,,,0.0,4.77,67813000
프랑스,2020-01-12,,,,,,,,0.0,4.77,67813000
프랑스,2020-01-13,,,,,,,,0.0,4.77,67813000
프랑스,2020-01-14,,,,,,,,0.0,4.77,67813000
프랑스,2020-01-15,,,,,,,,0.0,4.77,67813000
프랑스,2020-01-16,,,,,,,,0.0,4.77,67813000
프랑스,2020-01-17,,,,,,,,0.0,4.77,67813000
프랑스,2020-01-18,,,,,,,,0.0,4.77,67813000
프랑스,2020-01-19,,,,,,,,0.0,4.77,67813000
프랑스,2020-01-20,,,,,,,,0.0,4.77,67813000
프랑스,2020-01-21,,,,,,,,0.0,4.77,67813000
프랑스,2020-01-22,,,,,,,,2.78,4.77,67813000
프랑스,2020-01-23,,,,,,,,2.78,4.77,67813000
프랑스,2020-01-24,,,,,,,,5.56,4.77,67813000
프랑스,2020-01-25,,,,,,,,5.56,4.77,67813000
프랑스,2020-01-26,3.0,,,,,,,5.56,4.77,67813000
프랑스,2020-01-27,3.0,,,,,,,5.56,4.77,67813000
프랑스,2020-01-28,3.0,,,,,,,5.56,4.77,67813000
프랑스,2020-01-29,3.0,,,,,,,5.56,4.77,67813000
프랑스,2020-01-30,3.0,,,,,,,5.56,4.77,67813000
프랑스,2020-01-31,3.0,,,,,,,5.56,4.77,67813000
프랑스,2020-02-01,3.0,,,,,,,5.56,4.77,67813000
프랑스,2020-02-02,6.0,,,,,,,5.56,4.77,67813000
프랑스,2020-02-03,6.0,,,,,,,5.56,4.77,67813000
프랑스,2020-02-04,6.0,,,,,,,5.56,4.77,67813000
프랑스,2020-02-05,6.0,,,,,,,5.56,4.77,67813000
프랑스,2020-02-06,6.0,,,,,,,5.56,4.77,67813000
프랑스,2020-02-07,6.0,,,,,,,5.56,4.77,67813000
프랑스,2020-02-08,6.0,,,,,,,5.56,4.77,67813000
프랑스,2020-02-09,12.0,,,,,,,5.56,4.77,67813000
프랑스,2020-02-10,12.0,,,,,,,5.56,4.77,67813000
프랑스,2020-02-11,12.0,,,,,,,5.56,4.77,67813000
프랑스,2020-02-12,12.0,,,,,,,5.56,4.77,67813000
프랑스,2020-02-13,12.0,,,,,,,5.56,4.77,67813000
프랑스,2020-02-14,12.0,,,,,,,5.56,4.77,67813000
프랑스,2020-02-15,12.0,,,,,,,5.56,4.77,67813000
프랑스,2020-02-16,12.0,,,,,,,5.56,4.77,67813000
프랑스,2020-02-17,12.0,,,,,,,5.56,4.77,67813000
프랑스,2020-02-18,12.0,,,,,,,5.56,4.77,67813000
프랑스,2020-02-19,12.0,,,,,,,5.56,4.77,67813000
프랑스,2020-02-20,12.0,,,,,,,5.56,4.77,67813000
프랑스,2020-02-21,12.0,,,,,,,5.56,4.77,67813000
프랑스,2020-02-22,12.0,,,,,,,5.56,4.77,67813000
프랑스,2020-02-23,16.0,,,,,,,5.56,4.77,67813000
프랑스,2020-02-24,16.0,,,,,,,5.56,4.77,67813000
프랑스,2020-02-25,16.0,,,,,,,13.89,4.77,67813000
프랑스,2020-02-26,16.0,,,,,,,13.89,4.77,67813000
프랑스,2020-02-27,16.0,,,,,,,13.89,4.77,67813000
프랑스,2020-02-28,16.0,,,,,,,13.89,4.77,67813000
프랑스,2020-02-29,16.0,,,,,,,34.72,4.77,67813000
프랑스,2020-03-01,16.0,,3.04,,,,,34.72,4.77,67813000
프랑스,2020-03-02,16.0,,3.03,,,,,43.98,4.77,67813000
프랑스,2020-03-03,16.0,,3.03,,,,,43.98,4.77,67813000
프랑스,2020-03-04,16.0,,3.06,,,,,43.98,4.77,67813000
프랑스,2020-03-05,16.0,,3.09,,,,,43.98,4.77,67813000
프랑스,2020-03-06,16.0,,3.06,,,,,43.98,4.77,67813000
프랑스,2020-03-07,16.0,,3.04,,,,,43.98,4.77,67813000
프랑스,2020-03-08,16.0,,2.96,,,,,43.98,4.77,67813000
프랑스,2020-03-09,16.0,,2.89,,,,,43.98,4.77,67813000
프랑스,2020-03-10,16.0,,2.85,,,,,43.98,4.77,67813000
프랑스,2020-03-11,16.0,,2.8,,,,,43.98,4.77,67813000
프랑스,2020-03-12,16.0,,2.74,,,,,43.98,4.77,67813000
프랑스,2020-03-13,16.0,,2.75,,,,,43.98,4.77,67813000
프랑스,2020-03-14,16.0,,2.67,,,,,49.54,4.77,67813000
프랑스,2020-03-15,16.0,43.0,2.6,,,,,49.54,4.77,67813000
프랑스,2020-03-16,16.0,43.0,2.56,,,,,56.94,4.77,67813000
프랑스,2020-03-17,16.0,43.0,2.46,,,,,87.96,4.77,67813000
프랑스,2020-03-18,16.0,43.0,2.36,,,,,87.96,4.77,67813000
프랑스,2020-03-19,16.0,43.0,2.27,,,,,87.96,4.77,67813000
프랑스,2020-03-20,16.0,43.0,2.18,,,,,87.96,4.77,67813000
프랑스,2020-03-21,16.0,43.0,2.12,,,,,87.96,4.77,67813000
프랑스,2020-03-22,16.0,713.0,2.07,,,,,87.96,4.77,67813000
프랑스,2020-03-23,16.0,713.0,2.0,,,,,87.96,4.77,67813000
프랑스,2020-03-24,16.0,713.0,1.93,,,,,87.96,4.77,67813000
프랑스,2020-03-25,16.0,713.0,1.87,,,,,87.96,4.77,67813000
프랑스,2020-03-26,16.0,713.0,1.81,,,,,87.96,4.77,67813000
프랑스,2020-03-27,16.0,713.0,1.74,,,,,87.96,4.77,67813000
프랑스,2020-03-28,16.0,713.0,1.69,,,,,87.96,4.77,67813000
프랑스,2020-03-29,16.0,2712.0,1.63,,,,,87.96,4.77,67813000
프랑스,2020-03-30,16.0,2712.0,1.57,,,,,87.96,4.77,67813000
