location,date,total_cases,total_deaths,reproduction_rate,positive_rate,total_vaccinations,people_vaccinated,people_fully_vaccinated,stringency_index,diabetes_prevalence,population
프랑스령 폴리네시아,2020-01-03,,,,,,,,,22.63,306292
프랑스령 폴리네시아,2020-01-04,,,,,,,,,22.63,306292
프랑스령 폴리네시아,2020-01-05,,,,,,,,,22.63,306292
프랑스령 폴리네시아,2020-01-06,,,,,,,,,22.63,306292
프랑스령 폴리네시아,2020-01-07,,,,,,,,,22.63,306292
프랑스령 폴리네시아,2020-01-08,,,,,,,,,22.63,306292
프랑스령 폴리네시아,2020-01-09,,,,,,,,,22.63,306292
프랑스령 폴리네시아,2020-01-10,,,,,,,,,22.63,306292
프랑스령 폴리네시아,2020-01-11,,,,,,,,,22.63,306292
프랑스령 폴리네시아,2020-01-12,,,,,,,,,22.63,306292
프랑스령 폴리네시아,2020-01-13,,,,,,,,,22.63,306292
프랑스령 폴리네시아,2020-01-14,,,,,,,,,22.63,306292
프랑스령 폴리네시아,2020-01-15,,,,,,,,,22.63,306292
프랑스령 폴리네시아,2020-01-16,,,,,,,,,22.63,306292
프랑스령 폴리네시아,2020-01-17,,,,,,,,,22.63,306292
프랑스령 폴리네시아,2020-01-18,,,,,,,,,22.63,306292
프랑스령 폴리네시아,2020-01-19,,,,,,,,,22.63,306292
프랑스령 폴리네시아,2020-01-20,,,,,,,,,22.63,306292
프랑스령 폴리네시아,2020-01-21,,,,,,,,,22.63,306292
프랑스령 폴리네시아,2020-01-22,,,,,,,,,22.63,306292
프랑스령 폴리네시아,2020-01-23,,,,,,,,,22.63,306292
프랑스령 폴리네시아,2020-01-24,,,,,,,,,22.63,306292
프랑스령 폴리네시아,2020-01-25,,,,,,,,,22.63,306292
프랑스령 폴리네시아,2020-01-26,,,,,,,,,22.63,306292
프랑스령 폴리네시아,2020-01-27,,,,,,,,,22.63,306292
프랑스령 폴리네시아,2020-01-28,,,,,,,,,22.63,306292
프랑스령 폴리네시아,2020-01-29,,,,,,,,,22.63,306292
프랑스령 폴리네시아,2020-01-30,,,,,,,,,22.63,306292
프랑스령 폴리네시아,2020-01-31,,,,,,,,,22.63,306292
프랑스령 폴리네시아,2020-02-01,,,,,,,,,22.63,306292
프랑스령 폴리네시아,2020-02-02,,,,,,,,,22.63,306292
프랑스령 폴리네시아,2020-02-03,,,,,,,,,22.63,306292
프랑스령 폴리네시아,2020-02-04,,,,,,,,,22.63,306292
프랑스령 폴리네시아,2020-02-05,,,,,,,,,22.63,306292
프랑스령 폴리네시아,2020-02-06,,,,,,,,,22.63,306292
프랑스령 폴리네시아,2020-02-07,,,,,,,,,22.63,306292
프랑스령 폴리네시아,2020-02-08,,,,,,,,,22.63,306292
프랑스령 폴리네시아,2020-02-09,,,,,,,,,22.63,306292
프랑스령 폴리네시아,2020-02-10,,,,,,,,,22.63,306292
프랑스령 폴리네시아,2020-02-11,,,,,,,,,22.63,306292
프랑스령 폴리네시아,2020-02-12,,,,,,,,,22.63,306292
프랑스령 폴리네시아,2020-02-13,,,,,,,,,22.63,306292
프랑스령 폴리네시아,2020-02-14,,,,,,,,,22.63,306292
프랑스령 폴리네시아,2020-02-15,,,,,,,,,22.63,306292
프랑스령 폴리네시아,2020-02-16,,,,,,,,,22.63,306292
프랑스령 폴리네시아,2020-02-17,,,,,,,,,22.63,306292
프랑스령 폴리네시아,2020-02-18,,,,,,,,,22.63,306292
프랑스령 폴리네시아,2020-02-19,,,,,,,,,22.63,306292
프랑스령 폴리네시아,2020-02-20,,,,,,,,,22.63,306292
프랑스령 폴리네시아,2020-02-21,,,,,,,,,22.63,306292
프랑스령 폴리네시아,2020-02-22,,,,,,,,,22.63,306292
프랑스령 폴리네시아,2020-02-23,,,,,,,,,22.63,306292
프랑스령 폴리네시아,2020-02-24,,,,,,,,,22.63,306292
프랑스령 폴리네시아,2020-02-25,,,,,,,,,22.63,306292
프랑스령 폴리네시아,2020-02-26,,,,,,,,,22.63,306292
프랑스령 폴리네시아,2020-02-27,,,,,,,,,22.63,306292
프랑스령 폴리네시아,2020-02-28,,,,,,,,,22.63,306292
프랑스령 폴리네시아,2020-02-29,,,,,,,,,22.63,306292
프랑스령 폴리네시아,2020-03-01,,,,,,,,,22.63,306292
프랑스령 폴리네시아,2020-03-02,,,,,,,,,22.63,306292
프랑스령 폴리네시아,2020-03-03,,,,,,,,,22.63,306292
프랑스령 폴리네시아,2020-03-04,,,,,,,,,22.63,306292
프랑스령 폴리네시아,2020-03-05,,,,,,,,,22.63,306292
프랑스령 폴리네시아,2020-03-06,,,,,,,,,22.63,306292
프랑스령 폴리네시아,2020-03-07,,,,,,,,,22.63,306292
프랑스령 폴리네시아,2020-03-08,,,,,,,,,22.63,306292
프랑스령 폴리네시아,2020-03-09,,,,,,,,,22.63,306292
프랑스령 폴리네시아,2020-03-10,1.0,,,,,,,,22.63,306292
프랑스령 폴리네시아,2020-03-11,1.0,,,,,,,,22.63,306292
프랑스령 폴리네시아,2020-03-12,3.0,,,,,,,,22.63,306292
프랑스령 폴리네시아,2020-03-13,3.0,,,,,,,,22.63,306292
프랑스령 폴리네시아,2020-03-14,3.0,,,,,,,,22.63,306292
프랑스령 폴리네시아,2020-03-15,3.0,,,,,,,,22.63,306292
프랑스령 폴리네시아,2020-03-16,3.0,,,,,,,,22.63,306292
프랑스령 폴리네시아,2020-03-17,3.0,,,,,,,,22.63,306292
프랑스령 폴리네시아,2020-03-18,6.0,,,,,,,,22.63,306292
프랑스령 폴리네시아,2020-03-19,11.0,,,,,,,,22.63,306292
프랑스령 폴리네시아,2020-03-20,15.0,,,,,,,,22.63,306292
프랑스령 폴리네시아,2020-03-21,17.0,,,,,,,,22.63,306292
프랑스령 폴리네시아,2020-03-22,18.0,,,,,,,,22.63,306292
프랑스령 폴리네시아,2020-03-23,23.0,,,,,,,,22.63,306292
프랑스령 폴리네시아,2020-03-24,25.0,,,,,,,,22.63,306292
프랑스령 폴리네시아,2020-03-25,25.0,,,,,,,,22.63,306292
프랑스령 폴리네시아,2020-03-26,30.0,,,,,,,,22.63,306292
프랑스령 폴리네시아,2020-03-27,30.0,,,,,,,,22.63,306292
프랑스령 폴리네시아,2020-03-28,34.0,,,,,,,,22.63,306292
프랑스령 폴리네시아,2020-03-29,35.0,,,,,,,,22.63,306292
프랑스령 폴리네시아,2020-03-30,35.0,,,,,,,,22.63,306292
프랑스령 폴리네시아,2020-03-31,36.0,,,,,,,,22.63,306292
프랑스령 폴리네시아,2020-04-01,37.0,,,,,,,,22.63,306292
