location,date,total_cases,total_deaths,reproduction_rate,positive_rate,total_vaccinations,people_vaccinated,people_fully_vaccinated,stringency_index,diabetes_prevalence,population
피지,2020-01-03,,,,,,,,0.0,14.49,929769
피지,2020-01-04,,,,,,,,0.0,14.49,929769
피지,2020-01-05,,,,,,,,0.0,14.49,929769
피지,2020-01-06,,,,,,,,0.0,14.49,929769
피지,2020-01-07,,,,,,,,0.0,14.49,929769
피지,2020-01-08,,,,,,,,0.0,14.49,929769
피지,2020-01-09,,,,,,,,0.0,14.49,929769
피지,2020-01-10,,,,,,,,0.0,14.49,929769
피지,2020-01-11,,,,,,,,0.0,14.49,929769
피지,2020-01-12,,,,,,,,0.0,14.49,929769
피지,2020-01-13,,,,,,,,0.0,14.49,929769
피지,2020-01-14,,,,,,,,0.0,14.49,929769
피지,2020-01-15,,,,,,,,0.0,14.49,929769
피지,2020-01-16,,,,,,,,0.0,14.49,929769
피지,2020-01-17,,,,,,,,0.0,14.49,929769
피지,2020-01-18,,,,,,,,0.0,14.49,929769
피지,2020-01-19,,,,,,,,0.0,14.49,929769
피지,2020-01-20,,,,,,,,0.0,14.49,929769
피지,2020-01-21,,,,,,,,0.0,14.49,929769
피지,2020-01-22,,,,,,,,11.11,14.49,929769
피지,2020-01-23,,,,,,,,11.11,14.49,929769
피지,2020-01-24,,,,,,,,11.11,14.49,929769
피지,2020-01-25,,,,,,,,11.11,14.49,929769
피지,2020-01-26,,,,,,,,11.11,14.49,929769
피지,2020-01-27,,,,,,,,11.11,14.49,929769
피지,2020-01-28,,,,,,,,11.11,14.49,929769
피지,2020-01-29,,,,,,,,11.11,14.49,929769
피지,2020-01-30,,,,,,,,11.11,14.49,929769
피지,2020-01-31,,,,,,,,11.11,14.49,929769
피지,2020-02-01,,,,,,,,11.11,14.49,929769
피지,2020-02-02,,,,,,,,11.11,14.49,929769
피지,2020-02-03,,,,,,,,19.44,14.49,929769
피지,2020-02-04,,,,,,,,19.44,14.49,929769
피지,2020-02-05,,,,,,,,19.44,14.49,929769
피지,2020-02-06,,,,,,,,19.44,14.49,929769
피지,2020-02-07,,,,,,,,19.44,14.49,929769
피지,2020-02-08,,,,,,,,19.44,14.49,929769
피지,2020-02-09,,,,,,,,19.44,14.49,929769
피지,2020-02-10,,,,,,,,19.44,14.49,929769
피지,2020-02-11,,,,,,,,19.44,14.49,929769
피지,2020-02-12,,,,,,,,19.44,14.49,929769
피지,2020-02-13,,,,,,,,19.44,14.49,929769
피지,2020-02-14,,,,,,,,19.44,14.49,929769
피지,2020-02-15,,,,,,,,19.44,14.49,929769
피지,2020-02-16,,,,,,,,19.44,14.49,929769
피지,2020-02-17,,,,,,,,19.44,14.49,929769
피지,2020-02-18,,,,,,,,19.44,14.49,929769
피지,2020-02-19,,,,,,,,19.44,14.49,929769
피지,2020-02-20,,,,,,,,19.44,14.49,929769
피지,2020-02-21,,,,,,,,19.44,14.49,929769
피지,2020-02-22,,,,,,,,19.44,14.49,929769
피지,2020-02-23,,,,,,,,19.44,14.49,929769
피지,2020-02-24,,,,,,,,19.44,14.49,929769
피지,2020-02-25,,,,,,,,19.44,14.49,929769
피지,2020-02-26,,,,,,,,19.44,14.49,929769
피지,2020-02-27,,,,,,,,19.44,14.49,929769
피지,2020-02-28,,,,,,,,19.44,14.49,929769
피지,2020-02-29,,,,,,,,19.44,14.49,929769
피지,2020-03-01,,,,,,,,19.44,14.49,929769
피지,2020-03-02,,,,,,,,19.44,14.49,929769
피지,2020-03-03,,,,,,,,19.44,14.49,929769
피지,2020-03-04,,,,,,,,19.44,14.49,929769
피지,2020-03-05,,,,,,,,19.44,14.49,929769
피지,2020-03-06,,,,,,,,19.44,14.49,929769
피지,2020-03-07,,,,,,,,19.44,14.49,929769
피지,2020-03-08,,,,,,,,19.44,14.49,929769
피지,2020-03-09,,,,,,,,19.44,14.49,929769
피지,2020-03-10,,,,,,,,19.44,14.49,929769
피지,2020-03-11,,,,,,,,19.44,14.49,929769
피지,2020-03-12,,,,,,,,19.44,14.49,929769
피지,2020-03-13,,,,,,,,19.44,14.49,929769
피지,2020-03-14,,,,,,,,19.44,14.49,929769
피지,2020-03-15,,,,,,,,19.44,14.49,929769
피지,2020-03-16,,,,,,,,30.56,14.49,929769
피지,2020-03-17,,,,,,,,30.56,14.49,929769
피지,2020-03-18,,,,,,,,30.56,14.49,929769
피지,2020-03-19,1.0,,,,,,,79.63,14.49,929769
피지,2020-03-20,1.0,,,,,,,79.63,14.49,929769
피지,2020-03-21,2.0,,,,,,,79.63,14.49,929769
피지,2020-03-22,2.0,,,,,,,79.63,14.49,929769
피지,2020-03-23,2.0,,,,,,,81.48,14.49,929769
피지,2020-03-24,4.0,,,,,,,81.48,14.49,929769
피지,2020-03-25,5.0,,,,,,,81.48,14.49,929769
피지,2020-03-26,5.0,,,,,,,81.48,14.49,929769
피지,2020-03-27,5.0,,,,,,,81.48,14.49,929769
피지,2020-03-28,5.0,,,,,,,81.48,14.49,929769
피지,2020-03-29,5.0,,,,,,,84.26,14.49,929769
피지,2020-03-30,5.0,,,,,,,86.11,14.49,929769
피지,2020-03-31,5.0,,,,,,,86.11,14.49,929769
피지,2020-04-01,5.0,,,,,,,86.11,14.49,929769
피지,2020-04-02,5.0,,,,,,,86.11,14.49,929769
피지,2020-04-03,7.0,,,,,,,86.11,14.49,929769
피지,2020-04-04,7.0,,,,,,,86.11,14.49,929769
피지,2020-04-05,12.0,,,,,,,86.11,14.49,929769
피지,2020-04-06,12.0,,,,,,,86.11,14.49,929769
피지,2020-04-07,15.0,,,,,,,86.11,14.49,929769
피지,2020-04-08,15.0,,,,,,,86.11,14.49,929769
피지,2020-04-09,15.0,,,,,,,86.11,14.49,929769
피지,2020-04-10,15.0,,,,,,,86.11,14.49,929769
피지,2020-04-11,16.0,,,,,,,86.11,14.49,929769
피지,2020-04-12,16.0,,,,,,,86.11,14.49,929769
피지,2020-04-13,16.0,,,,,,,86.11,14.49,929769
피지,2020-04-14,16.0,,,,,,,86.11,14.49,929769
피지,2020-04-15,16.0,,,,,,,86.11,14.49,929769
피지,2020-04-16,16.0,,,,,,,86.11,14.49,929769
피지,2020-04-17,17.0,,,,,,,86.11,14.49,929769
피지,2020-04-18,17.0,,,,,,,86.11,14.49,929769
피지,2020-04-19,17.0,,,,,,,86.11,14.49,929769
피지,2020-04-20,17.0,,,,,,,86.11,14.49,929769
피지,2020-04-21,18.0,,,,,,,86.11,14.49,929769
피지,2020-04-22,18.0,,,,,,,86.11,14.49,929769
피지,2020-04-23,18.0,,,,,,,86.11,14.49,929769
피지,2020-04-24,18.0,,,,,,,86.11,14.49,929769
피지,2020-04-25,18.0,,,,,,,86.11,14.49,929769
피지,2020-04-26,18.0,,,,,,,80.56,14.49,929769
피지,2020-04-27,18.0,,,,,,,80.56,14.49,929769
피지,2020-04-28,18.0,,,,,,,80.56,14.49,929769
피지,2020-04-29,18.0,,,,,,,80.56,14.49,929769
피지,2020-04-30,18.0,,,,,,,80.56,14.49,929769
피지,2020-05-01,18.0,,,,,,,80.56,14.49,929769
피지,2020-05-02,18.0,,,,,,,80.56,14.49,929769
피지,2020-05-03,18.0,,,,,,,80.56,14.49,929769
피지,2020-05-04,18.0,,,,,,,80.56,14.49,929769
피지,2020-05-05,18.0,,,,,,,80.56,14.49,929769
피지,2020-05-06,18.0,,,,,,,80.56,14.49,929769
피지,2020-05-07,18.0,,,,,,,80.56,14.49,929769
피지,2020-05-08,18.0,,,,,,,80.56,14.49,929769
피지,2020-05-09,18.0,,,,,,,80.56,14.49,929769
피지,2020-05-10,18.0,,,,,,,80.56,14.49,929769
피지,2020-05-11,18.0,,,,,,,80.56,14.49,929769
피지,2020-05-12,18.0,,,,,,,80.56,14.49,929769
피지,2020-05-13,18.0,,,,,,,80.56,14.49,929769
피지,2020-05-14,18.0,,,,,,,80.56,14.49,929769
피지,2020-05-15,18.0,,,,,,,70.37,14.49,929769
피지,2020-05-16,18.0,,,,,,,70.37,14.49,929769
피지,2020-05-17,18.0,,,,,,,70.37,14.49,929769
