location,date,total_cases,total_deaths,reproduction_rate,positive_rate,total_vaccinations,people_vaccinated,people_fully_vaccinated,stringency_index,diabetes_prevalence,population
필리핀,2020-01-03,,,,,,,,0.0,7.07,115559008
필리핀,2020-01-04,,,,,,,,0.0,7.07,115559008
필리핀,2020-01-05,,,,,,,,0.0,7.07,115559008
필리핀,2020-01-06,,,,,,,,0.0,7.07,115559008
필리핀,2020-01-07,,,,,,,,0.0,7.07,115559008
필리핀,2020-01-08,,,,,,,,0.0,7.07,115559008
필리핀,2020-01-09,,,,,,,,0.0,7.07,115559008
필리핀,2020-01-10,,,,,,,,0.0,7.07,115559008
필리핀,2020-01-11,,,,,,,,0.0,7.07,115559008
필리핀,2020-01-12,,,,,,,,0.0,7.07,115559008
필리핀,2020-01-13,,,,,,,,0.0,7.07,115559008
필리핀,2020-01-14,,,,,,,,0.0,7.07,115559008
필리핀,2020-01-15,,,,,,,,0.0,7.07,115559008
필리핀,2020-01-16,,,,,,,,0.0,7.07,115559008
필리핀,2020-01-17,,,,,,,,0.0,7.07,115559008
필리핀,2020-01-18,,,,,,,,0.0,7.07,115559008
필리핀,2020-01-19,,,,,,,,0.0,7.07,115559008
필리핀,2020-01-20,,,,,,,,0.0,7.07,115559008
필리핀,2020-01-21,,,,,,,,0.0,7.07,115559008
필리핀,2020-01-22,,,,,,,,0.0,7.07,115559008
필리핀,2020-01-23,,,,,,,,0.0,7.07,115559008
필리핀,2020-01-24,,,,,,,,11.11,7.07,115559008
필리핀,2020-01-25,,,,,,,,11.11,7.07,115559008
필리핀,2020-01-26,,,,,,,,11.11,7.07,115559008
필리핀,2020-01-27,,,,,,,,11.11,7.07,115559008
필리핀,2020-01-28,,,,,,,,11.11,7.07,115559008
필리핀,2020-01-29,,,,,,,,11.11,7.07,115559008
필리핀,2020-01-30,,,,,,,,11.11,7.07,115559008
필리핀,2020-01-31,1.0,,,,,,,19.44,7.07,115559008
필리핀,2020-02-01,1.0,,,,,,,19.44,7.07,115559008
필리핀,2020-02-02,1.0,1.0,,,,,,19.44,7.07,115559008
필리핀,2020-02-03,2.0,1.0,,,,,,19.44,7.07,115559008
필리핀,2020-02-04,2.0,1.0,,,,,,19.44,7.07,115559008
필리핀,2020-02-05,2.0,1.0,,,,,,19.44,7.07,115559008
필리핀,2020-02-06,3.0,1.0,,,,,,19.44,7.07,115559008
필리핀,2020-02-07,3.0,1.0,,,,,,25.0,7.07,115559008
필리핀,2020-02-08,3.0,1.0,,,,,,25.0,7.07,115559008
필리핀,2020-02-09,3.0,1.0,,,,,,25.0,7.07,115559008
필리핀,2020-02-10,3.0,1.0,,,,,,25.0,7.07,115559008
