location,date,total_cases,total_deaths,reproduction_rate,positive_rate,total_vaccinations,people_vaccinated,people_fully_vaccinated,stringency_index,diabetes_prevalence,population
핏케언 제도,2020-01-03,,,,,,,,,,47
핏케언 제도,2020-01-04,,,,,,,,,,47
핏케언 제도,2020-01-05,,,,,,,,,,47
핏케언 제도,2020-01-06,,,,,,,,,,47
핏케언 제도,2020-01-07,,,,,,,,,,47
핏케언 제도,2020-01-08,,,,,,,,,,47
핏케언 제도,2020-01-09,,,,,,,,,,47
핏케언 제도,2020-01-10,,,,,,,,,,47
핏케언 제도,2020-01-11,,,,,,,,,,47
핏케언 제도,2020-01-12,,,,,,,,,,47
핏케언 제도,2020-01-13,,,,,,,,,,47
핏케언 제도,2020-01-14,,,,,,,,,,47
핏케언 제도,2020-01-15,,,,,,,,,,47
핏케언 제도,2020-01-16,,,,,,,,,,47
핏케언 제도,2020-01-17,,,,,,,,,,47
핏케언 제도,2020-01-18,,,,,,,,,,47
핏케언 제도,2020-01-19,,,,,,,,,,47
핏케언 제도,2020-01-20,,,,,,,,,,47
핏케언 제도,2020-01-21,,,,,,,,,,47
핏케언 제도,2020-01-22,,,,,,,,,,47
핏케언 제도,2020-01-23,,,,,,,,,,47
핏케언 제도,2020-01-24,,,,,,,,,,47
핏케언 제도,2020-01-25,,,,,,,,,,47
핏케언 제도,2020-01-26,,,,,,,,,,47
핏케언 제도,2020-01-27,,,,,,,,,,47
핏케언 제도,2020-01-28,,,,,,,,,,47
핏케언 제도,2020-01-29,,,,,,,,,,47
핏케언 제도,2020-01-30,,,,,,,,,,47
핏케언 제도,2020-01-31,,,,,,,,,,47
핏케언 제도,2020-02-01,,,,,,,,,,47
핏케언 제도,2020-02-02,,,,,,,,,,47
핏케언 제도,2020-02-03,,,,,,,,,,47
핏케언 제도,2020-02-04,,,,,,,,,,47
핏케언 제도,2020-02-05,,,,,,,,,,47
핏케언 제도,2020-02-06,,,,,,,,,,47
핏케언 제도,2020-02-07,,,,,,,,,,47
핏케언 제도,2020-02-08,,,,,,,,,,47
핏케언 제도,2020-02-09,,,,,,,,,,47
핏케언 제도,2020-02-10,,,,,,,,,,47
핏케언 제도,2020-02-11,,,,,,,,,,47
핏케언 제도,2020-02-12,,,,,,,,,,47
핏케언 제도,2020-02-13,,,,,,,,,,47
핏케언 제도,2020-02-14,,,,,,,,,,47
핏케언 제도,2020-02-15,,,,,,,,,,47
핏케언 제도,2020-02-16,,,,,,,,,,47
핏케언 제도,2020-02-17,,,,,,,,,,47
핏케언 제도,2020-02-18,,,,,,,,,,47
핏케언 제도,2020-02-19,,,,,,,,,,47
핏케언 제도,2020-02-20,,,,,,,,,,47
핏케언 제도,2020-02-21,,,,,,,,,,47
핏케언 제도,2020-02-22,,,,,,,,,,47
핏케언 제도,2020-02-23,,,,,,,,,,47
핏케언 제도,2020-02-24,,,,,,,,,,47
핏케언 제도,2020-02-25,,,,,,,,,,47
핏케언 제도,2020-02-26,,,,,,,,,,47
핏케언 제도,2020-02-27,,,,,,,,,,47
핏케언 제도,2020-02-28,,,,,,,,,,47
핏케언 제도,2020-02-29,,,,,,,,,,47
핏케언 제도,2020-03-01,,,,,,,,,,47
핏케언 제도,2020-03-02,,,,,,,,,,47
핏케언 제도,2020-03-03,,,,,,,,,,47
핏케언 제도,2020-03-04,,,,,,,,,,47
핏케언 제도,2020-03-05,,,,,,,,,,47
핏케언 제도,2020-03-06,,,,,,,,,,47
핏케언 제도,2020-03-07,,,,,,,,,,47
핏케언 제도,2020-03-08,,,,,,,,,,47
핏케언 제도,2020-03-09,,,,,,,,,,47
핏케언 제도,2020-03-10,,,,,,,,,,47
핏케언 제도,2020-03-11,,,,,,,,,,47
핏케언 제도,2020-03-12,,,,,,,,,,47
핏케언 제도,2020-03-13,,,,,,,,,,47
핏케언 제도,2020-03-14,,,,,,,,,,47
핏케언 제도,2020-03-15,,,,,,,,,,47
핏케언 제도,2020-03-16,,,,,,,,,,47
핏케언 제도,2020-03-17,,,,,,,,,,47
핏케언 제도,2020-03-18,,,,,,,,,,47
핏케언 제도,2020-03-19,,,,,,,,,,47
핏케언 제도,2020-03-20,,,,,,,,,,47
핏케언 제도,2020-03-21,,,,,,,,,,47
핏케언 제도,2020-03-22,,,,,,,,,,47
핏케언 제도,2020-03-23,,,,,,,,,,47
핏케언 제도,2020-03-24,,,,,,,,,,47
핏케언 제도,2020-03-25,,,,,,,,,,47
핏케언 제도,2020-03-26,,,,,,,,,,47
핏케언 제도,2020-03-27,,,,,,,,,,47
핏케언 제도,2020-03-28,,,,,,,,,,47
핏케언 제도,2020-03-29,,,,,,,,,,47
핏케언 제도,2020-03-30,,,,,,,,,,47
핏케언 제도,2020-03-31,,,,,,,,,,47
핏케언 제도,2020-04-01,,,,,,,,,,47
핏케언 제도,2020-04-02,,,,,,,,,,47
핏케언 제도,2020-04-03,,,,,,,,,,47
핏케언 제도,2020-04-04,,,,,,,,,,47
핏케언 제도,2020-04-05,,,,,,,,,,47
핏케언 제도,2020-04-06,,,,,,,,,,47
핏케언 제도,2020-04-07,,,,,,,,,,47
핏케언 제도,2020-04-08,,,,,,,,,,47
핏케언 제도,2020-04-09,,,,,,,,,,47
핏케언 제도,2020-04-10,,,,,,,,,,47
핏케언 제도,2020-04-11,,,,,,,,,,47
핏케언 제도,2020-04-12,,,,,,,,,,47
핏케언 제도,2020-04-13,,,,,,,,,,47
핏케언 제도,2020-04-14,,,,,,,,,,47
핏케언 제도,2020-04-15,,,,,,,,,,47
핏케언 제도,2020-04-16,,,,,,,,,,47
핏케언 제도,2020-04-17,,,,,,,,,,47
핏케언 제도,2020-04-18,,,,,,,,,,47
핏케언 제도,2020-04-19,,,,,,,,,,47
핏케언 제도,2020-04-20,,,,,,,,,,47
핏케언 제도,2020-04-21,,,,,,,,,,47
핏케언 제도,2020-04-22,,,,,,,,,,47
핏케언 제도,2020-04-23,,,,,,,,,,47
핏케언 제도,2020-04-24,,,,,,,,,,47
핏케언 제도,2020-04-25,,,,,,,,,,47
핏케언 제도,2020-04-26,,,,,,,,,,47
핏케언 제도,2020-04-27,,,,,,,,,,47
핏케언 제도,2020-04-28,,,,,,,,,,47
핏케언 제도,2020-04-29,,,,,,,,,,47
핏케언 제도,2020-04-30,,,,,,,,,,47
핏케언 제도,2020-05-01,,,,,,,,,,47
핏케언 제도,2020-05-02,,,,,,,,,,47
핏케언 제도,2020-05-03,,,,,,,,,,47
핏케언 제도,2020-05-04,,,,,,,,,,47
핏케언 제도,2020-05-05,,,,,,,,,,47
핏케언 제도,2020-05-06,,,,,,,,,,47
핏케언 제도,2020-05-07,,,,,,,,,,47
핏케언 제도,2020-05-08,,,,,,,,,,47
핏케언 제도,2020-05-09,,,,,,,,,,47
핏케언 제도,2020-05-10,,,,,,,,,,47
핏케언 제도,2020-05-11,,,,,,,,,,47
핏케언 제도,2020-05-12,,,,,,,,,,47
핏케언 제도,2020-05-13,,,,,,,,,,47
핏케언 제도,2020-05-14,,,,,,,,,,47
핏케언 제도,2020-05-15,,,,,,,,,,47
핏케언 제도,2020-05-16,,,,,,,,,,47
핏케언 제도,2020-05-17,,,,,,,,,,47
핏케언 제도,2020-05-18,,,,,,,,,,47
핏케언 제도,2020-05-19,,,,,,,,,,47
핏케언 제도,2020-05-20,,,,,,,,,,47
핏케언 제도,2020-05-21,,,,,,,,,,47
핏케언 제도,2020-05-22,,,,,,,,,,47
핏케언 제도,2020-05-23,,,,,,,,,,47
핏케언 제도,2020-05-24,,,,,,,,,,47
핏케언 제도,2020-05-25,,,,,,,,,,47
핏케언 제도,2020-05-26,,,,,,,,,,47
핏케언 제도,2020-05-27,,,,,,,,,,47
핏케언 제도,2020-05-28,,,,,,,,,,47
핏케언 제도,2020-05-29,,,,,,,,,,47
핏케언 제도,2020-05-30,,,,,,,,,,47
