location,date,total_cases,total_deaths,reproduction_rate,positive_rate,total_vaccinations,people_vaccinated,people_fully_vaccinated,stringency_index,diabetes_prevalence,population
홍콩,2020-01-31,,,,,,,,49.07,8.33,7488863
홍콩,2020-02-01,,,,,,,,49.07,8.33,7488863
홍콩,2020-02-02,,,,,,,,49.07,8.33,7488863
홍콩,2020-02-03,,,,,,,,49.07,8.33,7488863
홍콩,2020-02-04,,,,,,,,49.07,8.33,7488863
홍콩,2020-02-05,,,,,,,,52.78,8.33,7488863
홍콩,2020-02-06,,,,,,,,52.78,8.33,7488863
홍콩,2020-02-07,,,,,,,,52.78,8.33,7488863
홍콩,2020-02-08,,,,,,,,52.78,8.33,7488863
홍콩,2020-02-09,,,,,,,,52.78,8.33,7488863
홍콩,2020-02-10,,,,,,,,52.78,8.33,7488863
홍콩,2020-02-11,,,,,,,,52.78,8.33,7488863
홍콩,2020-02-12,,,,,,,,52.78,8.33,7488863
홍콩,2020-02-13,,,,,,,,52.78,8.33,7488863
홍콩,2020-02-14,,,,,,,,52.78,8.33,7488863
홍콩,2020-02-15,,,,,,,,52.78,8.33,7488863
홍콩,2020-02-16,,,,,,,,52.78,8.33,7488863
홍콩,2020-02-17,,,,,,,,52.78,8.33,7488863
홍콩,2020-02-18,,,,,,,,52.78,8.33,7488863
홍콩,2020-02-19,,,,,,,,52.78,8.33,7488863
홍콩,2020-02-20,,,,,,,,52.78,8.33,7488863
홍콩,2020-02-21,,,,,,,,52.78,8.33,7488863
홍콩,2020-02-22,,,,,,,,52.78,8.33,7488863
홍콩,2020-02-23,,,,,,,,52.78,8.33,7488863
홍콩,2020-02-24,,,,,,,,52.78,8.33,7488863
홍콩,2020-02-25,,,,,,,,52.78,8.33,7488863
홍콩,2020-02-26,,,,,,,,52.78,8.33,7488863
홍콩,2020-02-27,,,,,,,,52.78,8.33,7488863
홍콩,2020-02-28,,,,,,,,52.78,8.33,7488863
홍콩,2020-02-29,,,,0.003,,,,52.78,8.33,7488863
홍콩,2020-03-01,,,,,,,,52.78,8.33,7488863
홍콩,2020-03-02,,,,,,,,49.07,8.33,7488863
홍콩,2020-03-03,,,,,,,,49.07,8.33,7488863
홍콩,2020-03-04,,,,,,,,49.07,8.33,7488863
홍콩,2020-03-05,,,,,,,,49.07,8.33,7488863
홍콩,2020-03-06,,,,,,,,49.07,8.33,7488863
홍콩,2020-03-07,,,,,,,,49.07,8.33,7488863
홍콩,2020-03-08,,,,,,,,49.07,8.33,7488863
홍콩,2020-03-09,,,,,,,,49.07,8.33,7488863
홍콩,2020-03-10,,,,,,,,49.07,8.33,7488863
홍콩,2020-03-11,,,,,,,,49.07,8.33,7488863
홍콩,2020-03-12,,,,,,,,49.07,8.33,7488863
홍콩,2020-03-13,,,,,,,,49.07,8.33,7488863
홍콩,2020-03-14,,,,,,,,49.07,8.33,7488863
홍콩,2020-03-15,,,,,,,,49.07,8.33,7488863
홍콩,2020-03-16,,,,,,,,49.07,8.33,7488863
홍콩,2020-03-17,,,,,,,,49.07,8.33,7488863
홍콩,2020-03-18,,,,,,,,49.07,8.33,7488863
홍콩,2020-03-19,,,,,,,,49.07,8.33,7488863
홍콩,2020-03-20,,,,,,,,49.07,8.33,7488863
홍콩,2020-03-21,,,,,,,,49.07,8.33,7488863
홍콩,2020-03-22,,,,,,,,49.07,8.33,7488863
홍콩,2020-03-23,,,,,,,,52.78,8.33,7488863
홍콩,2020-03-24,,,,,,,,52.78,8.33,7488863
홍콩,2020-03-25,,,,,,,,52.78,8.33,7488863
홍콩,2020-03-26,,,,,,,,52.78,8.33,7488863
홍콩,2020-03-27,,,,,,,,52.78,8.33,7488863
홍콩,2020-03-28,,,,,,,,52.78,8.33,7488863
홍콩,2020-03-29,,,,,,,,63.89,8.33,7488863
홍콩,2020-03-30,,,,,,,,63.89,8.33,7488863
홍콩,2020-03-31,,,,0.0089,,,,63.89,8.33,7488863
홍콩,2020-04-01,,,,,,,,63.89,8.33,7488863
홍콩,2020-04-02,,,,,,,,63.89,8.33,7488863
홍콩,2020-04-03,,,,,,,,63.89,8.33,7488863
홍콩,2020-04-04,,,,,,,,63.89,8.33,7488863
홍콩,2020-04-05,,,,,,,,63.89,8.33,7488863
홍콩,2020-04-06,,,,,,,,66.67,8.33,7488863
홍콩,2020-04-07,,,,,,,,66.67,8.33,7488863
홍콩,2020-04-08,,,,,,,,66.67,8.33,7488863
홍콩,2020-04-09,,,,,,,,66.67,8.33,7488863
홍콩,2020-04-10,,,,,,,,66.67,8.33,7488863
홍콩,2020-04-11,,,,,,,,66.67,8.33,7488863
홍콩,2020-04-12,,,,,,,,66.67,8.33,7488863
홍콩,2020-04-13,,,,,,,,66.67,8.33,7488863
홍콩,2020-04-14,,,,,,,,66.67,8.33,7488863
홍콩,2020-04-15,,,,,,,,66.67,8.33,7488863
홍콩,2020-04-16,,,,,,,,66.67,8.33,7488863
홍콩,2020-04-17,,,,,,,,66.67,8.33,7488863
홍콩,2020-04-18,,,,,,,,66.67,8.33,7488863
홍콩,2020-04-19,,,,,,,,66.67,8.33,7488863
홍콩,2020-04-20,,,,,,,,66.67,8.33,7488863
홍콩,2020-04-21,,,,,,,,66.67,8.33,7488863
홍콩,2020-04-22,,,,,,,,66.67,8.33,7488863
홍콩,2020-04-23,,,,,,,,66.67,8.33,7488863
홍콩,2020-04-24,,,,,,,,66.67,8.33,7488863
홍콩,2020-04-25,,,,,,,,66.67,8.33,7488863
홍콩,2020-04-26,,,,,,,,66.67,8.33,7488863
홍콩,2020-04-27,,,,,,,,66.67,8.33,7488863
홍콩,2020-04-28,,,,,,,,66.67,8.33,7488863
홍콩,2020-04-29,,,,,,,,66.67,8.33,7488863
홍콩,2020-04-30,,,,0.0054,,,,66.67,8.33,7488863
홍콩,2020-05-01,,,,,,,,66.67,8.33,7488863
홍콩,2020-05-02,,,,,,,,66.67,8.33,7488863
홍콩,2020-05-03,,,,,,,,66.67,8.33,7488863
홍콩,2020-05-04,,,,,,,,66.67,8.33,7488863
홍콩,2020-05-05,,,,,,,,66.67,8.33,7488863
홍콩,2020-05-06,,,,,,,,66.67,8.33,7488863
홍콩,2020-05-07,,,,,,,,66.67,8.33,7488863
홍콩,2020-05-08,,,,,,,,63.89,8.33,7488863
홍콩,2020-05-09,,,,,,,,63.89,8.33,7488863
홍콩,2020-05-10,,,,,,,,63.89,8.33,7488863
홍콩,2020-05-11,,,,,,,,63.89,8.33,7488863
홍콩,2020-05-12,,,,,,,,63.89,8.33,7488863
홍콩,2020-05-13,,,,,,,,63.89,8.33,7488863
홍콩,2020-05-14,,,,,,,,63.89,8.33,7488863
홍콩,2020-05-15,,,,,,,,63.89,8.33,7488863
홍콩,2020-05-16,,,,,,,,63.89,8.33,7488863
홍콩,2020-05-17,,,,,,,,63.89,8.33,7488863
홍콩,2020-05-18,,,,,,,,63.89,8.33,7488863
홍콩,2020-05-19,,,,,,,,63.89,8.33,7488863
홍콩,2020-05-20,,,,,,,,63.89,8.33,7488863
홍콩,2020-05-21,,,,,,,,63.89,8.33,7488863
홍콩,2020-05-22,,,,,,,,63.89,8.33,7488863
홍콩,2020-05-23,,,,,,,,63.89,8.33,7488863
홍콩,2020-05-24,,,,,,,,63.89,8.33,7488863
홍콩,2020-05-25,,,,,,,,63.89,8.33,7488863
홍콩,2020-05-26,,,,,,,,63.89,8.33,7488863
홍콩,2020-05-27,,,,,,,,60.19,8.33,7488863
홍콩,2020-05-28,,,,,,,,60.19,8.33,7488863
홍콩,2020-05-29,,,,,,,,52.78,8.33,7488863
홍콩,2020-05-30,,,,,,,,52.78,8.33,7488863
홍콩,2020-05-31,,,,0.0006,,,,52.78,8.33,7488863
홍콩,2020-06-01,,,,,,,,52.78,8.33,7488863
홍콩,2020-06-02,,,,,,,,52.78,8.33,7488863
홍콩,2020-06-03,,,,,,,,52.78,8.33,7488863
홍콩,2020-06-04,,,,,,,,52.78,8.33,7488863
홍콩,2020-06-05,,,,,,,,52.78,8.33,7488863
홍콩,2020-06-06,,,,,,,,52.78,8.33,7488863
홍콩,2020-06-07,,,,,,,,52.78,8.33,7488863
홍콩,2020-06-08,,,,,,,,52.78,8.33,7488863
홍콩,2020-06-09,,,,,,,,52.78,8.33,7488863
홍콩,2020-06-10,,,,,,,,52.78,8.33,7488863
홍콩,2020-06-11,,,,,,,,52.78,8.33,7488863
홍콩,2020-06-12,,,,,,,,52.78,8.33,7488863
홍콩,2020-06-13,,,,,,,,52.78,8.33,7488863
홍콩,2020-06-14,,,,,,,,52.78,8.33,7488863
홍콩,2020-06-15,,,,,,,,52.78,8.33,7488863
홍콩,2020-06-16,,,,,,,,52.78,8.33,7488863
홍콩,2020-06-17,,,,,,,,52.78,8.33,7488863
홍콩,2020-06-18,,,,,,,,52.78,8.33,7488863
홍콩,2020-06-19,,,,,,,,41.67,8.33,7488863
홍콩,2020-06-20,,,,,,,,41.67,8.33,7488863
홍콩,2020-06-21,,,,,,,,41.67,8.33,7488863
